"","pathway","transcriptome_pval","transcriptome_padj","proteome_pval","proteome_padj","phosphoproteome_pval","phosphoproteome_padj","combined_pval","combined_padj","Contrast","negativelog10FDR","Pathway","Algorithm"
"16","(KEGG) Oxidative phosphorylation",0.834724540901502,0.99777941227978,0.925970873786408,0.968493150684932,0.960093896713615,0.980320464566082,0.999952982495139,1,"X1O2NoCyA - X1O2PlusCyA",0,"Oxidative Phosphorylation","multiGSEA"
"17","(KEGG) Arginine biosynthesis",0.107081174438687,0.603174603174603,0.711382113821138,0.945329814828967,NA,NA,0.906106592047951,1,"X1O2NoCyA - X1O2PlusCyA",0,"Arginine Biosynthesis","multiGSEA"
"18","(KEGG) Purine metabolism",0.390420899854862,0.906126118319867,1,1,0.41726618705036,0.94823154491213,0.981355287438855,1,"X1O2NoCyA - X1O2PlusCyA",0,"Purine Metabolism","multiGSEA"
"19","(KEGG) Caffeine metabolism",0.610655737704918,0.99777941227978,0.488272921108742,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Caffeine Metabolism","multiGSEA"
"20","(KEGG) Pyrimidine metabolism",0.32378223495702,0.82591376057027,0.0425279612627977,0.506688963210702,0.21,0.942982456140351,0.928363472364402,1,"X1O2NoCyA - X1O2PlusCyA",0,"Pyrimidine Metabolism","multiGSEA"
"21","(KEGG) Alanine, aspartate and glutamate metabolism",0.120401337792642,0.603174603174603,0.581772784019975,0.945329814828967,0.975824175824176,0.981865727302954,0.988825048585521,1,"X1O2NoCyA - X1O2PlusCyA",0,"Alanine, Aspartate And Glutamate Metabolism","multiGSEA"
"22","(KEGG) Glycine, serine and threonine metabolism",0.0121333051715161,0.364753086419753,0.18227215980025,0.834739852141163,0.694230769230769,0.951582618025751,0.906714761824501,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycine, Serine And Threonine Metabolism","multiGSEA"
"23","(KEGG) Cysteine and methionine metabolism",0.0861538461538462,0.603174603174603,0.592017738359202,0.945329814828967,0.942392909896603,0.976455304230215,0.986850859446767,1,"X1O2NoCyA - X1O2PlusCyA",0,"Cysteine And Methionine Metabolism","multiGSEA"
"24","(KEGG) Valine, leucine and isoleucine degradation",0.362940275650842,0.874995548274511,1.59687820083978e-07,4.83854094854453e-05,0.615023474178404,0.951582618025751,0.264983609696728,1,"X1O2NoCyA - X1O2PlusCyA",0,"Valine, Leucine And Isoleucine Degradation","multiGSEA"
"25","(KEGG) Lysine degradation",0.071097372488408,0.552782071097373,0.000338199742373035,0.0170790869898382,0.0871187856180203,0.942982456140351,0.407516533223801,1,"X1O2NoCyA - X1O2PlusCyA",0,"Lysine Degradation","multiGSEA"
"26","(KEGG) Arginine and proline metabolism",0.114832535885167,0.603174603174603,0.153482880755608,0.830452015516951,0.540384615384615,0.951582618025751,0.951700398443402,1,"X1O2NoCyA - X1O2PlusCyA",0,"Arginine And Proline Metabolism","multiGSEA"
"27","(KEGG) Histidine metabolism",0.0630797773654917,0.530211101639673,0.0155871426515932,0.282884999078517,NA,NA,0.362236557607594,1,"X1O2NoCyA - X1O2PlusCyA",0,"Histidine Metabolism","multiGSEA"
"28","(KEGG) Tyrosine metabolism",0.522920203735144,0.975155144256941,0.333333333333333,0.945329814828967,NA,NA,0.994131931863142,1,"X1O2NoCyA - X1O2PlusCyA",0,"Tyrosine Metabolism","multiGSEA"
"29","(KEGG) Phenylalanine metabolism",0.660482374768089,0.99777941227978,0.664596273291925,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Phenylalanine Metabolism","multiGSEA"
"30","(KEGG) Tryptophan metabolism",0.495098039215686,0.963973577235772,0.0168050494502089,0.282884999078517,0.571153846153846,0.951582618025751,0.952102532840477,1,"X1O2NoCyA - X1O2PlusCyA",0,"Tryptophan Metabolism","multiGSEA"
"31","(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis",0.639344262295082,0.99777941227978,0.357142857142857,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis","multiGSEA"
"32","(KEGG) beta-Alanine metabolism",0.130578512396694,0.620429292929293,0.000264023389791434,0.0159998174213609,0.571153846153846,0.951582618025751,0.459208486178183,1,"X1O2NoCyA - X1O2PlusCyA",0,"Beta-Alanine Metabolism","multiGSEA"
"33","(KEGG) Taurine and hypotaurine metabolism",0.994545454545455,1,0.74859287054409,0.945329814828967,NA,NA,0.945329814828967,1,"X1O2NoCyA - X1O2PlusCyA",0,"Taurine And Hypotaurine Metabolism","multiGSEA"
"34","(KEGG) Phosphonate and phosphinate metabolism",0.96588868940754,0.99777941227978,0.646341463414634,0.945329814828967,0.000461398031752126,0.119040692192049,0.970341585894568,1,"X1O2NoCyA - X1O2PlusCyA",0,"Phosphonate And Phosphinate Metabolism","multiGSEA"
"35","(KEGG) Selenocompound metabolism",0.37847866419295,0.89171867093945,0.787262872628726,0.950854117775474,0.0352112676056338,0.942982456140351,0.995064397596018,1,"X1O2NoCyA - X1O2PlusCyA",0,"Selenocompound Metabolism","multiGSEA"
"36","(KEGG) D-Glutamine and D-glutamate metabolism",0.208988764044944,0.691441549127421,0.445993031358885,0.945329814828967,NA,NA,0.931321554623528,1,"X1O2NoCyA - X1O2PlusCyA",0,"D-Glutamine And D-Glutamate Metabolism","multiGSEA"
"37","(KEGG) Glutathione metabolism",0.809904153354633,0.99777941227978,0.926573426573427,0.968493150684932,0.70989010989011,0.951582618025751,0.999880860499315,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glutathione Metabolism","multiGSEA"
"38","(KEGG) Starch and sucrose metabolism",0.853960396039604,0.99777941227978,0.738916256157635,0.945329814828967,0.222222222222222,0.942982456140351,0.999748719467306,1,"X1O2NoCyA - X1O2PlusCyA",0,"Starch And Sucrose Metabolism","multiGSEA"
"39","(KEGG) N-Glycan biosynthesis",0.00018996092634475,0.0147694620233043,0.892773892773893,0.96734033231648,0.113345521023766,0.942982456140351,0.764252550675285,1,"X1O2NoCyA - X1O2PlusCyA",0,"N-Glycan Biosynthesis","multiGSEA"
"40","(KEGG) Mucin type O-glycan biosynthesis",0.762068965517241,0.99777941227978,0.0434782608695652,0.506688963210702,NA,NA,0.978492975401883,1,"X1O2NoCyA - X1O2PlusCyA",0,"Mucin Type O-Glycan Biosynthesis","multiGSEA"
"41","(KEGG) Various types of N-glycan biosynthesis",0.056140350877193,0.498847117794486,0.227272727272727,0.857606010703993,NA,NA,0.774664220270957,1,"X1O2NoCyA - X1O2PlusCyA",0,"Various Types Of N-Glycan Biosynthesis","multiGSEA"
"42","(KEGG) Mannose type O-glycan biosynthesis",0.289473684210526,0.803806390977444,0.0141470033107985,0.282884999078517,NA,NA,0.578751173248533,1,"X1O2NoCyA - X1O2PlusCyA",0,"Mannose Type O-Glycan Biosynthesis","multiGSEA"
"43","(KEGG) Amino sugar and nucleotide sugar metabolism",0.186813186813187,0.675568617429083,0.491428571428571,0.945329814828967,0.846385542168675,0.951582618025751,0.984061734398368,1,"X1O2NoCyA - X1O2PlusCyA",0,"Amino Sugar And Nucleotide Sugar Metabolism","multiGSEA"
"44","(KEGG) Glycosaminoglycan degradation",0.138169257340242,0.622762884533554,0.0584415584415584,0.571219103477168,NA,NA,0.636100530756189,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosaminoglycan Degradation","multiGSEA"
"45","(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.143939393939394,0.63077452418464,0.671641791044776,0.945329814828967,NA,NA,0.914391127064852,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate","multiGSEA"
"46","(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.296229802513465,0.815287332581306,NA,NA,NA,NA,0.815287332581306,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin","multiGSEA"
"47","(KEGG) Glycerolipid metabolism",0.560897435897436,0.979994958225295,0.066747572815534,0.615995397008055,0.88855421686747,0.959192418208398,0.990896256103433,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycerolipid Metabolism","multiGSEA"
"48","(KEGG) Inositol phosphate metabolism",0.997032640949555,1,0.17454954954955,0.834739852141163,0.143410852713178,0.942982456140351,0.964502720416147,1,"X1O2NoCyA - X1O2PlusCyA",0,"Inositol Phosphate Metabolism","multiGSEA"
"49","(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.884803921568627,0.99777941227978,0.184579439252336,0.834739852141163,NA,NA,0.996530722181448,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosylphosphatidylinositol (Gpi)-Anchor Biosynthesis","multiGSEA"
"50","(KEGG) Glycerophospholipid metabolism",0.131419939577039,0.620429292929293,0.265282583621684,0.91341616860648,0.128813559322034,0.942982456140351,0.969660086597507,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycerophospholipid Metabolism","multiGSEA"
"51","(KEGG) Ether lipid metabolism",0.579207920792079,0.99777941227978,0.77521613832853,0.947139072232035,NA,NA,0.999199217259888,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ether Lipid Metabolism","multiGSEA"
"52","(KEGG) Arachidonic acid metabolism",0.667493796526055,0.99777941227978,0.233766233766234,0.857606010703993,0.284232365145228,0.942982456140351,0.999244345164097,1,"X1O2NoCyA - X1O2PlusCyA",0,"Arachidonic Acid Metabolism","multiGSEA"
"53","(KEGG) Linoleic acid metabolism",0.818565400843882,0.99777941227978,NA,NA,NA,NA,0.99777941227978,1,"X1O2NoCyA - X1O2PlusCyA",0,"Linoleic Acid Metabolism","multiGSEA"
"54","(KEGG) alpha-Linolenic acid metabolism",0.861363636363636,0.99777941227978,0.900621118012422,0.96734033231648,NA,NA,0.999541721705891,1,"X1O2NoCyA - X1O2PlusCyA",0,"Alpha-Linolenic Acid Metabolism","multiGSEA"
"55","(KEGG) Sphingolipid metabolism",0.777429467084639,0.99777941227978,0.962025316455696,0.974895220354769,0.461805555555556,0.94823154491213,0.999897594035339,1,"X1O2NoCyA - X1O2PlusCyA",0,"Sphingolipid Metabolism","multiGSEA"
"56","(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series",0.887931034482759,0.99777941227978,NA,NA,NA,NA,0.99777941227978,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosphingolipid Biosynthesis - Lacto And Neolacto Series","multiGSEA"
"57","(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series",0.963809523809524,0.99777941227978,0.173184357541899,0.834739852141163,NA,NA,0.996530722181448,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosphingolipid Biosynthesis - Globo And Isoglobo Series","multiGSEA"
"58","(KEGG) Glycosphingolipid biosynthesis - ganglio series",0.170940170940171,0.656325841511027,0.704968944099379,0.945329814828967,NA,NA,0.921725517128126,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycosphingolipid Biosynthesis - Ganglio Series","multiGSEA"
"59","(KEGG) Pyruvate metabolism",0.616,0.99777941227978,0.00707416210726859,0.178622593208532,0.227692307692308,0.942982456140351,0.978485599144413,1,"X1O2NoCyA - X1O2PlusCyA",0,"Pyruvate Metabolism","multiGSEA"
"60","(KEGG) Glyoxylate and dicarboxylate metabolism",0.704132231404959,0.99777941227978,0.0789473684210526,0.665868538441354,0.426373626373626,0.94823154491213,0.997671635287991,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glyoxylate And Dicarboxylate Metabolism","multiGSEA"
"61","(KEGG) Propanoate metabolism",0.883572567783094,0.99777941227978,0.00201230254769849,0.0762159589940803,0.737951807228916,0.951582618025751,0.962051515522295,1,"X1O2NoCyA - X1O2PlusCyA",0,"Propanoate Metabolism","multiGSEA"
"62","(KEGG) Butanoate metabolism",0.612068965517241,0.99777941227978,0.0164659894504574,0.282884999078517,0.452747252747253,0.94823154491213,0.987803614683431,1,"X1O2NoCyA - X1O2PlusCyA",0,"Butanoate Metabolism","multiGSEA"
"63","(KEGG) One carbon pool by folate",0.153448275862069,0.63077452418464,0.0110632980369384,0.257859946553257,0.363461538461538,0.94823154491213,0.775601137899499,1,"X1O2NoCyA - X1O2PlusCyA",0,"One Carbon Pool By Folate","multiGSEA"
"64","(KEGG) Thiamine metabolism",0.484276729559748,0.963973577235772,0.763636363636364,0.947010132724418,NA,NA,0.992132219267811,1,"X1O2NoCyA - X1O2PlusCyA",0,"Thiamine Metabolism","multiGSEA"
"65","(KEGG) Riboflavin metabolism",0.978494623655914,0.99777941227978,0.557453416149068,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Riboflavin Metabolism","multiGSEA"
"66","(KEGG) Vitamin B6 metabolism",0.689407540394973,0.99777941227978,0.539719626168224,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Vitamin B6 Metabolism","multiGSEA"
"67","(KEGG) Nicotinate and nicotinamide metabolism",0.900497512437811,0.99777941227978,0.926701570680628,0.968493150684932,0.776049766718507,0.951582618025751,0.999880860499315,1,"X1O2NoCyA - X1O2PlusCyA",0,"Nicotinate And Nicotinamide Metabolism","multiGSEA"
"68","(KEGG) Pantothenate and CoA biosynthesis",0.734154929577465,0.99777941227978,0.00390054226694417,0.116882886449172,0.410989010989011,0.94823154491213,0.970953430668575,1,"X1O2NoCyA - X1O2PlusCyA",0,"Pantothenate And Coa Biosynthesis","multiGSEA"
"69","(KEGG) Biotin metabolism",0.990654205607477,1,NA,NA,NA,NA,1,1,"X1O2NoCyA - X1O2PlusCyA",0,"Biotin Metabolism","multiGSEA"
"70","(KEGG) Lipoic acid metabolism",0.785871964679912,0.99777941227978,0.0767590618336887,0.665868538441354,NA,NA,0.989686304739668,1,"X1O2NoCyA - X1O2PlusCyA",0,"Lipoic Acid Metabolism","multiGSEA"
"71","(KEGG) Folate biosynthesis",0.0439814814814815,0.427445023148148,0.879166666666667,0.96734033231648,0.446153846153846,0.94823154491213,0.971178355864058,1,"X1O2NoCyA - X1O2PlusCyA",0,"Folate Biosynthesis","multiGSEA"
"72","(KEGG) Retinol metabolism",0.111111111111111,0.603174603174603,0.376488095238095,0.945329814828967,NA,NA,0.906106592047951,1,"X1O2NoCyA - X1O2PlusCyA",0,"Retinol Metabolism","multiGSEA"
"73","(KEGG) Porphyrin and chlorophyll metabolism",0.0710900473933649,0.552782071097373,0.86036036036036,0.96734033231648,NA,NA,0.91880419969985,1,"X1O2NoCyA - X1O2PlusCyA",0,"Porphyrin And Chlorophyll Metabolism","multiGSEA"
"74","(KEGG) Terpenoid backbone biosynthesis",0.150121065375303,0.63077452418464,0.0262172284644195,0.361082737487232,0.0422535211267606,0.942982456140351,0.815910222589066,1,"X1O2NoCyA - X1O2PlusCyA",0,"Terpenoid Backbone Biosynthesis","multiGSEA"
"75","(KEGG) Nitrogen metabolism",0.666666666666667,0.99777941227978,0.631130063965885,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Nitrogen Metabolism","multiGSEA"
"76","(KEGG) Sulfur metabolism",0.647798742138365,0.99777941227978,0.112391930835735,0.720358731727985,NA,NA,0.99233741282653,1,"X1O2NoCyA - X1O2PlusCyA",0,"Sulfur Metabolism","multiGSEA"
"77","(KEGG) Aminoacyl-tRNA biosynthesis",0.98494623655914,0.99777941227978,0.288690476190476,0.940572196620584,0.0052805289448419,0.532687815074607,0.995206104039668,1,"X1O2NoCyA - X1O2PlusCyA",0,"Aminoacyl-Trna Biosynthesis","multiGSEA"
"78","(KEGG) Metabolism of xenobiotics by cytochrome P450",0.652542372881356,0.99777941227978,0.393939393939394,0.945329814828967,0.755769230769231,0.951582618025751,0.99978875637734,1,"X1O2NoCyA - X1O2PlusCyA",0,"Metabolism Of Xenobiotics By Cytochrome P450","multiGSEA"
"79","(KEGG) Drug metabolism - cytochrome P450",0.113801452784504,0.603174603174603,0.946808510638298,0.972484673638659,0.755769230769231,0.951582618025751,0.986701203612924,1,"X1O2NoCyA - X1O2PlusCyA",0,"Drug Metabolism - Cytochrome P450","multiGSEA"
"80","(KEGG) Drug metabolism - other enzymes",0.219444444444444,0.70053975944579,0.933333333333333,0.968493150684932,0.827178729689808,0.951582618025751,0.990244956009168,1,"X1O2NoCyA - X1O2PlusCyA",0,"Drug Metabolism - Other Enzymes","multiGSEA"
"81","(KEGG) Biosynthesis of unsaturated fatty acids",0.752727272727273,0.99777941227978,0.418154761904762,0.945329814828967,NA,NA,0.999166471523634,1,"X1O2NoCyA - X1O2PlusCyA",0,"Biosynthesis Of Unsaturated Fatty Acids","multiGSEA"
"82","(KEGG) Metabolic pathways",0.0285714285714286,0.364753086419753,0.00424327310541549,0.116882886449172,0.108331354102132,0.942982456140351,0.510091206117718,1,"X1O2NoCyA - X1O2PlusCyA",0,"Metabolic Pathways","multiGSEA"
"83","(KEGG) Carbon metabolism",0.158227848101266,0.63077452418464,2.68587787356492e-05,0.00203455248922543,0.0262090699419809,0.942982456140351,0.289991124929422,1,"X1O2NoCyA - X1O2PlusCyA",0,"Carbon Metabolism","multiGSEA"
"84","(KEGG) 2-Oxocarboxylic acid metabolism",0.692982456140351,0.99777941227978,0.00384421699332659,0.116882886449172,NA,NA,0.878950206242588,1,"X1O2NoCyA - X1O2PlusCyA",0,"2-Oxocarboxylic Acid Metabolism","multiGSEA"
"85","(KEGG) Fatty acid metabolism",0.713467048710602,0.99777941227978,1.70365249181299e-05,0.00172068901673112,0.150510204081633,0.942982456140351,0.80676558002559,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fatty Acid Metabolism","multiGSEA"
"86","(KEGG) Biosynthesis of amino acids",0.0884146341463415,0.603174603174603,0.0465367965367965,0.522246272246272,0.0884353741496599,0.942982456140351,0.863378571880649,1,"X1O2NoCyA - X1O2PlusCyA",0,"Biosynthesis Of Amino Acids","multiGSEA"
"87","(KEGG) EGFR tyrosine kinase inhibitor resistance",0.798780487804878,0.99777941227978,0.833333333333333,0.965599764365136,0.560606060606061,0.951582618025751,0.999869801089814,1,"X1O2NoCyA - X1O2PlusCyA",0,"Egfr Tyrosine Kinase Inhibitor Resistance","multiGSEA"
"88","(KEGG) Endocrine resistance",0.180064308681672,0.666666666666667,0.649659863945578,0.945329814828967,0.394132653061224,0.94823154491213,0.982699919337819,1,"X1O2NoCyA - X1O2PlusCyA",0,"Endocrine Resistance","multiGSEA"
"89","(KEGG) Antifolate resistance",0.322160148975791,0.82591376057027,0.278097982708934,0.930600169061708,0.859375,0.951582618025751,0.990736234704299,1,"X1O2NoCyA - X1O2PlusCyA",0,"Antifolate Resistance","multiGSEA"
"90","(KEGG) Platinum drug resistance",0.436813186813187,0.936966186966187,0.759345794392523,0.946838583131418,0.266211604095563,0.942982456140351,0.996814115859775,1,"X1O2NoCyA - X1O2PlusCyA",0,"Platinum Drug Resistance","multiGSEA"
"91","(KEGG) Ribosome biogenesis in eukaryotes",0.313229571984436,0.82591376057027,0.535181236673774,0.945329814828967,0.313278008298755,0.94823154491213,0.991935027331534,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ribosome Biogenesis In Eukaryotes","multiGSEA"
"92","(KEGG) RNA transport",0.897959183673469,0.99777941227978,0.144024514811032,0.808137555328567,0.616759776536313,0.951582618025751,0.999045684641913,1,"X1O2NoCyA - X1O2PlusCyA",0,"Rna Transport","multiGSEA"
"93","(KEGG) mRNA surveillance pathway",0.00851921242060205,0.306532652031962,0.747311827956989,0.945329814828967,0.823809523809524,0.951582618025751,0.944205973339605,1,"X1O2NoCyA - X1O2PlusCyA",0,"Mrna Surveillance Pathway","multiGSEA"
"94","(KEGG) RNA degradation",0.80184331797235,0.99777941227978,0.0527777777777778,0.551436781609195,0.919444444444444,0.969121561668145,0.997410778645957,1,"X1O2NoCyA - X1O2PlusCyA",0,"Rna Degradation","multiGSEA"
"95","(KEGG) PPAR signaling pathway",0.938556067588326,0.99777941227978,0.10955710955711,0.720358731727985,0.21978021978022,0.942982456140351,0.998086459413488,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ppar Signaling Pathway","multiGSEA"
"96","(KEGG) Homologous recombination",0.0419390969456178,0.420743843551198,0.886075949367089,0.96734033231648,0.725464190981432,0.951582618025751,0.971756550692777,1,"X1O2NoCyA - X1O2PlusCyA",0,"Homologous Recombination","multiGSEA"
"97","(KEGG) Fanconi anemia pathway",0.00062707962532193,0.0370945278143957,0.820023837902265,0.959332906889522,0.552030456852792,0.951582618025751,0.824879598012733,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fanconi Anemia Pathway","multiGSEA"
"98","(KEGG) MAPK signaling pathway",0.445026178010471,0.936966186966187,0.355670103092784,0.945329814828967,0.636163175303197,0.951582618025751,0.99716509989719,1,"X1O2NoCyA - X1O2PlusCyA",0,"Mapk Signaling Pathway","multiGSEA"
"99","(KEGG) ErbB signaling pathway",0.934782608695652,0.99777941227978,0.69170403587444,0.945329814828967,0.510817307692308,0.951582618025751,0.99978875637734,1,"X1O2NoCyA - X1O2PlusCyA",0,"Erbb Signaling Pathway","multiGSEA"
"100","(KEGG) Ras signaling pathway",0.964577656675749,0.99777941227978,0.471898197242842,0.945329814828967,0.671445639187575,0.951582618025751,0.99978875637734,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ras Signaling Pathway","multiGSEA"
"101","(KEGG) Rap1 signaling pathway",0.96423658872077,0.99777941227978,0.236870310825295,0.857606010703993,0.79,0.951582618025751,0.999356221558348,1,"X1O2NoCyA - X1O2PlusCyA",0,"Rap1 Signaling Pathway","multiGSEA"
"102","(KEGG) Calcium signaling pathway",0.65406162464986,0.99777941227978,0.587458745874587,0.945329814828967,0.284403669724771,0.942982456140351,0.999748719467306,1,"X1O2NoCyA - X1O2PlusCyA",0,"Calcium Signaling Pathway","multiGSEA"
"103","(KEGG) cGMP-PKG signaling pathway",0.712903225806452,0.99777941227978,0.555555555555556,0.945329814828967,0.435294117647059,0.94823154491213,0.999773308934072,1,"X1O2NoCyA - X1O2PlusCyA",0,"Cgmp-Pkg Signaling Pathway","multiGSEA"
"104","(KEGG) cAMP signaling pathway",0.709342560553633,0.99777941227978,0.648387096774194,0.945329814828967,0.38510101010101,0.94823154491213,0.999773308934072,1,"X1O2NoCyA - X1O2PlusCyA",0,"Camp Signaling Pathway","multiGSEA"
"105","(KEGG) Cytokine-cytokine receptor interaction",0.0201042582174236,0.364753086419753,0.546239210850802,0.945329814828967,0.254237288135593,0.942982456140351,0.949204598687113,1,"X1O2NoCyA - X1O2PlusCyA",0,"Cytokine-Cytokine Receptor Interaction","multiGSEA"
"106","(KEGG) Viral protein interaction with cytokine and cytokine receptor",0.0316666666666667,0.364753086419753,0.357575757575758,0.945329814828967,0.481318681318681,0.951582618025751,0.953853640757052,1,"X1O2NoCyA - X1O2PlusCyA",0,"Viral Protein Interaction With Cytokine And Cytokine Receptor","multiGSEA"
"107","(KEGG) Chemokine signaling pathway",0.221843003412969,0.70053975944579,0.391073326248672,0.945329814828967,0.429086538461538,0.94823154491213,0.984920123672557,1,"X1O2NoCyA - X1O2PlusCyA",0,"Chemokine Signaling Pathway","multiGSEA"
"108","(KEGG) NF-kappa B signaling pathway",0.000715650054297024,0.0370945278143957,0.933106575963719,0.968493150684932,0.576923076923077,0.951582618025751,0.841623234045159,1,"X1O2NoCyA - X1O2PlusCyA",0,"Nf-Kappa B Signaling Pathway","multiGSEA"
