pathway,transcriptome_pval,transcriptome_padj,proteome_pval,proteome_padj,phosphoproteome_pval,phosphoproteome_padj,combined_pval,combined_padj,Contrast,Pathway
(KEGG) Taurine and hypotaurine metabolism,0.994545455,1,0.748592871,0.945329815,NA,NA,0.945329815,1,X1O2NoCyA - X1O2PlusCyA,Taurine And Hypotaurine Metabolism
(KEGG) Phosphonate and phosphinate metabolism,0.965888689,0.997779412,0.646341463,0.945329815,0.000461398,0.119040692,0.970341586,1,X1O2NoCyA - X1O2PlusCyA,Phosphonate And Phosphinate Metabolism
(KEGG) Selenocompound metabolism,0.378478664,0.891718671,0.787262873,0.950854118,0.035211268,0.942982456,0.995064398,1,X1O2NoCyA - X1O2PlusCyA,Selenocompound Metabolism
(KEGG) D-Glutamine and D-glutamate metabolism,0.208988764,0.691441549,0.445993031,0.945329815,NA,NA,0.931321555,1,X1O2NoCyA - X1O2PlusCyA,D-Glutamine And D-Glutamate Metabolism
(KEGG) Glutathione metabolism,0.809904153,0.997779412,0.926573427,0.968493151,0.70989011,0.951582618,0.99988086,1,X1O2NoCyA - X1O2PlusCyA,Glutathione Metabolism
(KEGG) Starch and sucrose metabolism,0.853960396,0.997779412,0.738916256,0.945329815,0.222222222,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Starch And Sucrose Metabolism
(KEGG) N-Glycan biosynthesis,0.000189961,0.014769462,0.892773893,0.967340332,0.113345521,0.942982456,0.764252551,1,X1O2NoCyA - X1O2PlusCyA,N-Glycan Biosynthesis
(KEGG) Mucin type O-glycan biosynthesis,0.762068966,0.997779412,0.043478261,0.506688963,NA,NA,0.978492975,1,X1O2NoCyA - X1O2PlusCyA,Mucin Type O-Glycan Biosynthesis
(KEGG) Various types of N-glycan biosynthesis,0.056140351,0.498847118,0.227272727,0.857606011,NA,NA,0.77466422,1,X1O2NoCyA - X1O2PlusCyA,Various Types Of N-Glycan Biosynthesis
(KEGG) Mannose type O-glycan biosynthesis,0.289473684,0.803806391,0.014147003,0.282884999,NA,NA,0.578751173,1,X1O2NoCyA - X1O2PlusCyA,Mannose Type O-Glycan Biosynthesis
(KEGG) Amino sugar and nucleotide sugar metabolism,0.186813187,0.675568617,0.491428571,0.945329815,0.846385542,0.951582618,0.984061734,1,X1O2NoCyA - X1O2PlusCyA,Amino Sugar And Nucleotide Sugar Metabolism
(KEGG) Glycosaminoglycan degradation,0.138169257,0.622762885,0.058441558,0.571219103,NA,NA,0.636100531,1,X1O2NoCyA - X1O2PlusCyA,Glycosaminoglycan Degradation
(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,0.143939394,0.630774524,0.671641791,0.945329815,NA,NA,0.914391127,1,X1O2NoCyA - X1O2PlusCyA,Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate
(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin,0.296229803,0.815287333,NA,NA,NA,NA,0.815287333,1,X1O2NoCyA - X1O2PlusCyA,Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin
(KEGG) Glycerolipid metabolism,0.560897436,0.979994958,0.066747573,0.615995397,0.888554217,0.959192418,0.990896256,1,X1O2NoCyA - X1O2PlusCyA,Glycerolipid Metabolism
(KEGG) Inositol phosphate metabolism,0.997032641,1,0.17454955,0.834739852,0.143410853,0.942982456,0.96450272,1,X1O2NoCyA - X1O2PlusCyA,Inositol Phosphate Metabolism
(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.884803922,0.997779412,0.184579439,0.834739852,NA,NA,0.996530722,1,X1O2NoCyA - X1O2PlusCyA,Glycosylphosphatidylinositol (Gpi)-Anchor Biosynthesis
(KEGG) Glycerophospholipid metabolism,0.13141994,0.620429293,0.265282584,0.913416169,0.128813559,0.942982456,0.969660087,1,X1O2NoCyA - X1O2PlusCyA,Glycerophospholipid Metabolism
(KEGG) Ether lipid metabolism,0.579207921,0.997779412,0.775216138,0.947139072,NA,NA,0.999199217,1,X1O2NoCyA - X1O2PlusCyA,Ether Lipid Metabolism
(KEGG) Arachidonic acid metabolism,0.667493797,0.997779412,0.233766234,0.857606011,0.284232365,0.942982456,0.999244345,1,X1O2NoCyA - X1O2PlusCyA,Arachidonic Acid Metabolism
(KEGG) Linoleic acid metabolism,0.818565401,0.997779412,NA,NA,NA,NA,0.997779412,1,X1O2NoCyA - X1O2PlusCyA,Linoleic Acid Metabolism
(KEGG) alpha-Linolenic acid metabolism,0.861363636,0.997779412,0.900621118,0.967340332,NA,NA,0.999541722,1,X1O2NoCyA - X1O2PlusCyA,Alpha-Linolenic Acid Metabolism
(KEGG) Sphingolipid metabolism,0.777429467,0.997779412,0.962025316,0.97489522,0.461805556,0.948231545,0.999897594,1,X1O2NoCyA - X1O2PlusCyA,Sphingolipid Metabolism
(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series,0.887931034,0.997779412,NA,NA,NA,NA,0.997779412,1,X1O2NoCyA - X1O2PlusCyA,Glycosphingolipid Biosynthesis - Lacto And Neolacto Series
(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series,0.963809524,0.997779412,0.173184358,0.834739852,NA,NA,0.996530722,1,X1O2NoCyA - X1O2PlusCyA,Glycosphingolipid Biosynthesis - Globo And Isoglobo Series
(KEGG) Glycosphingolipid biosynthesis - ganglio series,0.170940171,0.656325842,0.704968944,0.945329815,NA,NA,0.921725517,1,X1O2NoCyA - X1O2PlusCyA,Glycosphingolipid Biosynthesis - Ganglio Series
(KEGG) Pyruvate metabolism,0.616,0.997779412,0.007074162,0.178622593,0.227692308,0.942982456,0.978485599,1,X1O2NoCyA - X1O2PlusCyA,Pyruvate Metabolism
(KEGG) Glyoxylate and dicarboxylate metabolism,0.704132231,0.997779412,0.078947368,0.665868538,0.426373626,0.948231545,0.997671635,1,X1O2NoCyA - X1O2PlusCyA,Glyoxylate And Dicarboxylate Metabolism
(KEGG) Propanoate metabolism,0.883572568,0.997779412,0.002012303,0.076215959,0.737951807,0.951582618,0.962051516,1,X1O2NoCyA - X1O2PlusCyA,Propanoate Metabolism
(KEGG) Butanoate metabolism,0.612068966,0.997779412,0.016465989,0.282884999,0.452747253,0.948231545,0.987803615,1,X1O2NoCyA - X1O2PlusCyA,Butanoate Metabolism
(KEGG) One carbon pool by folate,0.153448276,0.630774524,0.011063298,0.257859947,0.363461538,0.948231545,0.775601138,1,X1O2NoCyA - X1O2PlusCyA,One Carbon Pool By Folate
(KEGG) Thiamine metabolism,0.48427673,0.963973577,0.763636364,0.947010133,NA,NA,0.992132219,1,X1O2NoCyA - X1O2PlusCyA,Thiamine Metabolism
(KEGG) Riboflavin metabolism,0.978494624,0.997779412,0.557453416,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Riboflavin Metabolism
(KEGG) Vitamin B6 metabolism,0.68940754,0.997779412,0.539719626,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Vitamin B6 Metabolism
(KEGG) Nicotinate and nicotinamide metabolism,0.900497512,0.997779412,0.926701571,0.968493151,0.776049767,0.951582618,0.99988086,1,X1O2NoCyA - X1O2PlusCyA,Nicotinate And Nicotinamide Metabolism
(KEGG) Pantothenate and CoA biosynthesis,0.73415493,0.997779412,0.003900542,0.116882886,0.410989011,0.948231545,0.970953431,1,X1O2NoCyA - X1O2PlusCyA,Pantothenate And Coa Biosynthesis
(KEGG) Biotin metabolism,0.990654206,1,NA,NA,NA,NA,1,1,X1O2NoCyA - X1O2PlusCyA,Biotin Metabolism
(KEGG) Lipoic acid metabolism,0.785871965,0.997779412,0.076759062,0.665868538,NA,NA,0.989686305,1,X1O2NoCyA - X1O2PlusCyA,Lipoic Acid Metabolism
(KEGG) Folate biosynthesis,0.043981481,0.427445023,0.879166667,0.967340332,0.446153846,0.948231545,0.971178356,1,X1O2NoCyA - X1O2PlusCyA,Folate Biosynthesis
(KEGG) Retinol metabolism,0.111111111,0.603174603,0.376488095,0.945329815,NA,NA,0.906106592,1,X1O2NoCyA - X1O2PlusCyA,Retinol Metabolism
(KEGG) Porphyrin and chlorophyll metabolism,0.071090047,0.552782071,0.86036036,0.967340332,NA,NA,0.9188042,1,X1O2NoCyA - X1O2PlusCyA,Porphyrin And Chlorophyll Metabolism
(KEGG) Terpenoid backbone biosynthesis,0.150121065,0.630774524,0.026217228,0.361082737,0.042253521,0.942982456,0.815910223,1,X1O2NoCyA - X1O2PlusCyA,Terpenoid Backbone Biosynthesis
(KEGG) Nitrogen metabolism,0.666666667,0.997779412,0.631130064,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Nitrogen Metabolism
(KEGG) Sulfur metabolism,0.647798742,0.997779412,0.112391931,0.720358732,NA,NA,0.992337413,1,X1O2NoCyA - X1O2PlusCyA,Sulfur Metabolism
(KEGG) Aminoacyl-tRNA biosynthesis,0.984946237,0.997779412,0.288690476,0.940572197,0.005280529,0.532687815,0.995206104,1,X1O2NoCyA - X1O2PlusCyA,Aminoacyl-Trna Biosynthesis
(KEGG) Metabolism of xenobiotics by cytochrome P450,0.652542373,0.997779412,0.393939394,0.945329815,0.755769231,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Metabolism Of Xenobiotics By Cytochrome P450
(KEGG) Drug metabolism - cytochrome P450,0.113801453,0.603174603,0.946808511,0.972484674,0.755769231,0.951582618,0.986701204,1,X1O2NoCyA - X1O2PlusCyA,Drug Metabolism - Cytochrome P450
(KEGG) Drug metabolism - other enzymes,0.219444444,0.700539759,0.933333333,0.968493151,0.82717873,0.951582618,0.990244956,1,X1O2NoCyA - X1O2PlusCyA,Drug Metabolism - Other Enzymes
(KEGG) Biosynthesis of unsaturated fatty acids,0.752727273,0.997779412,0.418154762,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Biosynthesis Of Unsaturated Fatty Acids
(KEGG) Metabolic pathways,0.028571429,0.364753086,0.004243273,0.116882886,0.108331354,0.942982456,0.510091206,1,X1O2NoCyA - X1O2PlusCyA,Metabolic Pathways
(KEGG) Carbon metabolism,0.158227848,0.630774524,2.69E-05,0.002034552,0.02620907,0.942982456,0.289991125,1,X1O2NoCyA - X1O2PlusCyA,Carbon Metabolism
(KEGG) 2-Oxocarboxylic acid metabolism,0.692982456,0.997779412,0.003844217,0.116882886,NA,NA,0.878950206,1,X1O2NoCyA - X1O2PlusCyA,2-Oxocarboxylic Acid Metabolism
(KEGG) Fatty acid metabolism,0.713467049,0.997779412,1.70E-05,0.001720689,0.150510204,0.942982456,0.80676558,1,X1O2NoCyA - X1O2PlusCyA,Fatty Acid Metabolism
(KEGG) Biosynthesis of amino acids,0.088414634,0.603174603,0.046536797,0.522246272,0.088435374,0.942982456,0.863378572,1,X1O2NoCyA - X1O2PlusCyA,Biosynthesis Of Amino Acids
(KEGG) EGFR tyrosine kinase inhibitor resistance,0.798780488,0.997779412,0.833333333,0.965599764,0.560606061,0.951582618,0.999869801,1,X1O2NoCyA - X1O2PlusCyA,Egfr Tyrosine Kinase Inhibitor Resistance
(KEGG) Endocrine resistance,0.180064309,0.666666667,0.649659864,0.945329815,0.394132653,0.948231545,0.982699919,1,X1O2NoCyA - X1O2PlusCyA,Endocrine Resistance
(KEGG) Antifolate resistance,0.322160149,0.825913761,0.278097983,0.930600169,0.859375,0.951582618,0.990736235,1,X1O2NoCyA - X1O2PlusCyA,Antifolate Resistance
(KEGG) Platinum drug resistance,0.436813187,0.936966187,0.759345794,0.946838583,0.266211604,0.942982456,0.996814116,1,X1O2NoCyA - X1O2PlusCyA,Platinum Drug Resistance
(KEGG) Ribosome biogenesis in eukaryotes,0.313229572,0.825913761,0.535181237,0.945329815,0.313278008,0.948231545,0.991935027,1,X1O2NoCyA - X1O2PlusCyA,Ribosome Biogenesis In Eukaryotes
(KEGG) RNA transport,0.897959184,0.997779412,0.144024515,0.808137555,0.616759777,0.951582618,0.999045685,1,X1O2NoCyA - X1O2PlusCyA,Rna Transport
(KEGG) mRNA surveillance pathway,0.008519212,0.306532652,0.747311828,0.945329815,0.823809524,0.951582618,0.944205973,1,X1O2NoCyA - X1O2PlusCyA,Mrna Surveillance Pathway
(KEGG) RNA degradation,0.801843318,0.997779412,0.052777778,0.551436782,0.919444444,0.969121562,0.997410779,1,X1O2NoCyA - X1O2PlusCyA,Rna Degradation
(KEGG) PPAR signaling pathway,0.938556068,0.997779412,0.10955711,0.720358732,0.21978022,0.942982456,0.998086459,1,X1O2NoCyA - X1O2PlusCyA,Ppar Signaling Pathway
(KEGG) Homologous recombination,0.041939097,0.420743844,0.886075949,0.967340332,0.725464191,0.951582618,0.971756551,1,X1O2NoCyA - X1O2PlusCyA,Homologous Recombination
(KEGG) Fanconi anemia pathway,0.00062708,0.037094528,0.820023838,0.959332907,0.552030457,0.951582618,0.824879598,1,X1O2NoCyA - X1O2PlusCyA,Fanconi Anemia Pathway
(KEGG) MAPK signaling pathway,0.445026178,0.936966187,0.355670103,0.945329815,0.636163175,0.951582618,0.9971651,1,X1O2NoCyA - X1O2PlusCyA,Mapk Signaling Pathway
(KEGG) ErbB signaling pathway,0.934782609,0.997779412,0.691704036,0.945329815,0.510817308,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Erbb Signaling Pathway
(KEGG) Ras signaling pathway,0.964577657,0.997779412,0.471898197,0.945329815,0.671445639,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Ras Signaling Pathway
(KEGG) Rap1 signaling pathway,0.964236589,0.997779412,0.236870311,0.857606011,0.79,0.951582618,0.999356222,1,X1O2NoCyA - X1O2PlusCyA,Rap1 Signaling Pathway
(KEGG) Calcium signaling pathway,0.654061625,0.997779412,0.587458746,0.945329815,0.28440367,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Calcium Signaling Pathway
(KEGG) cGMP-PKG signaling pathway,0.712903226,0.997779412,0.555555556,0.945329815,0.435294118,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Cgmp-Pkg Signaling Pathway
(KEGG) cAMP signaling pathway,0.709342561,0.997779412,0.648387097,0.945329815,0.38510101,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Camp Signaling Pathway
(KEGG) Cytokine-cytokine receptor interaction,0.020104258,0.364753086,0.546239211,0.945329815,0.254237288,0.942982456,0.949204599,1,X1O2NoCyA - X1O2PlusCyA,Cytokine-Cytokine Receptor Interaction
(KEGG) Viral protein interaction with cytokine and cytokine receptor,0.031666667,0.364753086,0.357575758,0.945329815,0.481318681,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Viral Protein Interaction With Cytokine And Cytokine Receptor
(KEGG) Chemokine signaling pathway,0.221843003,0.700539759,0.391073326,0.945329815,0.429086538,0.948231545,0.984920124,1,X1O2NoCyA - X1O2PlusCyA,Chemokine Signaling Pathway
(KEGG) NF-kappa B signaling pathway,0.00071565,0.037094528,0.933106576,0.968493151,0.576923077,0.951582618,0.841623234,1,X1O2NoCyA - X1O2PlusCyA,Nf-Kappa B Signaling Pathway
(KEGG) HIF-1 signaling pathway,0.928802589,0.997779412,0.751895991,0.945329815,0.930372149,0.972973762,0.999883021,1,X1O2NoCyA - X1O2PlusCyA,Hif-1 Signaling Pathway
(KEGG) FoxO signaling pathway,0.807092199,0.997779412,0.903575298,0.967340332,0.089371981,0.942982456,0.999852156,1,X1O2NoCyA - X1O2PlusCyA,Foxo Signaling Pathway
(KEGG) Phosphatidylinositol signaling system,0.625,0.997779412,0.164096916,0.834739852,0.358942065,0.948231545,0.999167445,1,X1O2NoCyA - X1O2PlusCyA,Phosphatidylinositol Signaling System
(KEGG) Sphingolipid signaling pathway,0.893890675,0.997779412,0.668838219,0.945329815,0.382113821,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Sphingolipid Signaling Pathway
(KEGG) Phospholipase D signaling pathway,0.545985401,0.979994958,0.094339623,0.71280623,0.701282051,0.951582618,0.99321679,1,X1O2NoCyA - X1O2PlusCyA,Phospholipase D Signaling Pathway
(KEGG) Neuroactive ligand-receptor interaction,0.702160494,0.997779412,0.700934579,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Neuroactive Ligand-Receptor Interaction
(KEGG) Cell cycle,3.44E-07,0.000106873,0.374353671,0.945329815,0.78125,0.951582618,0.399594147,1,X1O2NoCyA - X1O2PlusCyA,Cell Cycle
(KEGG) Oocyte meiosis,2.84E-05,0.002939478,0.960763521,0.97489522,0.28125,0.942982456,0.674603289,1,X1O2NoCyA - X1O2PlusCyA,Oocyte Meiosis
(KEGG) p53 signaling pathway,0.019197999,0.364753086,0.906682028,0.967340332,0.986394558,0.986394558,0.983803343,1,X1O2NoCyA - X1O2PlusCyA,P53 Signaling Pathway
(KEGG) Sulfur relay system,0.51047619,0.975155144,0.555555556,0.945329815,0.769230769,0.951582618,0.998720117,1,X1O2NoCyA - X1O2PlusCyA,Sulfur Relay System
(KEGG) SNARE interactions in vesicular transport,0.131666667,0.620429293,0.214723926,0.856070391,0.674698795,0.951582618,0.959878311,1,X1O2NoCyA - X1O2PlusCyA,Snare Interactions In Vesicular Transport
(KEGG) Autophagy - other,0.747107438,0.997779412,0.620689655,0.945329815,0.113888889,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Autophagy - Other
(KEGG) Mitophagy - animal,0.314199396,0.825913761,0.090909091,0.71280623,0.253968254,0.942982456,0.962320288,1,X1O2NoCyA - X1O2PlusCyA,Mitophagy - Animal
(KEGG) Autophagy - animal,0.474576271,0.963973577,0.881606765,0.967340332,0.697072072,0.951582618,0.998897938,1,X1O2NoCyA - X1O2PlusCyA,Autophagy - Animal
(KEGG) Protein processing in endoplasmic reticulum,1.98E-05,0.002939478,0.461711712,0.945329815,0.843537415,0.951582618,0.615153544,1,X1O2NoCyA - X1O2PlusCyA,Protein Processing In Endoplasmic Reticulum
(KEGG) Endocytosis,0.916149068,0.997779412,0.993499458,0.996789192,0.96762142,0.980320465,0.999994727,1,X1O2NoCyA - X1O2PlusCyA,Endocytosis
(KEGG) Phagosome,0.109452736,0.603174603,0.818181818,0.959332907,0.713333333,0.951582618,0.982826278,1,X1O2NoCyA - X1O2PlusCyA,Phagosome
(KEGG) Peroxisome,0.463687151,0.958616901,0.928571429,0.968493151,0.199170124,0.942982456,0.998593024,1,X1O2NoCyA - X1O2PlusCyA,Peroxisome
(KEGG) mTOR signaling pathway,0.607142857,0.997779412,0.857754011,0.967340332,0.792192882,0.951582618,0.999876468,1,X1O2NoCyA - X1O2PlusCyA,Mtor Signaling Pathway
(KEGG) PI3K-Akt signaling pathway,0.445887446,0.936966187,0.778578785,0.947427196,0.291759465,0.948231545,0.997098066,1,X1O2NoCyA - X1O2PlusCyA,Pi3k-Akt Signaling Pathway
(KEGG) AMPK signaling pathway,0.062222222,0.530211102,0.715071507,0.945329815,0.82437276,0.951582618,0.972999387,1,X1O2NoCyA - X1O2PlusCyA,Ampk Signaling Pathway
(KEGG) Apoptosis,0.223001403,0.700539759,0.648246546,0.945329815,0.769323671,0.951582618,0.985618614,1,X1O2NoCyA - X1O2PlusCyA,Apoptosis
(KEGG) Longevity regulating pathway,0.307692308,0.825913761,0.655210643,0.945329815,0.931490385,0.972973762,0.995035398,1,X1O2NoCyA - X1O2PlusCyA,Longevity Regulating Pathway
(KEGG) Longevity regulating pathway - multiple species,0.514285714,0.975155144,0.670506912,0.945329815,0.949612403,0.98,0.999409206,1,X1O2NoCyA - X1O2PlusCyA,Longevity Regulating Pathway - Multiple Species
(KEGG) Apoptosis - multiple species,0.432835821,0.936966187,0.883495146,0.967340332,0.895408163,0.962563776,0.998538512,1,X1O2NoCyA - X1O2PlusCyA,Apoptosis - Multiple Species
(KEGG) Ferroptosis,0.386120996,0.902884435,0.237752161,0.857606011,0.719444444,0.951582618,0.98998202,1,X1O2NoCyA - X1O2PlusCyA,Ferroptosis
(KEGG) Necroptosis,0.710638298,0.997779412,0.609257266,0.945329815,0.399758454,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Necroptosis
(KEGG) Cellular senescence,0.135036496,0.622762885,0.366357069,0.945329815,0.730337079,0.951582618,0.980473444,1,X1O2NoCyA - X1O2PlusCyA,Cellular Senescence
(KEGG) Cardiac muscle contraction,0.438636364,0.936966187,0.198847262,0.83945887,NA,NA,0.962734922,1,X1O2NoCyA - X1O2PlusCyA,Cardiac Muscle Contraction
(KEGG) Adrenergic signaling in cardiomyocytes,0.066006601,0.540211916,0.418502203,0.945329815,0.833097595,0.951582618,0.973892503,1,X1O2NoCyA - X1O2PlusCyA,Adrenergic Signaling In Cardiomyocytes
(KEGG) Vascular smooth muscle contraction,0.901033973,0.997779412,0.610986547,0.945329815,0.252564103,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Vascular Smooth Muscle Contraction
(KEGG) Wnt signaling pathway,0.797202797,0.997779412,0.672095548,0.945329815,0.074307305,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Wnt Signaling Pathway
(KEGG) Notch signaling pathway,0.154559505,0.630774524,0.08131068,0.665868538,0.30801105,0.948231545,0.916220172,1,X1O2NoCyA - X1O2PlusCyA,Notch Signaling Pathway
