"","Pathway","Method","Contrast","negativelog10pvalue","pvalue","FDR","negativelog10FDR"
"143","Cellular senescence","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.952044745,0.00111674818421471,0.0358338485644211,1.44570654599149
"144","Tight junction","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.371089692,0.0425510526151647,0.25393654273375,0.595274797489183
"149","Fanconi anemia pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.346342017,0.00450461815667022,0.0684701959813873,1.16449842905523
"156","Necroptosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.663310548,0.0217114811555139,0.171384724659671,0.766027888898502
"159","Thyroid hormone signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.152854656,0.00703307654314248,0.0890856362131381,1.05019231410285
"165","Insulin signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.278321811,0.00526839330274877,0.0761012016994755,1.11860848531444
"168","Progesterone-mediated oocyte maturation","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.669271118,0.0214155327142268,0.171384724659671,0.766027888898502
"175","Parathyroid hormone synthesis, secretion and action","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.667078366,0.0215239331239703,0.171384724659671,0.766027888898502
"183","JAK-STAT signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.664679015,0.0216431756962223,0.171384724659671,0.766027888898502
"187","Proteoglycans in cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.255364179,0.00555438297405188,0.0767514738232624,1.11491327621345
"188","Autophagy - animal","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.997699054,0.00100531218383749,0.0339572115429551,1.46906797983057
"200","Notch signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.007119247,0.0098374095665898,0.108092982225661,0.966202501047658
"210","Protein processing in endoplasmic reticulum","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.803077605,0.0157370163126522,0.146450600787131,0.834308842364079
"216","Natural killer cell mediated cytotoxicity","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.679926492,0.0208964979175574,0.171384724659671,0.766027888898502
"217","Long-term potentiation","Concatenated","X1O2PlusCyA - X1O2NoCyA",4.887532801,1.29558884176192e-05,0.00223422049983557,2.65087396768584
"228","Regulation of actin cytoskeleton","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.597203702,0.0252811192968636,0.186491559282487,0.729340819833819
"230","Phospholipase D signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.610435741,0.0245224726592518,0.184955877583759,0.732931862988034
"233","Legionellosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.362134226,0.0434375952243367,0.255581205449001,0.592471085841875
"239","Aldosterone synthesis and secretion","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.35841635,0.0438110488049819,0.256126131475279,0.591546110026045
"242","B cell receptor signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.661564738,0.021798934276888,0.171384724659671,0.766027888898502
"246","Prostate cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.999030842,0.00100223406056633,0.0339572115429551,1.46906797983057
"248","Ras signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.595913973,0.0253563084989347,0.186491559282487,0.729340819833819
"249","PI3K-Akt signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.202055089,0.00627978696478049,0.0818166530268543,1.08715829068584
"250","Lipid and atherosclerosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.628968512,0.0234980318433096,0.181611907127952,0.740855680977709
"251","Apoptosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.698626369,0.0200158312544538,0.167471909211577,0.776058028612208
"259","Longevity regulating pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.337073119,0.0460179090055851,0.264563136502737,0.577470669327508
"261","ErbB signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.59737117,0.0252713725409745,0.186491559282487,0.729340819833819
"263","Bladder cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.835691709,0.0145985019094226,0.140145618330457,0.853420475960432
"266","Axon guidance","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.309603717,0.0490225934417199,0.274285921588028,0.561796483075542
"267","Neurotrophin signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.725894431,0.00187977369968034,0.0451145687923283,1.34568318928839
"274","Vascular smooth muscle contraction","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.496883906,0.0318504882344835,0.214294012593058,0.668989963041801
"275","Thyroid hormone synthesis","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.213933204,0.00611035997137779,0.0818166530268543,1.08715829068584
"278","RIG-I-like receptor signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.878749903,0.0132205674733657,0.132496236656148,0.877796456992678
"288","TNF signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.370578205,0.0426011963138857,0.25393654273375,0.595274797489183
"289","Gastric cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.700750072,0.0199181926234665,0.167471909211577,0.776058028612208
"300","MAPK signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.828219782,0.00148518384990015,0.0398378726796747,1.39970386071384
"304","Oxytocin signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.267502347,0.00540129195808256,0.0761012016994755,1.11860848531444
"307","Viral life cycle - HIV-1","Concatenated","X1O2NoCyA - X19O2NoCyA",3.309956939,0.000489827384137805,0.0238666535327643,1.6222084714055
"322","HIF-1 signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.396384347,0.00401435386624094,0.0636983849020938,1.19587157923452
"328","Oocyte meiosis","Concatenated","X1O2NoCyA - X19O2NoCyA",2.788208628,0.00162851353331107,0.0412556761772137,1.38451629043887
"329","Wnt signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.391024447,0.0406420450586683,0.249453563271812,0.603010288083858
"330","mRNA surveillance pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.680323221,0.0208774176353048,0.171384724659671,0.766027888898502
"349","FoxO signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.923719507,0.0011920116309072,0.0358338485644211,1.44570654599149
"352","Glucagon signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",3.195131564,0.000638070161654136,0.0264509085194806,1.57755940649379
"356","Adherens junction","Concatenated","X1O2NoCyA - X19O2NoCyA",3.392420872,0.000405115750078302,0.0238666535327643,1.6222084714055
"369","Hippo signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.339684513,0.0457420355410987,0.264563136502737,0.577470669327508
"376","Circadian rhythm","Concatenated","X1O2NoCyA - X19O2NoCyA",3.259984015,0.000549561101083389,0.0238666535327643,1.6222084714055
"377","MicroRNAs in cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.497100047,0.0318346407303716,0.214294012593058,0.668989963041801
"380","Salmonella infection","Concatenated","X1O2NoCyA - X19O2NoCyA",2.937432147,0.00115496241881103,0.0358338485644211,1.44570654599149
"410","Pathways in cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.398250738,0.039971391007071,0.249316626358466,0.60324875841976
"412","mTOR signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.691590845,0.00203427262556545,0.0458516434505899,1.33864509339132
"422","Viral protein interaction with cytokine and cytokine receptor","Concatenated","X1O2NoCyA - X19O2NoCyA",3.738466696,0.000182613678154154,0.0118959767483278,1.92459989334982
"440","Apoptosis - multiple species","Concatenated","X1O2NoCyA - X19O2NoCyA",3.165366411,0.000683334879491048,0.0270957134824276,1.56709940868918
"447","Cellular senescence","Concatenated","X1O2NoCyA - X19O2NoCyA",4.981903953,1.0425479700455e-05,0.00223422049983557,2.65087396768584
"452","AMPK signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.460260276,0.00346529110666034,0.0585249164680413,1.23265919749455
"453","Fanconi anemia pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.171964692,0.00673031371291521,0.0864513536081503,1.06322820239066
"463","Thyroid hormone signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.395926262,0.0401859035906737,0.249316626358466,0.60324875841976
"464","Signaling pathways regulating pluripotency of stem cells","Concatenated","X1O2NoCyA - X19O2NoCyA",1.765699182,0.0171514490678915,0.154872490593238,0.810025717454226
"472","Progesterone-mediated oocyte maturation","Concatenated","X1O2NoCyA - X19O2NoCyA",5.507414572,3.10874734949149e-06,0.00175603923311705,2.75546578539125
"476","NOD-like receptor signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.532951895,0.00293121790612952,0.0534654146078024,1.2719270610076
"491","Proteoglycans in cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.915828576,0.0121386789184327,0.125800854245575,0.900316409821752
"492","Autophagy - animal","Concatenated","X1O2NoCyA - X19O2NoCyA",5.375360167,4.21346929096865e-06,0.00175603923311705,2.75546578539125
"494","Endocytosis","Concatenated","X1O2NoCyA - X19O2NoCyA",2.500186394,0.00316092073960693,0.0543916927268212,1.26446742527237
"495","EGFR tyrosine kinase inhibitor resistance","Concatenated","X1O2NoCyA - X19O2NoCyA",1.809151813,0.0155184444874066,0.14590537497438,0.835928708937829
"500","Platinum drug resistance","Concatenated","X1O2NoCyA - X19O2NoCyA",2.55465809,0.00278831548103283,0.0519117583251031,1.2847342607001
"504","Notch signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.610141331,0.0245391021794242,0.184955877583759,0.732931862988034
"513","Huntington disease","Concatenated","X1O2NoCyA - X19O2NoCyA",1.495445893,0.0319561246849297,0.214294012593058,0.668989963041801
"518","Mineral absorption","Concatenated","X1O2NoCyA - X19O2NoCyA",3.277221795,0.000528175442703682,0.0238666535327643,1.6222084714055
"521","Long-term potentiation","Concatenated","X1O2NoCyA - X19O2NoCyA",2.523612559,0.00299493527446287,0.0535564896139242,1.27118789676952
"532","Regulation of actin cytoskeleton","Concatenated","X1O2NoCyA - X19O2NoCyA",3.322169588,0.000476244981206977,0.0238666535327643,1.6222084714055
"534","Phospholipase D signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",1.505772709,0.0312052230358968,0.214294012593058,0.668989963041801
"537","Legionellosis","Concatenated","X1O2NoCyA - X19O2NoCyA",1.649220198,0.0224274450874851,0.174819059143473,0.757411221417746
"540","Spinocerebellar ataxia","Concatenated","X1O2NoCyA - X19O2NoCyA",1.365359662,0.0431161861220918,0.255337413917842,0.592885544508047
"550","Prostate cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.624051415,0.0237655891530902,0.182136279895952,0.739603538064115
"551","Breast cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.547174495,0.0283677901116945,0.202120504545823,0.694389626319452
"555","Apoptosis","Concatenated","X1O2NoCyA - X19O2NoCyA",2.810462724,0.00154716729341559,0.0403147591884291,1.39453593002186
"563","Longevity regulating pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.058206652,0.00874567527400173,0.0997006981236198,1.00130180066353
"577","Longevity regulating pathway - multiple species","Concatenated","X1O2NoCyA - X19O2NoCyA",1.408228654,0.0390635174061417,0.247402276905564,0.606596307766833
"591","Focal adhesion","Concatenated","X1O2NoCyA - X19O2NoCyA",2.649366882,0.00224198714433455,0.0475509831542583,1.32284049925117
"592","TNF signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.739119304,0.00182339473310002,0.0449442161239788,1.34732618973858
"595","Shigellosis","Concatenated","X1O2NoCyA - X19O2NoCyA",2.066151747,0.00858713425695678,0.0991324866119568,1.00378399996203
"601","Transcriptional misregulation in cancer","Concatenated","X1O2NoCyA - X19O2NoCyA",1.389818858,0.0407550229468202,0.249453563271812,0.603010288083858
"604","MAPK signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.134578781,0.00733535639015991,0.0904033111868357,1.04381566240256
"608","Oxytocin signaling pathway","Concatenated","X1O2NoCyA - X19O2NoCyA",2.218022854,0.00605309020569881,0.0818166530268543,1.08715829068584
"611","Viral life cycle - HIV-1","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.135670083,0.00731694713055694,0.0904033111868357,1.04381566240256
"621","Basal cell carcinoma","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.966093278,0.0108120170528008,0.113525671315441,0.944905921290202
"624","cGMP-PKG signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.504717038,0.0312811680930848,0.214294012593058,0.668989963041801
"632","Oocyte meiosis","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.996111154,0.0100899460938859,0.10954798616219,0.960395601733465
"633","Wnt signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.40507356,0.0393483422313302,0.247487504241194,0.606446723906559
"634","mRNA surveillance pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.533316576,0.0292875756910043,0.205463607924584,0.687265089978421
"642","Autophagy - other","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.520959887,0.0301328432910921,0.209779794515084,0.678236344327348
"644","Lysine degradation","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.317175817,0.0481752728449557,0.271208943423455,0.566695993214215
"653","FoxO signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.26948946,0.00537663481651689,0.0761012016994755,1.11860848531444
"656","Glucagon signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.608286514,0.00246441297123116,0.0488596658644091,1.31104950735316
"660","Adherens junction","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.900551406,0.00125732801980425,0.0358338485644211,1.44570654599149
"674","NF-kappa B signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.900647152,0.0125705085565772,0.127846225894222,0.893312088110909
"680","Circadian rhythm","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.685856075,0.0020613129182831,0.0458516434505899,1.33864509339132
"684","Salmonella infection","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.554533019,0.00278911859422155,0.0519117583251031,1.2847342607001
"714","Pathways in cancer","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.704601726,0.0197423239532209,0.167471909211577,0.776058028612208
"716","mTOR signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",3.130208004,0.000740955278062788,0.028156300566386,1.55042440738319
"726","Viral protein interaction with cytokine and cytokine receptor","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.655186421,2.21214494208289e-05,0.0025175281008885,2.59902567311091
"744","Apoptosis - multiple species","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.800216286,1.58410408534644e-05,0.00223422049983557,2.65087396768584
"751","Cellular senescence","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.201761684,6.28403095936415e-05,0.00521003294085464,2.28315953082981
"756","AMPK signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.265689967,0.00542387950708981,0.0761012016994755,1.11860848531444
"757","Fanconi anemia pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.104160975,0.00786754118435311,0.093580100045471,1.02881649484407
"768","Signaling pathways regulating pluripotency of stem cells","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.102320608,0.0079009514292777,0.093580100045471,1.02881649484407
"776","Progesterone-mediated oocyte maturation","Concatenated","X19O2NoCyA - X1O2PlusCyA",5.238339369,5.77644484577978e-06,0.00175603923311705,2.75546578539125
"778","Propanoate metabolism","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.443066267,0.0360523628180211,0.234417086903504,0.630010735326964
"780","NOD-like receptor signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.392438424,0.00405099377666825,0.0636983849020938,1.19587157923452
"795","Proteoglycans in cancer","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.705433045,0.0197045696833367,0.167471909211577,0.776058028612208
"796","Autophagy - animal","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.604778002,2.48440273113997e-05,0.0025175281008885,2.59902567311091
"798","Endocytosis","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.207638584,0.00619956782976697,0.0818166530268543,1.08715829068584
"799","EGFR tyrosine kinase inhibitor resistance","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.744242456,0.0180201144102266,0.159556741185696,0.797084842376756
"804","Platinum drug resistance","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.036955455,9.18426793451723e-05,0.00644311719713824,2.19090396897842
"822","Mineral absorption","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.765770766,1.71486222575099e-05,0.00223422049983557,2.65087396768584
"824","Natural killer cell mediated cytotoxicity","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.333345525,0.0464145853513573,0.264563136502737,0.577470669327508
"825","Long-term potentiation","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.432251338,0.0369614212098834,0.23738602917897,0.62454484405464
"836","Regulation of actin cytoskeleton","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.507853345,0.00310560813027664,0.0543916927268212,1.26446742527237
"838","Phospholipase D signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.033025947,0.00926774451423098,0.103075402402179,0.986844961055301
"841","Legionellosis","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.4447455,0.0359132327376285,0.234417086903504,0.630010735326964
"846","Cytokine-cytokine receptor interaction","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.560066557,0.0275380664143892,0.197753673778921,0.703875439627541
"855","Breast cancer","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.712350553,0.0193931986910321,0.167471909211577,0.776058028612208
"859","Apoptosis","Concatenated","X19O2NoCyA - X1O2PlusCyA",3.260648415,0.000548721004652118,0.0238666535327643,1.6222084714055
"867","Longevity regulating pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.780443949,0.0165789129413457,0.15202027622722,0.818098482671584
"881","Longevity regulating pathway - multiple species","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.5788376,0.0263731739945028,0.192418677463892,0.71575277467964
"895","Focal adhesion","Concatenated","X19O2NoCyA - X1O2PlusCyA",3.370730864,0.000425862241845658,0.0238666535327643,1.6222084714055
"896","TNF signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",4.246242473,5.672278253435e-05,0.00517311776713272,2.28624763467158
"899","Shigellosis","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.778093321,0.0166688899371952,0.15202027622722,0.818098482671584
"905","Transcriptional misregulation in cancer","Concatenated","X19O2NoCyA - X1O2PlusCyA",1.560927961,0.0274835000039976,0.197753673778921,0.703875439627541
"908","MAPK signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.426342185,0.00374677673598756,0.0621283706040119,1.20671003616583
"912","Oxytocin signaling pathway","Concatenated","X19O2NoCyA - X1O2PlusCyA",2.096145893,0.00801408800065997,0.0937031827769474,1.02824565736206
"1","Hepatocellular carcinoma","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.58201718570478,2.61807940471523e-05,0.000114398687032122,3.94157895996587
"5","Melanoma","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.9179995344909,1.2078151297321e-05,5.88535372305823e-05,4.23022742995636
"9","C-type lectin receptor signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",2.99318386200386,0.00101581854700804,0.00270436460859094,2.56793475621256
"103","Acute myeloid leukemia","Proteomics","X1O2PlusCyA - X1O2NoCyA",5.6032007687039,2.49344177468668e-06,1.48282148399948e-05,4.82891113028017
"13","Non-small cell lung cancer","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.34552355471637,4.51311547010667e-05,0.000174449271056046,3.75833084093068
"163","HIF-1 signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.29692287560294,0.000504750926043941,0.0014493562304976,2.83882485819671
"185","Parkinson disease","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.51411785543954,0.000306113261473977,0.000953934349709603,3.02048151265431
"19","Amoebiasis","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.19837885994106,6.33316991536681e-05,0.000228334915334301,3.64142767424077
"23","Wnt signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.48687809768162,0.000325928173092931,0.000996373578580671,3.00157779742292
"29","Fc epsilon RI signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",6.86857990021235,1.35338107672412e-07,1.23649816555249e-06,5.90780652361406
"30","GnRH secretion","Proteomics","X1O2PlusCyA - X1O2NoCyA",5.88718537314552,1.29662570445259e-06,8.27370687603083e-06,5.08229986951464
"32","T cell receptor signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.38452516153466,4.12548334786935e-05,0.000163393527669308,3.78676515069942
"335","Lysine degradation","Proteomics","X1O2PlusCyA - X1O2NoCyA",6.56552677057792,2.71940085289322e-07,2.2084831168951e-06,5.65590591642702
"34","Phosphatidylinositol signaling system","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.72471208996697,0.000188489824483597,0.000621089421659065,3.20684586755725
"37","Epstein-Barr virus infection","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.05867564143537,0.000873623602108433,0.00235894136282496,2.62728285441668
"38","Terpenoid backbone biosynthesis","Proteomics","X1O2PlusCyA - X1O2NoCyA",1.71304752336942,0.0193621007946418,0.0408586064012914,1.38871645029659
"39","cAMP signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.6374090309688,0.000230457565098734,0.000747128557820089,3.12660466304656
"402","FoxO signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",2.75376760968997,0.00176291912938563,0.00454290698726298,2.34266615495996
"41","Amino sugar and nucleotide sugar metabolism","Proteomics","X1O2PlusCyA - X1O2NoCyA",5.74709979233324,1.79019445528276e-06,1.09039116821768e-05,4.96241767479064
"442","Relaxin signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",2.27890212752053,0.00526135822848918,0.012312522581226,1.90965295999542
"451","VEGF signaling pathway","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.51555897800626,3.05099167060764e-05,0.000128429178176364,3.89133629650553
"46","Endometrial cancer","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.31353182068656,0.000485811934271455,0.00140501005451169,2.85232056785618
"49","Chronic myeloid leukemia","Proteomics","X1O2PlusCyA - X1O2NoCyA",2.57124323472038,0.0026838408895302,0.00665990146661198,2.17653219617854
"506","PD-L1 expression and PD-1 checkpoint pathway in cancer","Proteomics","X1O2PlusCyA - X1O2NoCyA",3.93878852779418,0.000115136088779259,0.000395595792215917,3.40274833645587
"511","Chemical carcinogenesis - receptor activation","Proteomics","X1O2PlusCyA - X1O2NoCyA",4.84403474759558,1.4320733155125e-05,6.69411014925611e-05,4.17430714575468
