"","Pathway","P.value","Contrast","X.log10Pvalue","Pathway.Name","BHpvals","negativeLog10_adjpvals"
"63","hsa04390",0.0176395807764404,"1% O2, CyA+ vs 1% O2, CyA-",1.75351174055579,"Hippo signaling pathway",1,0
"64","hsa04064",0.200499338524844,"1% O2, CyA+ vs 1% O2, CyA-",0.697887055839231,"NF-kappa B signaling pathway",1,0
"65","hsa04932",0.261589782985666,"1% O2, CyA+ vs 1% O2, CyA-",0.582379222425745,"Non-alcoholic fatty liver disease",1,0
"66","hsa05222",0.040715158655015,"1% O2, CyA+ vs 1% O2, CyA-",1.39024386854981,"Small cell lung cancer",1,0
"67","hsa05320",0.555825980555502,"1% O2, CyA+ vs 1% O2, CyA-",0.255061157184077,"Autoimmune thyroid disease",1,0
"68","hsa04115",0.0479035785556625,"1% O2, CyA+ vs 1% O2, CyA-",1.31963204214022,"p53 signaling pathway",1,0
"69","hsa04710",0.160269830183734,"1% O2, CyA+ vs 1% O2, CyA-",0.795148223234674,"Circadian rhythm",1,0
"70","hsa05206",0.000664617296126861,"1% O2, CyA+ vs 1% O2, CyA-",3.17742836074808,"MicroRNAs in cancer",0.430672007890206,0.365853354877489
"71","hsa05032",0.471311616823057,"1% O2, CyA+ vs 1% O2, CyA-",0.326691855678568,"Morphine addiction",1,0
"72","hsa00620",0.33322384337416,"1% O2, CyA+ vs 1% O2, CyA-",0.477263930808623,"Pyruvate metabolism",1,0
"73","hsa05132",0.197136267987642,"1% O2, CyA+ vs 1% O2, CyA-",0.70523346938912,"Salmonella infection",1,0
"74","hsa04658",0.141718556138628,"1% O2, CyA+ vs 1% O2, CyA-",0.848573281008779,"Th1 and Th2 cell differentiation",1,0
"75","hsa05014",0.0351590773018352,"1% O2, CyA+ vs 1% O2, CyA-",1.45396253086731,"Amyotrophic lateral sclerosis",1,0
"76","hsa04933",0.476379252125895,"1% O2, CyA+ vs 1% O2, CyA-",0.322047161722121,"AGE-RAGE signaling pathway in diabetic complications",1,0
"77","hsa00531",0.485347524961082,"1% O2, CyA+ vs 1% O2, CyA-",0.313947180727168,"Glycosaminoglycan degradation",1,0
"78","hsa04714",0.0683798789504421,"1% O2, CyA+ vs 1% O2, CyA-",1.16507167234904,"Thermogenesis",1,0
"79","hsa00592",0.466665162175495,"1% O2, CyA+ vs 1% O2, CyA-",0.330994619169854,"alpha-Linolenic acid metabolism",1,0
"80","hsa05170",8.33508060748401e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.07909019581003,"Human immunodeficiency virus 1 infection",6.23464029439804e-05,4.20518859794557
"81","hsa05160",3.12665704302206e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.50491975306837,"Hepatitis C",0.0214488673151314,1.66859563736162
"82","hsa04392",0.0582092735811059,"1% O2, CyA+ vs 1% O2, CyA-",1.23500782043142,"Hippo signaling pathway - multiple species",1,0
"83","hsa04666",0.000594620534669522,"1% O2, CyA+ vs 1% O2, CyA-",3.22576009691435,"Fc gamma R-mediated phagocytosis",0.386503347535189,0.412846740271491
"84","hsa04920",0.0623073269987122,"1% O2, CyA+ vs 1% O2, CyA-",1.20546087969709,"Adipocytokine signaling pathway",1,0
"85","hsa04940",0.551177268587503,"1% O2, CyA+ vs 1% O2, CyA-",0.258708701714693,"Type I diabetes mellitus",1,0
"86","hsa04672",0.0764922789366375,"1% O2, CyA+ vs 1% O2, CyA-",1.11638239993713,"Intestinal immune network for IgA production",1,0
"87","hsa00780",0.5233070802331,"1% O2, CyA+ vs 1% O2, CyA-",0.281243389308941,"Biotin metabolism",1,0
"88","hsa00590",0.311927055650781,"1% O2, CyA+ vs 1% O2, CyA-",0.505946954161619,"Arachidonic acid metabolism",1,0
"89","hsa05161",0.0199902371600414,"1% O2, CyA+ vs 1% O2, CyA-",1.69918205347136,"Hepatitis B",1,0
"90","hsa04540",1.972870689465e-42,"1% O2, CyA+ vs 1% O2, CyA-",41.7049013793663,"Gap junction",1.6966687929399e-39,38.7704029281227
"91","hsa04913",0.158010598921146,"1% O2, CyA+ vs 1% O2, CyA-",0.801313780776056,"Ovarian steroidogenesis",1,0
"92","hsa05212",0.26553751820573,"1% O2, CyA+ vs 1% O2, CyA-",0.575874108109569,"Pancreatic cancer",1,0
"93","hsa05211",2.63129521031311e-271,"1% O2, CyA+ vs 1% O2, CyA-",270.579830424808,"Renal cell carcinoma",2.31553978507554e-268,267.635347752657
"94","hsa04371",0.000998832940487561,"1% O2, CyA+ vs 1% O2, CyA-",3.00050714349722,"Apelin signaling pathway",0.639253081912039,0.194327169513335
"95","hsa05164",0.0573806459542989,"1% O2, CyA+ vs 1% O2, CyA-",1.24123456705536,"Influenza A",1,0
"96","hsa04146",0.0687659046373194,"1% O2, CyA+ vs 1% O2, CyA-",1.16262683935399,"Peroxisome",1,0
"97","hsa04122",3.88683549872067e-19,"1% O2, CyA+ vs 1% O2, CyA-",18.4104038394844,"Sulfur relay system",3.18331827345223e-16,15.497119937724
"98","hsa05167",0.282896777127656,"1% O2, CyA+ vs 1% O2, CyA-",0.548372000169901,"Kaposi sarcoma-associated herpesvirus infection",1,0
"99","hsa00562",0.429212441346906,"1% O2, CyA+ vs 1% O2, CyA-",0.367327697866389,"Inositol phosphate metabolism",1,0
"100","hsa04935",0.00049374735395882,"1% O2, CyA+ vs 1% O2, CyA-",3.30649521878657,"Growth hormone synthesis, secretion and action",0.321429527427192,0.492914230218381
"101","hsa00240",0.290162603852191,"1% O2, CyA+ vs 1% O2, CyA-",0.537358560151759,"Pyrimidine metabolism",1,0
"102","hsa05200",0.241681287083585,"1% O2, CyA+ vs 1% O2, CyA-",0.616756974875581,"Pathways in cancer",1,0
"103","hsa00480",0.382340201726951,"1% O2, CyA+ vs 1% O2, CyA-",0.41755003504336,"Glutathione metabolism",1,0
"104","hsa04150",8.14566566470463e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.08907341931185,"mTOR signaling pathway",6.10110358286377e-05,4.21459160161239
"105","hsa05034",5.02842406849888e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.29856810353126,"Alcoholism",3.84674441240164e-06,5.41490666837764
"106","hsa04750",0.176511760135805,"1% O2, CyA+ vs 1% O2, CyA-",0.75322635434447,"Inflammatory mediator regulation of TRP channels",1,0
"107","hsa04137",0.0742958080555514,"1% O2, CyA+ vs 1% O2, CyA-",1.12903568946555,"Mitophagy - animal",1,0
"108","hsa05203",0.000358104654018036,"1% O2, CyA+ vs 1% O2, CyA-",3.44599003475124,"Viral carcinogenesis",0.234916653035831,0.629086195375583
"109","hsa03320",0.466045627726567,"1% O2, CyA+ vs 1% O2, CyA-",0.331571562065768,"PPAR signaling pathway",1,0
"110","hsa00564",0.48320632563728,"1% O2, CyA+ vs 1% O2, CyA-",0.315867389015684,"Glycerophospholipid metabolism",1,0
"111","hsa04961",0.467246789339015,"1% O2, CyA+ vs 1% O2, CyA-",0.330453674169868,"Endocrine and other factor-regulated calcium reabsorption",1,0
"112","hsa00220",0.505906782967332,"1% O2, CyA+ vs 1% O2, CyA-",0.295929497730126,"Arginine biosynthesis",1,0
"113","hsa05168",5.49119067211285e-30,"1% O2, CyA+ vs 1% O2, CyA-",29.2603334759029,"Herpes simplex virus 1 infection",4.64554730860747e-27,26.3329631128639
"114","hsa04061",0.0028395318083201,"1% O2, CyA+ vs 1% O2, CyA-",2.54675326200411,"Viral protein interaction with cytokine and cytokine receptor",1,0
"115","hsa05412",0.362722893783468,"1% O2, CyA+ vs 1% O2, CyA-",0.440425032426042,"Arrhythmogenic right ventricular cardiomyopathy",1,0
"116","hsa04924",0.00416121182957638,"1% O2, CyA+ vs 1% O2, CyA-",2.38078017556141,"Renin secretion",1,0
"117","hsa05143",0.468686434712858,"1% O2, CyA+ vs 1% O2, CyA-",0.329117616171719,"African trypanosomiasis",1,0
"118","hsa04960",0.0272486136053,"1% O2, CyA+ vs 1% O2, CyA-",1.56465558949321,"Aldosterone-regulated sodium reabsorption",1,0
"119","hsa05162",0.361770461727848,"1% O2, CyA+ vs 1% O2, CyA-",0.441566895829706,"Measles",1,0
"120","hsa00730",0.433046179990116,"1% O2, CyA+ vs 1% O2, CyA-",0.363465788068172,"Thiamine metabolism",1,0
"121","hsa05030",0.251852605267605,"1% O2, CyA+ vs 1% O2, CyA-",0.598853552261134,"Cocaine addiction",1,0
"122","hsa00750",0.389043903041302,"1% O2, CyA+ vs 1% O2, CyA-",0.410001386405134,"Vitamin B6 metabolism",1,0
"123","hsa04623",0.223158959398729,"1% O2, CyA+ vs 1% O2, CyA-",0.651385672393608,"Cytosolic DNA-sensing pathway",1,0
"124","hsa00650",0.392968234326297,"1% O2, CyA+ vs 1% O2, CyA-",0.405642554495759,"Butanoate metabolism",1,0
"125","hsa05010",0.0407497854622323,"1% O2, CyA+ vs 1% O2, CyA-",1.38987467337343,"Alzheimer disease",1,0
"126","hsa05031",0.189083703435188,"1% O2, CyA+ vs 1% O2, CyA-",0.723345900098154,"Amphetamine addiction",1,0
"127","hsa00071",0.0991784992961545,"1% O2, CyA+ vs 1% O2, CyA-",1.00358246745376,"Fatty acid degradation",1,0
"128","hsa00561",0.397036020857782,"1% O2, CyA+ vs 1% O2, CyA-",0.401170090339868,"Glycerolipid metabolism",1,0
"129","hsa04614",0.0408106432287116,"1% O2, CyA+ vs 1% O2, CyA-",1.38922656012801,"Renin-angiotensin system",1,0
"130","hsa04971",0.000176086922889821,"1% O2, CyA+ vs 1% O2, CyA-",3.75427289575148,"Gastric acid secretion",0.117449977567511,0.930147061834926
"131","hsa04215",0.0432232116729753,"1% O2, CyA+ vs 1% O2, CyA-",1.36428296628135,"Apoptosis - multiple species",1,0
"132","hsa04080",0.363806356109709,"1% O2, CyA+ vs 1% O2, CyA-",0.439129717589031,"Neuroactive ligand-receptor interaction",1,0
"133","hsa05231",0.0865900057383948,"1% O2, CyA+ vs 1% O2, CyA-",1.06253223157555,"Choline metabolism in cancer",1,0
"134","hsa05166",5.55605345795854e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.25523358431946,"Human T-cell leukemia virus 1 infection",0.00392257374131873,2.40642888326766
"135","hsa00790",0.178303378172374,"1% O2, CyA+ vs 1% O2, CyA-",0.748840428514367,"Folate biosynthesis",1,0
"136","hsa00983",0.238045486951249,"1% O2, CyA+ vs 1% O2, CyA-",0.623340047799001,"Drug metabolism - other enzymes",1,0
"137","hsa04721",0.206193927023334,"1% O2, CyA+ vs 1% O2, CyA-",0.685724130027743,"Synaptic vesicle cycle",1,0
"138","hsa04218",4.2003632892081e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.37671314586989,"Cellular senescence",0.0286464776323993,1.54292877121342
"139","hsa04530",0.205218766459658,"1% O2, CyA+ vs 1% O2, CyA-",0.687782927199538,"Tight junction",1,0
"140","hsa04340",0.0489047281410618,"1% O2, CyA+ vs 1% O2, CyA-",1.31064915097235,"Hedgehog signaling pathway",1,0
"141","hsa04725",0.0676762516237139,"1% O2, CyA+ vs 1% O2, CyA-",1.16956370351836,"Cholinergic synapse",1,0
"142","hsa04740",0.540835267501751,"1% O2, CyA+ vs 1% O2, CyA-",0.266934996093784,"Olfactory transduction",1,0
"143","hsa04152",2.79128343395516e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.55419606191593,"AMPK signaling pathway",0.00200135022214585,2.69867690624813
"144","hsa03460",1.00539200691234e-64,"1% O2, CyA+ vs 1% O2, CyA-",63.9976645718309,"Fanconi anemia pathway",8.69664085979173e-62,61.0606484643661
"145","hsa05214",0.000926055364561484,"1% O2, CyA+ vs 1% O2, CyA-",3.03336304808613,"Glioma",0.595453599413034,0.225152075161904
"146","hsa00440",0.528350325635679,"1% O2, CyA+ vs 1% O2, CyA-",0.277078020573829,"Phosphonate and phosphinate metabolism",1,0
"147","hsa04020",0.117095933914206,"1% O2, CyA+ vs 1% O2, CyA-",0.931458185280176,"Calcium signaling pathway",1,0
"148","hsa04514",0.373171329332719,"1% O2, CyA+ vs 1% O2, CyA-",0.428091730388838,"Cell adhesion molecules",1,0
"149","hsa04613",0.0981077196161357,"1% O2, CyA+ vs 1% O2, CyA-",1.00829681876901,"Neutrophil extracellular trap formation",1,0
"150","hsa00250",0.442144119729163,"1% O2, CyA+ vs 1% O2, CyA-",0.354436146485462,"Alanine, aspartate and glutamate metabolism",1,0
"151","hsa04217",0.118864270701945,"1% O2, CyA+ vs 1% O2, CyA-",0.924948669930337,"Necroptosis",1,0
"152","hsa04934",1.01341677331787e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.99421191186782,"Cushing syndrome",0.000736753994202094,3.13267750100878
"153","hsa05140",0.0592188263414549,"1% O2, CyA+ vs 1% O2, CyA-",1.22754020414835,"Leishmaniasis",1,0
"154","hsa04919",3.66338588570582e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.43611733216651,"Thyroid hormone signaling pathway",2.76219295782219e-05,4.55874598629673
"155","hsa04550",0.239525303765281,"1% O2, CyA+ vs 1% O2, CyA-",0.62064860039075,"Signaling pathways regulating pluripotency of stem cells",1,0
"156","hsa00061",0.0287645914403036,"1% O2, CyA+ vs 1% O2, CyA-",1.54114179012386,"Fatty acid biosynthesis",1,0
"157","hsa00532",0.432938801686386,"1% O2, CyA+ vs 1% O2, CyA-",0.363573489254709,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,0
"158","hsa04742",0.300411135629384,"1% O2, CyA+ vs 1% O2, CyA-",0.522283972956951,"Taste transduction",1,0
"159","hsa04261",0.0976548227212499,"1% O2, CyA+ vs 1% O2, CyA-",1.01030630404528,"Adrenergic signaling in cardiomyocytes",1,0
"160","hsa04910",3.61690629011353e-12,"1% O2, CyA+ vs 1% O2, CyA-",11.4416627431637,"Insulin signaling pathway",2.84288834402923e-09,8.54624019712427
"161","hsa04015",0.00232229582899882,"1% O2, CyA+ vs 1% O2, CyA-",2.63408245784537,"Rap1 signaling pathway",1,0
"162","hsa05208",1.63517357332762e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.78643614028971,"Chemical carcinogenesis - reactive oxygen species",0.000121820431212908,3.91427986754142
"163","hsa04914",1.75318289898564e-70,"1% O2, CyA+ vs 1% O2, CyA-",69.7561727742218,"Progesterone-mediated oocyte maturation",1.51825639052156e-67,66.8186548822045
"164","hsa04130",0.147477672790979,"1% O2, CyA+ vs 1% O2, CyA-",0.831273724212183,"SNARE interactions in vesicular transport",1,0
"165","hsa00640",0.133305794480529,"1% O2, CyA+ vs 1% O2, CyA-",0.875150972444918,"Propanoate metabolism",1,0
"166","hsa00450",0.445042902885906,"1% O2, CyA+ vs 1% O2, CyA-",0.351598120280919,"Selenocompound metabolism",1,0
"167","hsa04621",0.00183710497895535,"1% O2, CyA+ vs 1% O2, CyA-",2.73586602579634,"NOD-like receptor signaling pathway",1,0
"168","hsa05130",0.0564109559727361,"1% O2, CyA+ vs 1% O2, CyA-",1.24863654040639,"Pathogenic Escherichia coli infection",1,0
"169","hsa04670",0.156993529876902,"1% O2, CyA+ vs 1% O2, CyA-",0.804118245658668,"Leukocyte transendothelial migration",1,0
"170","hsa04928",0.0300277831147435,"1% O2, CyA+ vs 1% O2, CyA-",1.52247672962496,"Parathyroid hormone synthesis, secretion and action",1,0
"171","hsa00130",0.427186006941893,"1% O2, CyA+ vs 1% O2, CyA-",0.369382981652374,"Ubiquinone and other terpenoid-quinone biosynthesis",1,0
"172","hsa05100",0.125045103945212,"1% O2, CyA+ vs 1% O2, CyA-",0.902933308101449,"Bacterial invasion of epithelial cells",1,0
"173","hsa05414",0.439203169202712,"1% O2, CyA+ vs 1% O2, CyA-",0.357334534764057,"Dilated cardiomyopathy",1,0
"174","hsa05321",0.447414844312418,"1% O2, CyA+ vs 1% O2, CyA-",0.349289610994812,"Inflammatory bowel disease",1,0
"175","hsa00051",0.0713642407345113,"1% O2, CyA+ vs 1% O2, CyA-",1.14651935043581,"Fructose and mannose metabolism",1,0
"176","hsa05230",1.13654509015175e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.94441332983286,"Central carbon metabolism in cancer",8.48999182343356e-05,4.07109272801746
"177","hsa04727",0.373665441833407,"1% O2, CyA+ vs 1% O2, CyA-",0.427517065690785,"GABAergic synapse",1,0
"178","hsa04630",0.0019460484311985,"1% O2, CyA+ vs 1% O2, CyA-",2.71084635567068,"JAK-STAT signaling pathway",1,0
"179","hsa00603",0.564102304731467,"1% O2, CyA+ vs 1% O2, CyA-",0.248642125890431,"Glycosphingolipid biosynthesis - globo and isoglobo series",1,0
"180","hsa00340",0.337862466265945,"1% O2, CyA+ vs 1% O2, CyA-",0.471260052081239,"Histidine metabolism",1,0
"181","hsa04610",0.479620622174467,"1% O2, CyA+ vs 1% O2, CyA-",0.319102151878378,"Complement and coagulation cascades",1,0
"182","hsa05205",0.0198181285583892,"1% O2, CyA+ vs 1% O2, CyA-",1.70293735868718,"Proteoglycans in cancer",1,0
"183","hsa04140",1.19162064078531e-26,"1% O2, CyA+ vs 1% O2, CyA-",25.9238619827132,"Autophagy - animal",9.97386476337305e-24,23.0011365247199
"184","hsa00010",0.391500143765496,"1% O2, CyA+ vs 1% O2, CyA-",0.407268074125705,"Glycolysis / Gluconeogenesis",1,0
"185","hsa04144",2.62143960317445e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.58146014379051,"Endocytosis",0.000193724386674592,3.71281570539568
"186","hsa01521",0.00435980096569605,"1% O2, CyA+ vs 1% O2, CyA-",2.36053333675732,"EGFR tyrosine kinase inhibitor resistance",1,0
"187","hsa05415",0.0542895405235066,"1% O2, CyA+ vs 1% O2, CyA-",1.26528383395585,"Diabetic cardiomyopathy",1,0
"188","hsa05133",2.13227627124406e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.67115652605091,"Pertussis",0.000158001671699185,3.80133831807159
"189","hsa04620",0.0911114392798404,"1% O2, CyA+ vs 1% O2, CyA-",1.04042709279402,"Toll-like receptor signaling pathway",1,0
"190","hsa00980",0.375988374761968,"1% O2, CyA+ vs 1% O2, CyA-",0.424825582877603,"Metabolism of xenobiotics by cytochrome P450",1,0
"191","hsa01524",9.46097144192141e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.02406426843906,"Platinum drug resistance",7.19979926730219e-06,5.14267961166849
"192","hsa00630",0.369610741647378,"1% O2, CyA+ vs 1% O2, CyA-",0.432255415778786,"Glyoxylate and dicarboxylate metabolism",1,0
"193","hsa05022",0.0468674982797103,"1% O2, CyA+ vs 1% O2, CyA-",1.32912822788184,"Pathways of neurodegeneration - multiple diseases",1,0
"194","hsa05165",0.108500074525601,"1% O2, CyA+ vs 1% O2, CyA-",0.96456996351088,"Human papillomavirus infection",1,0
"195","hsa04330",1.92549319193329e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.71545801259619,"Notch signaling pathway",0.0013882805913839,2.85752274787676
