Contrast,Pathway,FDR,Method,negativelog10FDR
X19O2NoCyA - X1O2NoCyA,Mineral absorption,0.853911095,Proteomics,0.068587344
X19O2NoCyA - X1O2NoCyA,Mitophagy - animal,0.858175054,Proteomics,0.066424114
X19O2NoCyA - X1O2NoCyA,Diabetic cardiomyopathy,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Carbohydrate digestion and absorption,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Biosynthesis of unsaturated fatty acids,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,ErbB signaling pathway,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,B cell receptor signaling pathway,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Non-small cell lung cancer,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Oxytocin signaling pathway,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Salmonella infection,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Glycosaminoglycan biosynthesis - keratan sulfate,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Endocytosis,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Hepatocellular carcinoma,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,"Parathyroid hormone synthesis, secretion and action",0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,mRNA surveillance pathway,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Pantothenate and CoA biosynthesis,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,AGE-RAGE signaling pathway in diabetic complications,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,"Growth hormone synthesis, secretion and action",0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Lysine degradation,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Tryptophan metabolism,0.859358656,Proteomics,0.065825544
X19O2NoCyA - X1O2NoCyA,Tight junction,0.862719267,Proteomics,0.064130503
X19O2NoCyA - X1O2NoCyA,Ferroptosis,0.862719267,Proteomics,0.064130503
X19O2NoCyA - X1O2NoCyA,Nitrogen metabolism,0.869342169,Proteomics,0.060809253
X19O2NoCyA - X1O2NoCyA,Thyroid cancer,0.869428625,Proteomics,0.060766065
X19O2NoCyA - X1O2NoCyA,Various types of N-glycan biosynthesis,0.876021601,Proteomics,0.057485185
X19O2NoCyA - X1O2NoCyA,Spinocerebellar ataxia,0.876239976,Proteomics,0.057376937
X19O2NoCyA - X1O2NoCyA,Aldosterone-regulated sodium reabsorption,0.908022137,Proteomics,0.041903564
X19O2NoCyA - X1O2NoCyA,Fluid shear stress and atherosclerosis,0.908022137,Proteomics,0.041903564
X19O2NoCyA - X1O2NoCyA,Axon guidance,0.908022137,Proteomics,0.041903564
X19O2NoCyA - X1O2NoCyA,Retinol metabolism,0.914440255,Proteomics,0.038844664
X19O2NoCyA - X1O2NoCyA,Viral life cycle - HIV-1,0.915674701,Proteomics,0.038258785
X19O2NoCyA - X1O2NoCyA,"Valine, leucine and isoleucine biosynthesis",0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,Regulation of actin cytoskeleton,0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,Notch signaling pathway,0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,Natural killer cell mediated cytotoxicity,0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,DNA replication,0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,Breast cancer,0.919039607,Proteomics,0.036665772
X19O2NoCyA - X1O2NoCyA,Hippo signaling pathway - multiple species,0.919039607,Proteomics,0.036665772
