"","pathway","transcriptome_pval","transcriptome_padj","proteome_pval","proteome_padj","phosphoproteome_pval","phosphoproteome_padj","combined_pval","combined_padj","Contrast","negativelog10FDR","Pathway","Algorithm"
"11","(KEGG) Synthesis and degradation of ketone bodies",0.531914893617021,0.992553191489362,0.0151922679159161,0.287703573657661,0.08203125,0.949913945229951,0.978903940570586,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Synthesis And Degradation Of Ketone Bodies","multiGSEA"
"12","(KEGG) Steroid biosynthesis",0.00786538918461149,0.248151566547158,0.436024844720497,0.951889417467014,0.204158790170132,0.949913945229951,0.935340187986124,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Steroid Biosynthesis","multiGSEA"
"13","(KEGG) Primary bile acid biosynthesis",0.930357142857143,0.992553191489362,0.219117647058824,0.842765510586365,NA,NA,0.992513770407829,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Primary Bile Acid Biosynthesis","multiGSEA"
"14","(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis",0.552036199095023,0.992553191489362,0.606786427145709,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Ubiquinone And Other Terpenoid-Quinone Biosynthesis","multiGSEA"
"15","(KEGG) Steroid hormone biosynthesis",0.0449640287769784,0.478812316715543,0.276944065484311,0.932378353797181,NA,NA,0.845818418606753,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Steroid Hormone Biosynthesis","multiGSEA"
"16","(KEGG) Oxidative phosphorylation",0.840796019900497,0.992553191489362,0.939320388349515,0.968075094115316,0.962616822429907,0.974741676234214,0.999843820322741,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Oxidative Phosphorylation","multiGSEA"
"17","(KEGG) Arginine biosynthesis",0.103202846975089,0.649217181854677,0.712,0.951889417467014,NA,NA,0.926080941839029,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Arginine Biosynthesis","multiGSEA"
"18","(KEGG) Purine metabolism",0.409295352323838,0.955855568709589,1,1,0.48014440433213,0.949913945229951,0.991051850433076,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Purine Metabolism","multiGSEA"
"19","(KEGG) Caffeine metabolism",0.648421052631579,0.992553191489362,0.495029821073559,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Caffeine Metabolism","multiGSEA"
"20","(KEGG) Pyrimidine metabolism",0.358353510895884,0.921057370980329,0.053021278703593,0.553980946454782,0.173652694610778,0.949913945229951,0.967326882383019,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Pyrimidine Metabolism","multiGSEA"
"21","(KEGG) Alanine, aspartate and glutamate metabolism",0.138795986622074,0.69001801326831,0.567367119901112,0.951889417467014,0.955602536997886,0.974741676234214,0.991243350247476,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Alanine, Aspartate And Glutamate Metabolism","multiGSEA"
"22","(KEGG) Glycine, serine and threonine metabolism",0.00626844316065333,0.243685727870398,0.169344870210136,0.813506815365551,0.716796875,0.949913945229951,0.856010501467825,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycine, Serine And Threonine Metabolism","multiGSEA"
"23","(KEGG) Cysteine and methionine metabolism",0.0746527777777778,0.610974049707602,0.600223964165734,0.951889417467014,0.922720247295209,0.97168091347822,0.986912691918078,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Cysteine And Methionine Metabolism","multiGSEA"
"24","(KEGG) Valine, leucine and isoleucine degradation",0.42512908777969,0.955855568709589,2.83859897762589e-07,8.60095490220645e-05,0.572429906542056,0.949913945229951,0.406796989805526,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Valine, Leucine And Isoleucine Degradation","multiGSEA"
"25","(KEGG) Lysine degradation",0.0736301369863014,0.610974049707602,0.000627885684863312,0.0317082270855973,0.100821380890688,0.949913945229951,0.516030777463913,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Lysine Degradation","multiGSEA"
"26","(KEGG) Arginine and proline metabolism",0.127551020408163,0.69001801326831,0.147579693034238,0.813506815365551,0.537109375,0.949913945229951,0.959927177423327,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Arginine And Proline Metabolism","multiGSEA"
"27","(KEGG) Histidine metabolism",0.0682226211849192,0.606206719671711,0.00984734631672228,0.19891639559779,NA,NA,0.341882664600317,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Histidine Metabolism","multiGSEA"
"28","(KEGG) Tyrosine metabolism",0.567190226876091,0.992553191489362,0.357333333333333,0.951137171286425,NA,NA,0.99809044696226,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Tyrosine Metabolism","multiGSEA"
"29","(KEGG) Phenylalanine metabolism",0.617594254937163,0.992553191489362,0.688235294117647,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Phenylalanine Metabolism","multiGSEA"
"30","(KEGG) Tryptophan metabolism",0.527093596059113,0.992553191489362,0.0231707317073171,0.351036585365854,0.568359375,0.949913945229951,0.98358464824088,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Tryptophan Metabolism","multiGSEA"
"31","(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis",0.656,0.992553191489362,0.3536,0.951137171286425,NA,NA,0.99809044696226,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis","multiGSEA"
"32","(KEGG) beta-Alanine metabolism",0.139455782312925,0.69001801326831,0.000234357327286987,0.0142020540335914,0.568359375,0.949913945229951,0.488084942392799,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Beta-Alanine Metabolism","multiGSEA"
"33","(KEGG) Taurine and hypotaurine metabolism",0.977055449330784,0.992553191489362,0.774451097804391,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Taurine And Hypotaurine Metabolism","multiGSEA"
"34","(KEGG) Phosphonate and phosphinate metabolism",0.958015267175573,0.992553191489362,0.6928,0.951889417467014,0.000793888067552841,0.204823121428633,0.970633348473582,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Phosphonate And Phosphinate Metabolism","multiGSEA"
"35","(KEGG) Selenocompound metabolism",0.357271095152603,0.921057370980329,0.773333333333333,0.951889417467014,0.0350467289719626,0.949913945229951,0.996784123153787,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Selenocompound Metabolism","multiGSEA"
"36","(KEGG) D-Glutamine and D-glutamate metabolism",0.188284518828452,0.712724101565669,0.4768,0.951889417467014,NA,NA,0.942161767404289,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"D-Glutamine And D-Glutamate Metabolism","multiGSEA"
"37","(KEGG) Glutathione metabolism",0.863321799307958,0.992553191489362,0.892648774795799,0.953750147180031,0.668076109936575,0.949913945229951,0.999559974674884,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glutathione Metabolism","multiGSEA"
"38","(KEGG) Starch and sucrose metabolism",0.871287128712871,0.992553191489362,0.744075829383886,0.951889417467014,0.204851752021563,0.949913945229951,0.999542430452416,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Starch And Sucrose Metabolism","multiGSEA"
"39","(KEGG) N-Glycan biosynthesis",0.000230703194541687,0.0179371733756162,0.871645274212369,0.953750147180031,0.155009451795841,0.949913945229951,0.760838415084179,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"N-Glycan Biosynthesis","multiGSEA"
"40","(KEGG) Mucin type O-glycan biosynthesis",0.797153024911032,0.992553191489362,0.0441176470588235,0.514140271493213,NA,NA,0.959667612239226,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Mucin Type O-Glycan Biosynthesis","multiGSEA"
"41","(KEGG) Various types of N-glycan biosynthesis",0.058076225045372,0.547324423912446,0.193308550185874,0.813506815365551,NA,NA,0.762397173043569,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Various Types Of N-Glycan Biosynthesis","multiGSEA"
"42","(KEGG) Mannose type O-glycan biosynthesis",0.297640653357532,0.819170293753915,0.00932649051902111,0.19891639559779,NA,NA,0.518811441993782,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Mannose Type O-Glycan Biosynthesis","multiGSEA"
"43","(KEGG) Amino sugar and nucleotide sugar metabolism",0.178151260504202,0.69001801326831,0.512304250559284,0.951889417467014,0.759103641456583,0.949913945229951,0.985949766803926,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Amino Sugar And Nucleotide Sugar Metabolism","multiGSEA"
"44","(KEGG) Glycosaminoglycan degradation",0.122775800711744,0.69001801326831,0.0631970260223048,0.617699964024463,NA,NA,0.713076627281368,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosaminoglycan Degradation","multiGSEA"
"45","(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.164285714285714,0.69001801326831,0.667992047713718,0.951889417467014,NA,NA,0.936606607406306,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate","multiGSEA"
"46","(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.293893129770992,0.819170293753915,NA,NA,NA,NA,0.819170293753915,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin","multiGSEA"
"47","(KEGG) Glycerolipid metabolism",0.584040747028862,0.992553191489362,0.066747572815534,0.632016080097087,0.873949579831933,0.956131538410019,0.995149446652273,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycerolipid Metabolism","multiGSEA"
"48","(KEGG) Inositol phosphate metabolism",0.991869918699187,0.995069499082088,0.189520624303233,0.813506815365551,0.176781002638522,0.949913945229951,0.998428939531006,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Inositol Phosphate Metabolism","multiGSEA"
"49","(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.886699507389163,0.992553191489362,0.177718832891247,0.813506815365551,NA,NA,0.990656842741742,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosylphosphatidylinositol (Gpi)-Anchor Biosynthesis","multiGSEA"
"50","(KEGG) Glycerophospholipid metabolism",0.134069400630915,0.69001801326831,0.256027554535017,0.909238488783943,0.0989761092150171,0.949913945229951,0.977618269130754,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycerophospholipid Metabolism","multiGSEA"
"51","(KEGG) Ether lipid metabolism",0.599009900990099,0.992553191489362,0.757162346521146,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Ether Lipid Metabolism","multiGSEA"
"52","(KEGG) Arachidonic acid metabolism",0.704260651629073,0.992553191489362,0.197026022304833,0.817792941895402,0.286585365853659,0.949913945229951,0.998003069802853,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Arachidonic Acid Metabolism","multiGSEA"
"53","(KEGG) Linoleic acid metabolism",0.839366515837104,0.992553191489362,NA,NA,NA,NA,0.992553191489362,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Linoleic Acid Metabolism","multiGSEA"
"54","(KEGG) alpha-Linolenic acid metabolism",0.894736842105263,0.992553191489362,0.919117647058823,0.961579629316658,NA,NA,0.998524856523676,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Alpha-Linolenic Acid Metabolism","multiGSEA"
"55","(KEGG) Sphingolipid metabolism",0.828571428571429,0.992553191489362,0.973282442748092,0.986302943654421,0.426829268292683,0.949913945229951,0.99985749060041,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Sphingolipid Metabolism","multiGSEA"
"56","(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series",0.896797153024911,0.992553191489362,NA,NA,NA,NA,0.992553191489362,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosphingolipid Biosynthesis - Lacto And Neolacto Series","multiGSEA"
"57","(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series",0.972273567467652,0.992553191489362,0.173913043478261,0.813506815365551,NA,NA,0.990656842741742,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosphingolipid Biosynthesis - Globo And Isoglobo Series","multiGSEA"
"58","(KEGG) Glycosphingolipid biosynthesis - ganglio series",0.210431654676259,0.735328591059736,0.745588235294118,0.951889417467014,NA,NA,0.947493112341857,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycosphingolipid Biosynthesis - Ganglio Series","multiGSEA"
"59","(KEGG) Pyruvate metabolism",0.642512077294686,0.992553191489362,0.00582038609293413,0.146964748846587,0.205633802816901,0.949913945229951,0.959858392825025,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Pyruvate Metabolism","multiGSEA"
"60","(KEGG) Glyoxylate and dicarboxylate metabolism",0.707482993197279,0.992553191489362,0.0896057347670251,0.678611422172452,0.359408033826638,0.949913945229951,0.995639270141149,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glyoxylate And Dicarboxylate Metabolism","multiGSEA"
"61","(KEGG) Propanoate metabolism",0.901360544217687,0.992553191489362,0.00224025012821147,0.0848494736060096,0.649859943977591,0.949913945229951,0.940879141874626,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Propanoate Metabolism","multiGSEA"
"62","(KEGG) Butanoate metabolism",0.629893238434164,0.992553191489362,0.00764463070824512,0.178178700353713,0.403805496828753,0.949913945229951,0.965809749363593,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Butanoate Metabolism","multiGSEA"
"63","(KEGG) One carbon pool by folate",0.179715302491103,0.69001801326831,0.0189633375474083,0.312693498452012,0.37109375,0.949913945229951,0.829858041197844,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"One Carbon Pool By Folate","multiGSEA"
"64","(KEGG) Thiamine metabolism",0.533622559652928,0.992553191489362,0.747572815533981,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Thiamine Metabolism","multiGSEA"
"65","(KEGG) Riboflavin metabolism",0.974468085106383,0.992553191489362,0.601470588235294,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Riboflavin Metabolism","multiGSEA"
"66","(KEGG) Vitamin B6 metabolism",0.723282442748092,0.992553191489362,0.538461538461538,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Vitamin B6 Metabolism","multiGSEA"
"67","(KEGG) Nicotinate and nicotinamide metabolism",0.929268292682927,0.992553191489362,0.89010989010989,0.953750147180031,0.727416798732171,0.949913945229951,0.999559974674884,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Nicotinate And Nicotinamide Metabolism","multiGSEA"
"68","(KEGG) Pantothenate and CoA biosynthesis",0.738656987295826,0.992553191489362,0.00527693993663698,0.145355709163728,0.346723044397463,0.949913945229951,0.959506787176825,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Pantothenate And Coa Biosynthesis","multiGSEA"
"69","(KEGG) Biotin metabolism",0.980392156862745,0.992553191489362,NA,NA,NA,NA,0.992553191489362,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Biotin Metabolism","multiGSEA"
"70","(KEGG) Lipoic acid metabolism",0.812749003984064,0.992553191489362,0.0874751491053678,0.678611422172452,NA,NA,0.979805263625153,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Lipoic Acid Metabolism","multiGSEA"
"71","(KEGG) Folate biosynthesis",0.0598669623059867,0.547606625798878,0.834061135371179,0.953750147180031,0.447265625,0.949913945229951,0.976679465567847,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Folate Biosynthesis","multiGSEA"
"72","(KEGG) Retinol metabolism",0.0863636363636364,0.649217181854677,0.395382395382395,0.951137171286425,NA,NA,0.925338137265848,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Retinol Metabolism","multiGSEA"
"73","(KEGG) Porphyrin and chlorophyll metabolism",0.0818181818181818,0.646899529042386,0.834061135371179,0.953750147180031,NA,NA,0.927325668590439,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Porphyrin And Chlorophyll Metabolism","multiGSEA"
"74","(KEGG) Terpenoid backbone biosynthesis",0.17096018735363,0.69001801326831,0.0247218788627936,0.356701395020307,0.0514018691588785,0.949913945229951,0.84694751403102,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Terpenoid Backbone Biosynthesis","multiGSEA"
"75","(KEGG) Nitrogen metabolism",0.686,0.992553191489362,0.62624254473161,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Nitrogen Metabolism","multiGSEA"
"76","(KEGG) Sulfur metabolism",0.665943600867679,0.992553191489362,0.0886766712141883,0.678611422172452,NA,NA,0.979805263625153,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Sulfur Metabolism","multiGSEA"
"77","(KEGG) Aminoacyl-tRNA biosynthesis",0.982978723404255,0.992553191489362,0.301587301587302,0.951137171286425,0.00462470046085456,0.596586359450238,0.993844074141745,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Aminoacyl-Trna Biosynthesis","multiGSEA"
"78","(KEGG) Metabolism of xenobiotics by cytochrome P450",0.716337522441652,0.992553191489362,0.420634920634921,0.951137171286425,0.77734375,0.949913945229951,0.999535314593796,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Metabolism Of Xenobiotics By Cytochrome P450","multiGSEA"
"79","(KEGG) Drug metabolism - cytochrome P450",0.140515222482436,0.69001801326831,0.933085501858736,0.964931423423881,0.77734375,0.949913945229951,0.988728120401103,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Drug Metabolism - Cytochrome P450","multiGSEA"
"80","(KEGG) Drug metabolism - other enzymes",0.276699029126214,0.818082908690263,0.900763358778626,0.954305236747985,0.800618238021638,0.949913945229951,0.99281921089464,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Drug Metabolism - Other Enzymes","multiGSEA"
"81","(KEGG) Biosynthesis of unsaturated fatty acids",0.747609942638623,0.992553191489362,0.461760461760462,0.951889417467014,NA,NA,0.998122335233609,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Biosynthesis Of Unsaturated Fatty Acids","multiGSEA"
"82","(KEGG) Metabolic pathways",0.0363436123348018,0.469504830917874,0.00356847697443034,0.108124852325239,0.180422119214229,0.949913945229951,0.575764655859876,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Metabolic Pathways","multiGSEA"
"83","(KEGG) Carbon metabolism",0.179640718562874,0.69001801326831,4.112427453952e-05,0.00311516379636864,0.0252153330330762,0.949913945229951,0.365496993013552,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Carbon Metabolism","multiGSEA"
"84","(KEGG) 2-Oxocarboxylic acid metabolism",0.715063520871143,0.992553191489362,0.00322445722734622,0.108124852325239,NA,NA,0.801611720477499,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"2-Oxocarboxylic Acid Metabolism","multiGSEA"
"85","(KEGG) Fatty acid metabolism",0.672209026128266,0.992553191489362,1.65780465207832e-05,0.0019762077904552,0.16497461928934,0.949913945229951,0.755252339996857,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fatty Acid Metabolism","multiGSEA"
"86","(KEGG) Biosynthesis of amino acids",0.104918032786885,0.649217181854677,0.0485436893203883,0.525312066574202,0.0734265734265734,0.949913945229951,0.886298706724734,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Biosynthesis Of Amino Acids","multiGSEA"
"87","(KEGG) EGFR tyrosine kinase inhibitor resistance",0.778688524590164,0.992553191489362,0.826233183856502,0.953750147180031,0.631578947368421,0.949913945229951,0.999559974674884,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Egfr Tyrosine Kinase Inhibitor Resistance","multiGSEA"
"88","(KEGG) Endocrine resistance",0.245070422535211,0.802373581011352,0.655973451327434,0.951889417467014,0.462820512820513,0.949913945229951,0.991811303208172,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Endocrine Resistance","multiGSEA"
"89","(KEGG) Antifolate resistance",0.315789473684211,0.849874992732136,0.268758526603001,0.914986893940555,0.834494773519164,0.949913945229951,0.990343780522923,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Antifolate Resistance","multiGSEA"
"90","(KEGG) Platinum drug resistance",0.469287469287469,0.992553191489362,0.775962660443407,0.951889417467014,0.213592233009709,0.949913945229951,0.999542430452416,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Platinum Drug Resistance","multiGSEA"
"91","(KEGG) Ribosome biogenesis in eukaryotes",0.275142314990512,0.818082908690263,0.540755467196819,0.951889417467014,0.315040650406504,0.949913945229951,0.992530496430981,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Ribosome Biogenesis In Eukaryotes","multiGSEA"
"92","(KEGG) RNA transport",0.924290220820189,0.992553191489362,0.151794871794872,0.813506815365551,0.622932745314223,0.949913945229951,0.997943451229664,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Rna Transport","multiGSEA"
"93","(KEGG) mRNA surveillance pathway",0.00797915004974784,0.248151566547158,0.755602988260406,0.951889417467014,0.808823529411765,0.949913945229951,0.935340187986124,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Mrna Surveillance Pathway","multiGSEA"
"94","(KEGG) RNA degradation",0.815964523281596,0.992553191489362,0.0586630286493861,0.592496589358799,0.897574123989218,0.960888481283064,0.994731231940165,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Rna Degradation","multiGSEA"
"95","(KEGG) PPAR signaling pathway",0.964102564102564,0.992553191489362,0.103850641773629,0.731784754823478,0.19661733615222,0.949913945229951,0.996655332812597,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Ppar Signaling Pathway","multiGSEA"
"96","(KEGG) Homologous recombination",0.0477272727272727,0.478812316715543,0.905852417302799,0.95635290049738,0.744594594594595,0.949913945229951,0.971654035953167,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Homologous Recombination","multiGSEA"
"97","(KEGG) Fanconi anemia pathway",0.000601087996035022,0.0334998592973106,0.841477949940405,0.953750147180031,0.613607188703466,0.949913945229951,0.805921851467924,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fanconi Anemia Pathway","multiGSEA"
