Pathway name,Uniquegenes,Uniquemetabol.,PRO-Seqdata,Proteomics,Geneexpression,Combined pValue(Fisher),
Malaria,24,,-,0.928686903,0.552256538,0.85533244,
Cholesterol metabolism,33,,0.378090805,0.752746683,0.964398294,0.858744794,
Glycosaminoglycan biosynthesis - keratan sulfate,11,,-,1,0.519686604,0.859836731,
GnRH secretion,41,,0.829970224,0.823882177,0.404387893,0.8604445,
PPAR signaling pathway,49,,0.445371969,0.977247922,0.637211665,0.861120244,
ECM-receptor interaction,43,,1,0.762836139,0.369584308,0.864849325,
Kaposi sarcoma-associated herpesvirus infection,150,,0.479126497,0.957902543,0.626122749,0.86913661,
Riboflavin metabolism,7,,-,1,0.534853855,0.869544933,
Type II diabetes mellitus,29,,0.478537443,0.985456989,0.613901854,0.870790255,
Long-term potentiation,52,,0.735015367,0.930679488,0.435929367,0.877315835,
Ferroptosis,34,,0.334135636,0.896601739,0.999940523,0.878311502,
Tyrosine metabolism,20,,-,1,0.552256538,0.880154769,
Pathogenic Escherichia coli infection,162,,0.445847391,0.973510315,0.71847421,0.88693407,
"Neomycin, kanamycin and gentamicin biosynthesis",3,,-,1,0.564446619,0.887258982,
Glycerophospholipid metabolism,66,,0.948112664,0.721248628,0.457267451,0.887507413,
Steroid biosynthesis,19,,0.445371969,0.870250776,0.816348922,0.889991659,
Adipocytokine signaling pathway,54,,0.388204846,0.84215064,0.968155806,0.890065387,
Other glycan degradation,15,,-,0.732568893,0.7824142,0.892182184,
Ovarian steroidogenesis,24,,1,0.907086579,0.356795118,0.894690736,
Inositol phosphate metabolism,67,,0.849559125,0.959195785,0.401109783,0.896720285,
Spinocerebellar ataxia,121,,0.705574482,0.511300516,0.925848571,0.901102997,
MAPK signaling pathway,205,,0.525909542,0.827131959,0.77409873,0.902726684,
Toll-like receptor signaling pathway,68,,0.626158438,0.997187416,0.53932124,0.902738783,
C-type lectin receptor signaling pathway,82,,0.455509579,0.959991521,0.805703789,0.911581642,
Nitrogen metabolism,8,,-,1,0.61266877,0.91283409,
Cortisol synthesis and secretion,39,,0.829970224,0.754038517,0.591838485,0.920945351,
Natural killer cell mediated cytotoxicity,81,,0.946923558,0.924741799,0.42356474,0.921195867,
Bacterial invasion of epithelial cells,64,,0.792352715,0.91349795,0.516384078,0.922594941,
Melanogenesis,69,,0.561370236,0.985569438,0.681410425,0.924149329,
Bile secretion,34,,0.478537443,0.870250776,0.916323995,0.926309659,
Pentose and glucuronate interconversions,13,,-,1,0.642791214,0.926863351,
Cushing syndrome,110,,0.737902645,0.794995273,0.657981257,0.928322726,
MicroRNAs in cancer,141,,0.922066047,0.745927751,0.564541038,0.929357162,
Arginine biosynthesis,17,,-,0.878957678,0.741784155,0.930866053,
Biosynthesis of cofactors,111,,0.882894698,0.94083439,0.475988892,0.93247159,
Complement and coagulation cascades,36,,1,0.712683662,0.556114726,0.932879524,
Propanoate metabolism,32,,0.478537443,0.851958486,0.993121812,0.936459606,
Lysine degradation,51,,0.607221116,0.704401145,0.950019643,0.937053762,
D-Glutamine and D-glutamate metabolism,4,,-,1,0.669881077,0.938272333,
Aldosterone-regulated sodium reabsorption,27,,0.771398094,1,0.532997643,0.938976395,
Bladder cancer,33,,0.906018474,0.805211041,0.564576455,0.939262391,
Thyroid cancer,30,,0.930158367,0.791380984,0.564576455,0.940707699,
N-Glycan biosynthesis,47,,0.445371969,0.994973124,0.969917848,0.945978218,
Peroxisome,70,,0.771398094,0.995064495,0.560679597,0.946181047,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,,1,0.546604307,0.79043407,0.946776135,
Autophagy - other,30,,0.961462528,0.471499677,0.954436317,0.946993821,
Proximal tubule bicarbonate reclamation,16,,1,0.585945956,0.741784155,0.947681931,
Breast cancer,107,,0.877078538,0.811450754,0.612653796,0.948160523,
Aminoacyl-tRNA biosynthesis,44,,0.768569697,0.989077596,0.574823079,0.948482393,
Various types of N-glycan biosynthesis,34,,0.445371969,1,0.995609012,0.950653935,
ABC transporters,29,,1,1,0.444452155,0.950995479,
Arrhythmogenic right ventricular cardiomyopathy,40,,0.478537443,0.931216696,0.99979547,0.951349104,
EGFR tyrosine kinase inhibitor resistance,58,,0.824757831,0.930679488,0.583798775,0.952187717,
Sulfur relay system,8,,1,0.508532172,0.891124771,0.953792112,
Glycosphingolipid biosynthesis - lacto and neolacto series,18,,-,-,0.954157045,0.954157045,
Base excision repair,33,,0.961462528,0.752746683,0.637854691,0.95638459,
Melanoma,46,,0.930158367,0.988847007,0.503666794,0.956867934,
Thiamine metabolism,10,,-,0.878957678,0.826367426,0.95857845,
Acute myeloid leukemia,56,,0.506377565,0.951182856,0.980105482,0.959412581,
Proteoglycans in cancer,149,,0.750471424,0.747093128,0.859805147,0.962149741,
Biosynthesis of unsaturated fatty acids,22,,1,0.975281154,0.495465536,0.962454747,
Butanoate metabolism,17,,0.587125535,0.840714497,0.991056615,0.964007666,
Fatty acid metabolism,50,,0.692736636,0.952704246,0.74576049,0.964765814,
Arachidonic acid metabolism,25,,1,0.794645636,0.627895499,0.966434908,
Viral protein interaction with cytokine and cytokine receptor,30,,1,0.508532172,0.986678125,0.967106924,
Endocytosis,217,,0.886115252,0.682496884,0.830531548,0.967231281,
Glycerolipid metabolism,44,,0.829970224,0.896601739,0.677549558,0.967683737,
Pyruvate metabolism,38,,0.568364245,0.930679488,0.957530087,0.968219303,
2-Oxocarboxylic acid metabolism,17,,-,0.975281154,0.7824142,0.969409366,
Non-alcoholic fatty liver disease,130,,0.666513776,0.994976696,0.772317841,0.96951079,
Lipid and atherosclerosis,159,,0.794097929,0.831049658,0.778580929,0.969875688,
Thyroid hormone synthesis,50,,0.930158367,0.971501478,0.574823079,0.971102773,
Prostate cancer,73,,0.646049118,0.995958643,0.814222491,0.972047661,
Nicotine addiction,12,,-,-,0.972824828,0.972824828,
Histidine metabolism,11,,-,1,0.785997761,0.975267071,
Phenylalanine metabolism,11,,-,1,0.785997761,0.975267071,
alpha-Linolenic acid metabolism,11,,-,1,0.785997761,0.975267071,
Glycosphingolipid biosynthesis - globo and isoglobo series,11,,-,1,0.785997761,0.975267071,
Amino sugar and nucleotide sugar metabolism,44,,1,0.999731858,0.54200838,0.975607273,
Glycosaminoglycan degradation,17,,-,0.794645636,0.991056615,0.975636649,
Lysosome,115,,0.814614021,0.919428158,0.726047972,0.975967799,
Alzheimer disease,300,,0.762946665,0.999767142,0.733937252,0.978801912,
Apoptosis,118,,0.595759496,0.94877668,0.992985357,0.979045352,
Vitamin B6 metabolism,6,,-,1,0.810394354,0.980767038,
Fructose and mannose metabolism,29,,1,0.997046648,0.574363591,0.980879331,
"Valine, leucine and isoleucine degradation",42,,0.587125535,0.978159991,0.999877548,0.981121319,
Circadian rhythm,23,,0.906018474,0.878957678,0.72453185,0.98154078,
Longevity regulating pathway,73,,0.991564141,0.983919888,0.59188538,0.981612157,
Protein export,23,,0.587125535,0.993442876,0.998314535,0.982330472,
Dilated cardiomyopathy,51,,0.692736636,0.931216696,0.923228156,0.984190921,
Pathways of neurodegeneration - multiple diseases,380,,0.886115252,0.999225648,0.683911248,0.985489961,
Apoptosis - multiple species,28,,0.771398094,0.931216696,0.843331481,0.985520482,
Neurotrophin signaling pathway,100,,0.705574482,0.908634392,0.952073968,0.986087837,
Mitophagy - animal,65,,0.666513776,0.944229683,0.986756284,0.987337545,
Citrate cycle (TCA cycle),29,,1,0.84215064,0.737660574,0.987361821,
Endometrial cancer,52,,0.942993271,0.865179594,0.779347068,0.988938176,
Calcium signaling pathway,129,,0.792352715,0.997823356,0.805631661,0.989052352,
Tryptophan metabolism,26,,1,0.663496823,0.968689245,0.989627368,
Phototransduction,14,,-,1,0.859744919,0.989669175,
HIF-1 signaling pathway,88,,0.790151756,0.883375344,0.960216961,0.992066622,
ErbB signaling pathway,67,,0.986430567,0.99825405,0.681410425,0.992127171,
Gastric cancer,105,,0.91847851,0.952704246,0.777705152,0.992859306,
Fatty acid elongation,21,,1,0.870250776,0.785180662,0.993063213,
Drug metabolism - cytochrome P450,25,,1,1,0.686439591,0.993287845,
Sulfur metabolism,8,,-,1,0.891124771,0.99384546,
Galactose metabolism,24,,1,0.931216696,0.759176653,0.994628823,
Regulation of actin cytoskeleton,159,,0.942751092,0.998146948,0.751707143,0.994652928,
Other types of O-glycan biosynthesis,35,,1,1,0.719422481,0.995341063,
Yersinia infection,114,,0.818757692,0.987729434,0.890649133,0.995387273,
Cardiac muscle contraction,49,,1,0.990900687,0.732970384,0.995703328,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,-,1,0.909511716,0.995776537,
Rap1 signaling pathway,145,,0.978379966,0.998279439,0.756646686,0.996318667,
Pertussis,51,,0.771398094,0.971501478,0.99202219,0.996516913,
Glucagon signaling pathway,85,,0.974706801,0.870778266,0.883710852,0.996799099,
Hypertrophic cardiomyopathy,48,,0.87357122,0.914765435,0.951675124,0.997210548,
Axon guidance,121,,0.865248695,0.994476186,0.889332655,0.997384467,
Autophagy - animal,124,,0.822509641,0.965137004,0.974513163,0.99767166,
Selenocompound metabolism,15,,1,1,0.7824142,0.997949343,
Porphyrin and chlorophyll metabolism,19,,1,1,0.785180662,0.99803143,
Metabolism of xenobiotics by cytochrome P450,28,,1,1,0.79043407,0.998180857,
One carbon pool by folate,18,,1,0.805211041,0.994871251,0.998458817,
Central carbon metabolism in cancer,55,,0.991328251,0.995958643,0.847402842,0.999172525,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,,-,1,0.97941535,0.999786667,
Maturity onset diabetes of the young,9,,1,1,0.917504677,0.999900267,
Glycolysis / Gluconeogenesis,51,,0.942993271,0.992299197,0.999538073,0.999952559,
"Glycine, serine and threonine metabolism",29,,1,0.981038767,0.954436317,0.999954846,
Carbon metabolism,99,,0.988307315,0.9835396,0.965300119,0.999958975,
Fatty acid degradation,35,,1,0.998671203,0.949469224,0.99997591,
Biosynthesis of amino acids,66,,1,0.963847226,0.986756284,0.999979748,
Neuroactive ligand-receptor interaction,108,,1,0.967778984,0.992281945,0.99998926,
beta-Alanine metabolism,23,,1,1,0.961449044,0.999990167,
Arginine and proline metabolism,35,,1,1,0.999940523,1,
Ascorbate and aldarate metabolism,7,,-,1,1,1,
"Valine, leucine and isoleucine biosynthesis",3,,-,1,1,1,
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,-,1,1,1,
Biotin metabolism,3,,-,-,1,1,
