Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
Hippo signaling pathway,118,,0.044879595,0.971322671,0.11864744,1,0.375119009,0.991424631,0.022616301,0.775739129
Antigen processing and presentation,55,,0.367537376,1,0.014211695,0.3211843,0.393676195,0.991424631,0.040140292,0.910806944
Glycerophospholipid metabolism,66,,0.679436653,1,0.016694865,0.339395584,0.241955041,0.991424631,0.089186279,1
Herpes simplex virus 1 infection,433,,0.874628519,1,0.511799931,1,0.006811978,0.470352547,0.429346622,1
Leishmaniasis,59,,0.445174681,1,0.01148106,0.284417685,0.637601201,1,0.076100557,1
Transcriptional misregulation in cancer,126,,0.684308361,1,0.688470271,1,0.008602772,0.470352547,0.388282704,1
Lysine degradation,51,,0.668412648,1,0.142199303,1,0.046420322,0.755748916,0.145238908,1
PPAR signaling pathway,49,,1,1,0.048002602,0.681672993,0.092637022,0.860669327,0.995046023,1
Fructose and mannose metabolism,29,,1,1,0.402329017,1,0.011155445,0.470352547,0.999124843,1
Necroptosis,125,,0.01796087,0.551419467,0.646473915,1,0.393618249,0.991424631,0.10838766,1
Starch and sucrose metabolism,27,,0.390922785,1,0.609942032,1,0.02165361,0.527115666,0.218125531,1
Other glycan degradation,15,,-,,0.328560228,1,0.066047769,0.809085171,0.125089034,1
Oxytocin signaling pathway,110,,0.335568993,1,0.039674221,0.640455281,0.422847657,1,0.067737466,1
Melanogenesis,69,,0.069938361,1,0.494173868,1,0.164272638,0.991424631,0.087929553,1
Amyotrophic lateral sclerosis,302,,0.005981416,0.551419467,0.999984425,1,0.999999997,1,0.999499898,1
Alzheimer disease,300,,0.006838766,0.551419467,0.875936394,1,1,1,0.935122358,1
Lysosome,115,,0.731494869,1,0.646906693,1,0.013712902,0.470352547,0.420787582,1
Viral carcinogenesis,179,,0.945991772,1,0.999049892,1,0.006998331,0.470352547,0.983169993,1
Pathways of neurodegeneration - multiple diseases,380,,0.007268335,0.551419467,0.973211974,1,0.999999744,1,0.943609832,1
Basal cell carcinoma,43,,0.55118886,1,0.132844142,1,0.101384317,0.860669327,0.129413282,1
Biosynthesis of amino acids,66,,0.776208538,1,0.754822223,1,0.013340752,0.470352547,0.536765596,1
Tyrosine metabolism,20,,-,,1,1,0.032110729,0.683558826,0.999997018,1
Neutrophil extracellular trap formation,138,,0.936236144,1,0.896645788,1,0.009855218,0.470352547,0.821482578,1
Ubiquitin mediated proteolysis,131,,0.03421617,0.797499955,0.494593465,1,0.490117892,1,0.112581662,1
ABC transporters,29,,0.218827415,1,0.141310322,1,0.28230866,0.991424631,0.076566236,1
Estrogen signaling pathway,84,,0.076440187,1,0.583560811,1,0.196041795,0.991424631,0.129301521,1
Toxoplasmosis,94,,0.47727759,1,0.048260035,0.681672993,0.383160293,0.991424631,0.109108254,1
RNA polymerase,31,,0.072993932,1,0.171207755,1,0.712736748,1,0.087943258,1
Pentose phosphate pathway,26,,0.245440504,1,0.988847007,1,0.040427156,0.7533655,0.640635064,1
Axon guidance,121,,0.012034033,0.551419467,0.957942081,1,0.881913779,1,0.539485557,1
Spinocerebellar ataxia,121,,0.010815593,0.551419467,0.951751669,1,0.9994892,1,0.799233986,1
Prion disease,222,,0.012034033,0.551419467,0.96450583,1,0.99995803,1,0.886574144,1
Folate biosynthesis,15,,1,1,0.035760461,0.606139814,0.335544191,0.991424631,0.997718057,1
Inflammatory mediator regulation of TRP channels,64,,0.892579553,1,0.180153735,1,0.075941872,0.846209902,0.369603095,1
Progesterone-mediated oocyte maturation,81,,0.020018528,0.551419467,0.665230587,1,0.994466512,1,0.463982261,1
Sphingolipid metabolism,38,,0.52363579,1,0.486997516,1,0.052816179,0.755748916,0.272402261,1
Galactose metabolism,24,,0.709779881,1,0.356104733,1,0.056186388,0.755748916,0.312517368,1
Choline metabolism in cancer,72,,0.404919862,1,0.142199303,1,0.247185459,0.991424631,0.13215586,1
Fat digestion and absorption,21,,-,,0.058181549,0.758597885,0.892728284,1,0.236528082,1
Biosynthesis of cofactors,111,,1,1,0.646789636,1,0.02273947,0.527115666,0.999866105,1
Circadian rhythm,23,,0.074533347,1,0.276290818,1,0.718896414,1,0.133843128,1
Proteasome,45,,0.015114988,0.551419467,0.997323435,1,1,1,0.99773265,1
alpha-Linolenic acid metabolism,11,,-,,0.546604307,1,0.099661212,0.860669327,0.289803629,1
Glycolysis / Gluconeogenesis,51,,0.715248792,1,0.386695999,1,0.055599736,0.755748916,0.334457187,1
Caffeine metabolism,1,,-,,0.231679389,1,0.240452354,0.991424631,0.161018332,1
Insulin signaling pathway,114,,0.907342701,1,0.031211749,0.587821273,0.588769646,1,0.399198237,1
Chemical carcinogenesis - DNA adducts,20,,1,1,0.206317701,1,0.083880865,0.846209902,0.999054859,1
Insulin secretion,49,,0.55118886,1,0.931216696,1,0.033879009,0.683558826,0.635050929,1
Huntington disease,255,,0.018302273,0.551419467,0.983906377,1,0.999999913,1,0.97902133,1
Apoptosis,118,,0.06967397,1,0.546172224,1,0.478845397,1,0.180308503,1
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,-,,0.231679389,1,0.282227085,0.991424631,0.17756593,1
Sulfur relay system,8,,1,1,0.842331213,1,0.023051705,0.527115666,0.999974863,1
GnRH signaling pathway,74,,0.069938361,1,0.522786648,1,0.580363777,1,0.196950788,1
Glycerolipid metabolism,44,,0.7735513,1,0.035406485,0.606139814,0.788763986,1,0.354792358,1
Phosphatidylinositol signaling system,84,,0.518592002,1,0.200175954,1,0.214321069,0.991424631,0.205956012,1
AMPK signaling pathway,97,,0.99491172,1,0.229382944,1,0.100717616,0.860669327,0.761596742,1
"Neomycin, kanamycin and gentamicin biosynthesis",3,,-,,0.546604307,1,0.145594625,0.991424631,0.330809669,1
Small cell lung cancer,75,,0.566774037,1,0.758234677,1,0.05728709,0.755748916,0.483064049,1
Chemical carcinogenesis - receptor activation,123,,0.080411674,1,0.968990989,1,0.316482839,0.991424631,0.5433277,1
Protein processing in endoplasmic reticulum,157,,0.027019863,0.68225155,0.945306633,1,0.974992585,1,0.702535072,1
Gastric cancer,105,,0.453189114,1,0.220303446,1,0.259639558,0.991424631,0.204344047,1
Hippo signaling pathway - multiple species,21,,0.709779881,1,0.141310322,1,0.263883247,0.991424631,0.281396732,1
Pathways in cancer,364,,0.344824443,1,0.225431357,1,0.348711281,0.991424631,0.18372461,1
Fanconi anemia pathway,53,,0.589368761,1,0.355746557,1,0.136940021,0.991424631,0.303783473,1
Signaling pathways regulating pluripotency of stem cells,99,,0.404919862,1,0.431313329,1,0.173199418,0.991424631,0.26342824,1
Retinol metabolism,19,,-,,0.328560228,1,0.296466942,0.991424631,0.256399801,1
"Glycine, serine and threonine metabolism",29,,1,1,0.110414199,1,0.28230866,0.991424631,0.999192864,1
Phenylalanine metabolism,11,,-,,1,1,0.099661212,0.860669327,0.999999271,1
Various types of N-glycan biosynthesis,34,,0.389910667,1,0.110414199,1,0.771791287,1,0.244587461,1
Antifolate resistance,25,,0.709779881,1,0.221387809,1,0.212327414,0.991424631,0.328649721,1
Glycosphingolipid biosynthesis - globo and isoglobo series,11,,-,,0.136045602,1,0.782716203,1,0.292505853,1
Biosynthesis of unsaturated fatty acids,22,,1,1,0.206324818,1,0.166487816,0.991424631,0.99945342,1
Steroid biosynthesis,19,,0.389910667,1,0.663496823,1,0.135708761,0.991424631,0.369654295,1
Breast cancer,107,,0.389351843,1,0.216256687,1,0.420877659,1,0.22037755,1
Cortisol synthesis and secretion,39,,0.390922785,1,0.914765435,1,0.102878841,0.860669327,0.587601128,1
Adherens junction,63,,0.057004457,1,0.704401145,1,0.945201708,1,0.471707516,1
Inflammatory bowel disease,41,,0.7735513,1,0.075465307,0.852757963,0.65078715,1,0.385316089,1
Primary immunodeficiency,28,,0.916262098,1,0.805211041,1,0.052574744,0.755748916,0.799446065,1
Apoptosis - multiple species,28,,0.072993932,1,0.791380984,1,0.697555769,1,0.410233451,1
Nicotine addiction,12,,-,,-,,0.383707498,0.991424631,0.383707498,1
Fluid shear stress and atherosclerosis,96,,0.821204927,1,0.064571148,0.810726632,0.819580369,1,0.487812209,1
Type II diabetes mellitus,29,,1,1,0.527145683,1,0.083615362,0.846209902,0.999884581,1
Phagosome,119,,0.345542269,1,0.252399055,1,0.527091583,1,0.252215002,1
Thyroid hormone synthesis,50,,0.312283245,1,0.752746683,1,0.196580449,0.991424631,0.418390666,1
Malaria,24,,-,,0.182619205,1,0.745054796,1,0.329010549,1
Cocaine addiction,32,,0.210134509,1,1,1,0.222258896,0.991424631,0.999531633,1
Lipid and atherosclerosis,159,,0.456699118,1,0.209285884,1,0.489095228,1,0.271854773,1
Long-term potentiation,52,,0.172345049,1,0.352202698,1,0.796732149,1,0.292462847,1
African trypanosomiasis,20,,1,1,0.237298215,1,0.205917598,0.991424631,0.999650377,1
Oocyte meiosis,108,,0.098252511,1,0.501165633,1,0.998722479,1,0.624422565,1
Relaxin signaling pathway,88,,0.312283245,1,0.873518817,1,0.181477496,0.991424631,0.528406778,1
Endometrial cancer,52,,0.260326327,1,0.354286912,1,0.544435565,1,0.267338179,1
"Valine, leucine and isoleucine biosynthesis",3,,-,,1,1,0.145594625,0.991424631,0.999999596,1
Lipoic acid metabolism,3,,-,,1,1,0.145594625,0.991424631,0.999999596,1
MicroRNAs in cancer,141,,0.680626798,1,0.745927751,1,0.102776275,0.860669327,0.598699764,1
Circadian entrainment,60,,0.18135032,1,0.402329017,1,0.725851935,1,0.299392897,1
Neurotrophin signaling pathway,100,,0.351725544,1,0.164357235,1,0.916156874,1,0.362220793,1
Complement and coagulation cascades,36,,1,1,0.058181549,0.758597885,0.910337158,1,0.999877641,1
Aldosterone synthesis and secretion,62,,0.814287539,1,0.210905751,1,0.308644999,0.991424631,0.448979827,1
Amphetamine addiction,48,,0.379491421,1,0.355746557,1,0.395133324,0.991424631,0.293287757,1
Central carbon metabolism in cancer,55,,0.896150856,1,0.497423513,1,0.120155595,0.958450445,0.644129563,1
IL-17 signaling pathway,60,,0.172345049,1,0.522786648,1,0.60147855,1,0.314437627,1
Autophagy - other,30,,0.069938361,1,0.894674571,1,0.881098686,1,0.617882245,1
Th1 and Th2 cell differentiation,75,,0.896150856,1,0.07352791,0.852757963,0.85597721,1,0.615391257,1
Human T-cell leukemia virus 1 infection,192,,0.470079392,1,0.43214475,1,0.279936,0.991424631,0.350196266,1
mTOR signaling pathway,131,,0.440265477,1,0.186774685,1,0.707100091,1,0.320392636,1
Peroxisome,70,,1,1,0.813618759,1,0.071551006,0.846209902,0.999985759,1
Mannose type O-glycan biosynthesis,19,,-,,0.231679389,1,0.70525424,1,0.361093375,1
Glycosaminoglycan degradation,17,,-,,0.42218518,1,0.389555272,0.991424631,0.37755318,1
Prostate cancer,73,,0.296233701,1,0.652054623,1,0.314593825,0.991424631,0.388580655,1
Drug metabolism - cytochrome P450,25,,1,1,0.794645636,1,0.077998031,0.846209902,0.999983967,1
Amino sugar and nucleotide sugar metabolism,44,,0.122839112,1,0.951182856,1,0.53270028,1,0.635478281,1
Butanoate metabolism,17,,1,1,0.161781214,1,0.389555272,0.991424631,0.999688249,1
"Growth hormone synthesis, secretion and action",88,,0.302261579,1,0.98673499,1,0.214321069,0.991424631,0.787113297,1
Carbohydrate digestion and absorption,30,,1,1,0.609942032,1,0.112478935,0.918577973,0.999948692,1
Platinum drug resistance,59,,0.715248792,1,0.24711393,1,0.391859451,0.991424631,0.429818253,1
Cholinergic synapse,73,,0.379491421,1,0.522786648,1,0.363086698,0.991424631,0.382501174,1
Glucagon signaling pathway,85,,0.843059811,1,0.486737256,1,0.178581753,0.991424631,0.611792126,1
Primary bile acid biosynthesis,9,,-,,1,1,0.202088017,0.991424631,0.999999775,1
AGE-RAGE signaling pathway in diabetic complications,74,,1,1,0.976510164,1,0.081676999,0.846209902,0.999999575,1
TNF signaling pathway,84,,0.529452029,1,0.311819062,1,0.485118579,1,0.38795934,1
Salmonella infection,227,,0.199218663,1,0.469014063,1,0.858854956,1,0.424672545,1
Vitamin digestion and absorption,12,,1,1,0.585945956,1,0.138323043,0.991424631,0.999950369,1
Fc epsilon RI signaling pathway,53,,0.133508948,1,0.811450754,1,0.749385464,1,0.541835755,1
Drug metabolism - other enzymes,39,,0.474751771,1,0.941129391,1,0.182199915,0.991424631,0.73407014,1
Spliceosome,133,,0.084358734,1,0.967330511,1,0.999997748,1,0.980363793,1
Th17 cell differentiation,89,,0.707955866,1,0.176087984,1,0.676687942,1,0.472565324,1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,,1,1,0.136045602,1,0.621185676,1,0.999825497,1
Renal cell carcinoma,56,,0.500353969,1,0.279391609,1,0.609621386,1,0.392831113,1
Pantothenate and CoA biosynthesis,16,,1,1,0.418897707,1,0.205917598,0.991424631,0.999900909,1
Phototransduction,14,,-,,0.231115749,1,0.97212444,1,0.634352874,1
Epstein-Barr virus infection,176,,0.864714121,1,0.259329654,1,0.40914691,1,0.584959123,1
Viral protein interaction with cytokine and cytokine receptor,30,,0.389910667,1,0.842331213,1,0.28230866,0.991424631,0.597559699,1
Mismatch repair,23,,0.111755022,1,0.851958486,1,0.988443982,1,0.775049909,1
Arginine and proline metabolism,35,,0.218827415,1,0.459124361,1,0.947416095,1,0.519374952,1
T cell receptor signaling pathway,79,,0.189466483,1,0.586942419,1,0.865176816,1,0.496426422,1
Colorectal cancer,77,,0.404919862,1,0.520956454,1,0.463500324,1,0.436870337,1
Nucleotide excision repair,46,,0.155464169,1,0.637497263,1,0.993008515,1,0.69526197,1
Mucin type O-glycan biosynthesis,20,,-,,1,1,0.250042551,0.991424631,0.999999853,1
Autophagy - animal,124,,0.143411807,1,0.726482821,1,0.98373069,1,0.697160898,1
Ovarian steroidogenesis,24,,0.218827415,1,0.653926471,1,0.718896414,1,0.488656148,1
Hypertrophic cardiomyopathy,48,,1,1,0.527145683,1,0.196580449,0.991424631,0.999948985,1
N-Glycan biosynthesis,47,,0.389910667,1,0.508972709,1,0.52626122,1,0.443031794,1
Glycosaminoglycan biosynthesis - keratan sulfate,11,,-,,1,1,0.26061762,0.991424631,0.999999866,1
B cell receptor signaling pathway,74,,0.559455005,1,0.852459917,1,0.226142543,0.991424631,0.687448804,1
Parkinson disease,211,,0.113918539,1,0.957232027,1,0.999999965,1,0.991867462,1
Synthesis and degradation of ketone bodies,7,,1,1,0.206317701,1,0.531072516,1,0.999877912,1
Ribosome biogenesis in eukaryotes,80,,0.118236321,1,0.979676823,1,0.957255411,1,0.887983618,1
ErbB signaling pathway,67,,0.415796009,1,0.349747805,1,0.770291898,1,0.458117788,1
Cholesterol metabolism,33,,0.709779881,1,0.19416122,1,0.821404262,1,0.56225805,1
Aminoacyl-tRNA biosynthesis,44,,0.379491421,1,0.999590567,1,0.301424569,0.991424631,0.961796034,1
Insulin resistance,88,,0.908600852,1,0.249602161,1,0.50559722,1,0.669982078,1
Neuroactive ligand-receptor interaction,108,,0.7735513,1,0.354360279,1,0.420877659,1,0.568492671,1
ECM-receptor interaction,43,,1,1,0.486997516,1,0.237362361,0.991424631,0.999946443,1
Arrhythmogenic right ventricular cardiomyopathy,40,,1,1,0.180858279,1,0.65078715,1,0.999903189,1
Hepatitis B,134,,0.673845949,1,0.802675435,1,0.218084997,0.991424631,0.708266498,1
Thiamine metabolism,10,,-,,0.878957678,1,0.321764908,0.991424631,0.779388771,1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,,-,,0.409751406,1,0.690799165,1,0.523048527,1
Vascular smooth muscle contraction,81,,0.755062385,1,0.547053158,1,0.291495002,0.991424631,0.624758681,1
Riboflavin metabolism,7,,-,,0.546604307,1,0.531072516,1,0.55585895,1
Sphingolipid signaling pathway,99,,0.404919862,1,0.954872796,1,0.316763465,0.991424631,0.776047152,1
2-Oxocarboxylic acid metabolism,17,,-,,0.870250776,1,0.335544191,0.991424631,0.77435357,1
Homologous recombination,41,,0.625367941,1,0.602304959,1,0.329777512,0.991424631,0.582495705,1
Phospholipase D signaling pathway,102,,0.186846404,1,0.813618759,1,0.826345971,1,0.639719982,1
Sulfur metabolism,8,,-,,1,1,0.297760445,0.991424631,0.999999901,1
Vasopressin-regulated water reabsorption,35,,0.474751771,1,0.928757047,1,0.288674188,0.991424631,0.756912918,1
"Parathyroid hormone synthesis, secretion and action",78,,0.930547571,1,0.960123348,1,0.142711613,0.991424631,0.955128493,1
Glycosphingolipid biosynthesis - lacto and neolacto series,18,,-,,-,,0.66112149,1,0.66112149,1
Fatty acid metabolism,50,,1,1,0.788404899,1,0.163711969,0.991424631,0.999991961,1
MAPK signaling pathway,205,,0.2789503,1,0.827131959,1,0.578642634,1,0.619700315,1
mRNA surveillance pathway,83,,0.140310117,1,0.996376491,1,0.962161953,1,0.957371695,1
Osteoclast differentiation,98,,0.831765595,1,0.64850697,1,0.257449679,0.991424631,0.734651832,1
Olfactory transduction,30,,0.389910667,1,0.418897707,1,0.861393816,1,0.54073727,1
Wnt signaling pathway,122,,0.598634731,1,0.252393706,1,0.937818724,1,0.626448526,1
Influenza A,128,,0.495281316,1,0.773034871,1,0.372840177,0.991424631,0.638226396,1
Focal adhesion,139,,0.247059774,1,0.838746254,1,0.696395722,1,0.652581838,1
Glycosphingolipid biosynthesis - ganglio series,14,,-,,0.65176716,1,0.504031193,1,0.633330831,1
Cellular senescence,136,,0.95933011,1,0.158718541,1,0.95664577,1,0.875569258,1
Human papillomavirus infection,248,,0.932509557,1,0.758355791,1,0.206011297,0.991424631,0.868489541,1
One carbon pool by folate,18,,1,1,0.295105182,1,0.495623678,1,0.999932287,1
PI3K-Akt signaling pathway,223,,0.411395323,1,0.479908371,1,0.751036104,1,0.532478545,1
Pyrimidine metabolism,45,,0.55118886,1,0.992788617,1,0.271794709,0.991424631,0.924989582,1
Chagas disease,69,,0.709779881,1,0.423839827,1,0.500682875,1,0.594164026,1
Inositol phosphate metabolism,67,,0.529452029,1,0.470637393,1,0.612960339,1,0.544253068,1
Dopaminergic synapse,93,,0.31176814,1,0.694562091,1,0.717358102,1,0.591020459,1
Long-term depression,43,,0.312283245,1,0.997046648,1,0.499072802,1,0.928717716,1
Taurine and hypotaurine metabolism,5,,-,,1,1,0.347047068,0.991424631,0.999999932,1
Measles,110,,0.908952954,1,0.578250384,1,0.297587339,0.991424631,0.787660986,1
Purine metabolism,99,,0.776208538,1,0.996233848,1,0.205357605,0.991424631,0.972364251,1
Metabolism of xenobiotics by cytochrome P450,28,,1,1,0.585945956,1,0.274269324,0.991424631,0.999977514,1
Base excision repair,33,,0.204336059,1,0.896601739,1,0.87955499,1,0.76730476,1
Kaposi sarcoma-associated herpesvirus infection,150,,0.854153749,1,0.315193135,1,0.609532008,1,0.686459382,1
Natural killer cell mediated cytotoxicity,81,,0.545886822,1,0.748207203,1,0.411116648,1,0.664021673,1
Pathogenic Escherichia coli infection,162,,0.242751025,1,0.801266562,1,0.865419693,1,0.697748388,1
Glyoxylate and dicarboxylate metabolism,23,,1,1,0.180858279,1,0.94018553,1,0.999985258,1
Gap junction,63,,0.204336059,1,0.960123348,1,0.886240558,1,0.85569133,1
Cytokine-cytokine receptor interaction,113,,0.93473882,1,0.674141861,1,0.279373265,0.991424631,0.855253452,1
Hedgehog signaling pathway,40,,0.245440504,1,0.928686903,1,0.780443639,1,0.787737165,1
Toll-like receptor signaling pathway,68,,0.776208538,1,0.277830913,1,0.825202813,1,0.682751157,1
Notch signaling pathway,52,,0.846483577,1,0.579773667,1,0.363422866,0.991424631,0.747250527,1
FoxO signaling pathway,107,,0.635889238,1,0.54195864,1,0.530950669,1,0.627848246,1
Bladder cancer,33,,0.862231559,1,0.550961628,1,0.395991762,0.991424631,0.756929721,1
Serotonergic synapse,65,,1,1,0.988533199,1,0.19472415,0.991424631,0.999999947,1
Synaptic vesicle cycle,52,,1,1,0.694777426,1,0.279145735,0.991424631,0.999990477,1
GnRH secretion,41,,0.7735513,1,0.94463351,1,0.267098148,0.991424631,0.901223263,1
Dilated cardiomyopathy,51,,1,1,0.791380984,1,0.248199676,0.991424631,0.999995403,1
Epithelial cell signaling in Helicobacter pylori infection,60,,0.679436653,1,0.509322062,1,0.573330415,1,0.652457106,1
Legionellosis,41,,0.679436653,1,0.580778661,1,0.504641037,1,0.670932156,1
EGFR tyrosine kinase inhibitor resistance,58,,0.302261579,1,0.836912661,1,0.792267505,1,0.729675989,1
Pertussis,51,,0.709779881,1,0.355746557,1,0.817271728,1,0.681082917,1
Nicotinate and nicotinamide metabolism,27,,0.709779881,1,0.663496823,1,0.439030024,1,0.718158638,1
Morphine addiction,46,,0.628136217,1,0.840714497,1,0.395133324,0.991424631,0.776282977,1
Arginine biosynthesis,17,,-,,0.585945956,1,0.737491158,1,0.69531602,1
Proteoglycans in cancer,149,,0.680626798,1,0.425313635,1,0.738044149,1,0.666739643,1
Mineral absorption,35,,0.709779881,1,0.508532172,1,0.594226412,1,0.680141721,1
Collecting duct acid secretion,18,,1,1,0.486997516,1,0.44321401,1,0.999978818,1
NF-kappa B signaling pathway,79,,0.737873451,1,0.601919652,1,0.48872642,1,0.717141516,1
Cytosolic DNA-sensing pathway,41,,0.892579553,1,0.312145529,1,0.780443639,1,0.786124737,1
Arachidonic acid metabolism,25,,1,1,0.794645636,1,0.274269324,0.991424631,0.999996155,1
Vitamin B6 metabolism,6,,-,,1,1,0.443315769,1,0.999999966,1
Selenocompound metabolism,15,,1,1,0.653926471,1,0.335544191,0.991424631,0.999989959,1
Diabetic cardiomyopathy,159,,0.302261579,1,0.744112673,1,0.981453997,1,0.813152356,1
Other types of O-glycan biosynthesis,35,,1,1,0.878957678,1,0.254737278,0.991424631,0.999998538,1
Cell cycle,118,,0.684308361,1,0.527823494,1,0.647242444,1,0.693368183,1
Aldosterone-regulated sodium reabsorption,27,,1,1,0.663496823,1,0.354477874,0.991424631,0.999991488,1
Salivary secretion,55,,1,1,0.71543415,1,0.33356084,0.991424631,0.999993915,1
Amoebiasis,59,,1,1,0.62113986,1,0.393676195,0.991424631,0.999990087,1
Adipocytokine signaling pathway,54,,1,1,0.312145529,1,0.78366766,1,0.999983699,1
Glioma,59,,0.423039774,1,0.812406586,1,0.714849097,1,0.747723188,1
Apelin signaling pathway,99,,0.875186997,1,0.344252796,1,0.833661115,1,0.807163723,1
Basal transcription factors,42,,0.621111308,1,0.494173868,1,0.826156258,1,0.71034765,1
Carbon metabolism,99,,0.670629192,1,0.726482821,1,0.520914737,1,0.758310947,1
Glutathione metabolism,37,,1,1,0.865179594,1,0.293800431,0.991424631,0.999998555,1
TGF-beta signaling pathway,72,,0.679436653,1,0.754693858,1,0.496485898,1,0.773347792,1
Ras signaling pathway,150,,0.437808309,1,0.708623144,1,0.822954513,1,0.729442636,1
Renin secretion,38,,0.709779881,1,0.71149611,1,0.510803382,1,0.768851066,1
p53 signaling pathway,67,,1,1,0.580778661,1,0.445878251,1,0.99998933,1
Prolactin signaling pathway,52,,0.312283245,1,0.876051016,1,0.947526184,1,0.854088894,1
Bile secretion,34,,0.7735513,1,0.413574464,1,0.817126988,1,0.757605745,1
GABAergic synapse,46,,0.52363579,1,0.754038517,1,0.669192232,1,0.74338627,1
Hepatocellular carcinoma,131,,0.581586929,1,0.935873256,1,0.490117892,1,0.867230438,1
NOD-like receptor signaling pathway,135,,0.558723417,1,0.658578682,1,0.733595815,1,0.726569215,1
Fc gamma R-mediated phagocytosis,77,,0.891678972,1,0.967375743,1,0.314593825,0.991424631,0.965726098,1
Histidine metabolism,11,,-,,1,1,0.51498845,1,0.99999998,1
C-type lectin receptor signaling pathway,82,,0.99467506,1,0.533282605,1,0.51376183,1,0.959235535,1
Maturity onset diabetes of the young,9,,1,1,0.409751406,1,0.676353661,1,0.999986559,1
Adrenergic signaling in cardiomyocytes,93,,0.679436653,1,0.741450915,1,0.557681107,1,0.78296144,1
Non-small cell lung cancer,62,,0.914962652,1,0.917746133,1,0.3373131,0.991424631,0.949559548,1
Thyroid hormone signaling pathway,100,,0.762961568,1,0.673479317,1,0.560983924,1,0.794004546,1
"Alanine, aspartate and glutamate metabolism",24,,0.389910667,1,0.870250776,1,0.863993002,1,0.83451981,1
Calcium signaling pathway,129,,0.668412648,1,0.677303816,1,0.655160083,1,0.769805552,1
Propanoate metabolism,32,,0.7735513,1,0.459124361,1,0.840324819,1,0.790730081,1
"Valine, leucine and isoleucine degradation",42,,0.52363579,1,0.694777426,1,0.826156258,1,0.767748199,1
Regulation of actin cytoskeleton,159,,0.456778113,1,0.731186963,1,0.94564873,1,0.828186296,1
Longevity regulating pathway,73,,0.92213538,1,0.952704246,1,0.363086698,0.991424631,0.970048913,1
Cysteine and methionine metabolism,42,,0.823351222,1,0.834389956,1,0.464865358,1,0.88602427,1
Thyroid cancer,30,,0.892579553,1,0.931216696,1,0.395991762,0.991424631,0.953134718,1
Platelet activation,90,,0.453189114,1,0.772458611,1,0.940742631,1,0.843589295,1
SNARE interactions in vesicular transport,33,,0.474751771,1,0.752746683,1,0.926450999,1,0.831632281,1
Endocrine resistance,83,,0.578957819,1,0.836912661,1,0.691831663,1,0.831803002,1
Ferroptosis,34,,0.55118886,1,0.971501478,1,0.630143102,1,0.92626742,1
