Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
Linoleic acid metabolism,9,,-,,-,,0.151138535,0.83671924,0.151138535,1
Pancreatic secretion,56,,0.014751815,0.638542856,0.910320847,1,0.684922592,1,0.355906002,1
Serotonergic synapse,65,,0.058634121,0.707633992,0.834378721,1,0.203494836,0.940991365,0.237249453,1
Sphingolipid signaling pathway,99,,0.019680359,0.662930993,0.669113178,1,0.769451717,1,0.216890842,1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,,-,,0.39202277,1,0.098019901,0.7499563,0.185340176,1
Inflammatory bowel disease,41,,0.803442221,1,0.019147545,0.547424698,0.659849467,1,0.265327094,1
Salivary secretion,55,,0.02137329,0.662930993,0.850391757,1,0.599497814,1,0.288769715,1
Sphingolipid metabolism,38,,0.141640534,1,0.449648589,1,0.188875702,0.903720431,0.130219353,1
Longevity regulating pathway,73,,0.590795313,1,0.430120492,1,0.049899719,0.633911248,0.275000262,1
Cushing syndrome,110,,0.473282536,1,0.218641903,1,0.125273973,0.78125405,0.160835195,1
Cysteine and methionine metabolism,42,,0.216599053,1,0.792585547,1,0.075696154,0.72644861,0.295720769,1
Calcium signaling pathway,129,,0.173354104,1,0.132803968,1,0.593030295,1,0.10577712,1
Mucin type O-glycan biosynthesis,20,,-,,0.124029751,1,0.449912908,1,0.145090172,1
Circadian entrainment,60,,0.058634121,0.707633992,0.551641673,1,0.496692531,1,0.172138793,1
Dopaminergic synapse,93,,0.062920166,0.707633992,0.48200273,1,0.544225738,1,0.161079239,1
Platelet activation,90,,0.028519305,0.707633992,0.713164622,1,0.857347701,1,0.318966087,1
Hematopoietic cell lineage,53,,0.362788475,1,0.118645572,1,0.405193772,1,0.137832851,1
Glutamatergic synapse,74,,0.058634121,0.707633992,0.924838208,1,0.32606258,1,0.395019147,1
Fluid shear stress and atherosclerosis,96,,0.139534596,1,0.151324573,1,0.885436087,1,0.179860699,1
Gastric acid secretion,46,,0.038904155,0.707633992,0.850391757,1,0.583942393,1,0.34449157,1
Bile secretion,34,,0.148899796,1,0.372653957,1,0.365934738,1,0.152558391,1
Fc epsilon RI signaling pathway,53,,0.062920166,0.707633992,0.61335338,1,0.52675407,1,0.214601926,1
B cell receptor signaling pathway,74,,0.166946101,1,0.546170938,1,0.236645086,1,0.202036191,1
Folate biosynthesis,15,,1,1,0.316289724,1,0.068241138,0.72644861,0.999492489,1
Antigen processing and presentation,55,,0.432645749,1,0.792585547,1,0.069875933,0.72644861,0.440235325,1
Insulin signaling pathway,114,,0.681740792,1,0.466907789,1,0.076292739,0.72644861,0.383960969,1
Th17 cell differentiation,89,,0.377857224,1,0.221295823,1,0.307693556,1,0.185079779,1
Synthesis and degradation of ketone bodies,7,,0.23699422,1,0.478311484,1,0.227305106,1,0.213965609,1
Transcriptional misregulation in cancer,126,,0.874573223,1,0.739439898,1,0.040471022,0.621447369,0.690516676,1
FoxO signaling pathway,107,,0.124525082,1,0.738272558,1,0.293212433,1,0.290885752,1
Aldosterone synthesis and secretion,62,,0.371970426,1,0.169029502,1,0.433990096,1,0.183955034,1
Adrenergic signaling in cardiomyocytes,93,,0.193774987,1,0.382972998,1,0.375165901,1,0.188786976,1
Ubiquitin mediated proteolysis,131,,0.061600153,0.707633992,0.503270153,1,0.93113143,1,0.332307909,1
T cell receptor signaling pathway,79,,0.422325163,1,0.084820319,1,0.806770049,1,0.246075911,1
Peroxisome,70,,0.339724601,1,0.48200273,1,0.181064094,0.900072234,0.2574534,1
Viral protein interaction with cytokine and cytokine receptor,30,,0.417971624,1,0.825102122,1,0.087140069,0.72644861,0.479359186,1
Prostate cancer,73,,0.221800684,1,0.430120492,1,0.327189541,1,0.215041532,1
PPAR signaling pathway,49,,0.417971624,1,0.089716697,1,0.855782057,1,0.274637353,1
Progesterone-mediated oocyte maturation,81,,0.03535009,0.707633992,0.926737095,1,0.988559579,1,0.737137596,1
Neuroactive ligand-receptor interaction,108,,0.803442221,1,0.046005073,0.780915266,0.887501284,1,0.473230991,1
Human papillomavirus infection,248,,0.964353679,1,0.386637418,1,0.088955092,0.72644861,0.683101908,1
MAPK signaling pathway,205,,0.656290338,1,0.127859146,1,0.404830237,1,0.285288303,1
Renal cell carcinoma,56,,0.377857224,1,0.816015102,1,0.110285097,0.763224992,0.463724216,1
Arginine and proline metabolism,35,,0.23699422,1,0.225153704,1,0.638813301,1,0.205291414,1
ABC transporters,29,,1,1,0.394299957,1,0.087140069,0.72644861,0.999742613,1
Bladder cancer,33,,0.289021513,1,0.778845847,1,0.153024631,0.83671924,0.397476425,1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,,1,1,0.124029751,1,0.28117342,1,0.999305677,1
Cortisol synthesis and secretion,39,,0.435137004,1,0.265526545,1,0.302366243,1,0.237836574,1
Choline metabolism in cancer,72,,0.694513782,1,0.19763981,1,0.258259917,1,0.319708614,1
Chemical carcinogenesis - receptor activation,123,,0.124525082,1,0.587052487,1,0.496266202,1,0.268816573,1
Biosynthesis of cofactors,111,,0.970885887,1,0.441913638,1,0.091070817,0.72644861,0.736589012,1
Steroid hormone biosynthesis,19,,-,,1,1,0.121184337,0.78125405,0.999999457,1
Cytokine-cytokine receptor interaction,113,,0.775925061,1,0.630119987,1,0.082214111,0.72644861,0.57044147,1
Th1 and Th2 cell differentiation,75,,0.770261184,1,0.19763981,1,0.27832125,1,0.384527965,1
Biosynthesis of amino acids,66,,0.568852976,1,0.890402315,1,0.08552093,0.72644861,0.649696782,1
Influenza A,128,,0.874781801,1,0.372409277,1,0.137206265,0.79765676,0.548186863,1
Arachidonic acid metabolism,25,,0.417971624,1,0.394299957,1,0.28117342,1,0.296994957,1
Insulin resistance,88,,0.719444614,1,0.19725065,1,0.329698139,1,0.366256159,1
2-Oxocarboxylic acid metabolism,17,,-,,0.176495459,1,0.782911525,1,0.344583631,1
JAK-STAT signaling pathway,86,,0.27049006,1,0.195670388,1,0.90559461,1,0.325858851,1
Aminoacyl-tRNA biosynthesis,44,,0.435222827,1,0.889493052,1,0.124078116,0.78125405,0.596060543,1
Human T-cell leukemia virus 1 infection,192,,0.607401896,1,0.413722094,1,0.194758896,0.91510002,0.384252195,1
Protein digestion and absorption,42,,0.803442221,1,0.622890151,1,0.098390768,0.7499563,0.60489496,1
Inflammatory mediator regulation of TRP channels,64,,0.14148759,1,0.423080022,1,0.837093883,1,0.325839728,1
Fatty acid metabolism,50,,1,1,0.856578132,1,0.058993156,0.722666164,0.99998978,1
Protein export,23,,1,1,0.630119987,1,0.080946124,0.72644861,0.999940306,1
Renin secretion,38,,0.089849775,0.900992745,0.875255465,1,0.672695897,1,0.516231105,1
Pancreatic cancer,69,,0.547877851,1,0.621455486,1,0.159044975,0.852381664,0.458273724,1
Adherens junction,63,,0.600728786,1,0.107672127,1,0.843091642,1,0.401503984,1
Mannose type O-glycan biosynthesis,19,,-,,0.220229008,1,0.711033444,1,0.352078012,1
TGF-beta signaling pathway,72,,0.726548707,1,0.525038439,1,0.146653038,0.83671924,0.512344548,1
Natural killer cell mediated cytotoxicity,81,,0.425851248,1,0.546170938,1,0.242388141,1,0.375882006,1
Parkinson disease,211,,0.082138952,0.888860797,0.707256151,1,0.999990732,1,0.862506329,1
Cellular senescence,136,,0.230265153,1,0.817374659,1,0.314625262,1,0.467447661,1
Endometrial cancer,52,,0.547877851,1,0.165433206,1,0.675252302,1,0.352845685,1
Phospholipase D signaling pathway,102,,0.249873161,1,0.48200273,1,0.510523392,1,0.322186057,1
NF-kappa B signaling pathway,79,,0.804852106,1,0.251465417,1,0.305146972,1,0.472813651,1
mTOR signaling pathway,131,,0.27729375,1,0.674207633,1,0.332372355,1,0.397041822,1
Gastric cancer,105,,0.329986398,1,0.430120492,1,0.43895351,1,0.322058171,1
Vascular smooth muscle contraction,81,,0.19489214,1,0.647252541,1,0.506308587,1,0.377422293,1
Vibrio cholerae infection,44,,0.742058018,1,0.956425054,1,0.090189698,0.72644861,0.846380419,1
Ovarian steroidogenesis,24,,1,1,0.316289724,1,0.205756129,0.940991365,0.999802602,1
Other types of O-glycan biosynthesis,35,,1,1,0.24897577,1,0.262223628,1,0.999753966,1
Basal cell carcinoma,43,,0.885951726,1,0.114347862,1,0.678586449,1,0.574150498,1
Butanoate metabolism,17,,0.556137169,1,0.316608672,1,0.395931358,1,0.374850886,1
Hypertrophic cardiomyopathy,48,,0.850257227,1,0.265526545,1,0.31093854,1,0.533224885,1
Cytosolic DNA-sensing pathway,41,,0.668283531,1,0.137548136,1,0.787553883,1,0.453735768,1
Amphetamine addiction,48,,0.435222827,1,0.308500741,1,0.543168551,1,0.348274945,1
Epstein-Barr virus infection,176,,0.963388038,1,0.682880963,1,0.111576167,0.763224992,0.844765965,1
Necroptosis,125,,0.265379121,1,0.561491233,1,0.493692907,1,0.37580069,1
Acute myeloid leukemia,56,,0.625836359,1,0.227245578,1,0.52675407,1,0.401445572,1
Lipid and atherosclerosis,159,,0.412093104,1,0.278234682,1,0.653942114,1,0.353794211,1
Ether lipid metabolism,27,,1,1,1,1,0.075278385,0.72644861,1,1
Legionellosis,41,,0.435222827,1,0.342668322,1,0.514577081,1,0.360913473,1
C-type lectin receptor signaling pathway,82,,0.210309331,1,0.465013853,1,0.806770049,1,0.400741224,1
Colorectal cancer,77,,0.481619788,1,0.449156299,1,0.375624262,1,0.406982937,1
"Valine, leucine and isoleucine degradation",42,,0.141640534,1,0.798997735,1,0.71995515,1,0.526045165,1
GnRH secretion,41,,0.148899796,1,0.793186123,1,0.690809559,1,0.516069118,1
Type II diabetes mellitus,29,,0.148899796,1,0.897599905,1,0.614809842,1,0.600029622,1
Insulin secretion,49,,0.289021513,1,0.916171075,1,0.31093854,1,0.63365262,1
Pathways of neurodegeneration - multiple diseases,380,,0.111527234,1,0.741811714,1,0.999998553,1,0.922858517,1
Retinol metabolism,19,,-,,0.304547574,1,0.711033444,1,0.4380027,1
MicroRNAs in cancer,141,,0.250833316,1,0.425253543,1,0.78268721,1,0.396680888,1
Caffeine metabolism,1,,-,,0.220229008,1,1,1,0.995077322,1
Lipoic acid metabolism,3,,-,,0.220229008,1,1,1,0.995077322,1
Spinocerebellar ataxia,121,,0.100957355,0.955939951,0.870852911,1,0.971432843,1,0.7357578,1
"Valine, leucine and isoleucine biosynthesis",3,,-,,0.39202277,1,0.564766174,1,0.439378376,1
NOD-like receptor signaling pathway,135,,0.519909919,1,0.177290979,1,0.933340736,1,0.503849496,1
Proteoglycans in cancer,149,,0.776656955,1,0.162940948,1,0.687029008,1,0.519345683,1
Biotin metabolism,3,,-,,-,,0.564766174,1,0.564766174,1
Circadian rhythm,23,,0.289021513,1,0.863722893,1,0.357609031,1,0.58216796,1
Melanogenesis,69,,0.250870063,1,0.635696584,1,0.572841168,1,0.442630529,1
Ribosome biogenesis in eukaryotes,80,,0.092180776,0.900992745,0.998252036,1,0.995713077,1,0.979275595,1
Relaxin signaling pathway,88,,0.668283531,1,0.395062388,1,0.351907054,1,0.486437855,1
Pyrimidine metabolism,45,,1,1,0.877142098,1,0.106317356,0.763224992,0.999995591,1
Notch signaling pathway,52,,0.681173738,1,0.150909749,1,0.912692776,1,0.56395374,1
cGMP-PKG signaling pathway,110,,0.337280811,1,0.451432372,1,0.619207183,1,0.406062889,1
Cocaine addiction,32,,1,1,0.734440567,1,0.128765783,0.788690419,0.999982715,1
p53 signaling pathway,67,,0.775925061,1,0.709321529,1,0.172568567,0.896833611,0.688562185,1
Alzheimer disease,300,,0.186510259,1,0.51188996,1,0.99998361,1,0.849674621,1
Antifolate resistance,25,,0.742058018,1,0.362011517,1,0.362388942,1,0.524316943,1
Fructose and mannose metabolism,29,,0.435137004,1,0.893304937,1,0.253389822,1,0.671991408,1
RNA polymerase,31,,0.742058018,1,0.137548136,1,0.974447474,1,0.680238875,1
Retrograde endocannabinoid signaling,94,,0.141640534,1,0.806992749,1,0.892022899,1,0.631640357,1
Human cytomegalovirus infection,169,,0.855991899,1,0.902241792,1,0.133454555,0.789222628,0.866429552,1
DNA replication,36,,0.173366498,1,0.966793786,1,0.62716318,1,0.758134899,1
Citrate cycle (TCA cycle),29,,0.556137169,1,0.264547505,1,0.738410013,1,0.471967697,1
Autophagy - animal,124,,0.609047858,1,0.416823779,1,0.42940518,1,0.490649713,1
RIG-I-like receptor signaling pathway,47,,0.90354488,1,0.227971399,1,0.537204308,1,0.657377169,1
GABAergic synapse,46,,0.556137169,1,0.718844384,1,0.280786899,1,0.596886773,1
Herpes simplex virus 1 infection,433,,0.966405445,1,0.402004857,1,0.290754161,1,0.795740251,1
Phagosome,119,,0.803875714,1,0.493470708,1,0.294014779,1,0.633676924,1
Dilated cardiomyopathy,51,,1,1,0.313283544,1,0.373360662,1,0.999904244,1
Arginine biosynthesis,17,,-,,0.554756722,1,0.510176006,1,0.552287325,1
Diabetic cardiomyopathy,159,,0.580385197,1,0.206512318,1,0.999616762,1,0.815213173,1
Regulation of actin cytoskeleton,159,,0.902459608,1,0.332985422,1,0.400597643,1,0.68156041,1
Osteoclast differentiation,98,,0.564165208,1,0.303064021,1,0.716166481,1,0.496461414,1
Basal transcription factors,42,,0.977860637,1,0.137548136,1,0.912664567,1,0.871308543,1
beta-Alanine metabolism,23,,1,1,0.316289724,1,0.40237783,1,0.999916605,1
Kaposi sarcoma-associated herpesvirus infection,150,,0.528961033,1,0.318761228,1,0.762731953,1,0.506800971,1
African trypanosomiasis,20,,1,1,0.208240155,1,0.618864381,1,0.999914751,1
Glycosaminoglycan degradation,17,,-,,0.775560602,1,0.395931358,1,0.697338729,1
VEGF signaling pathway,48,,0.851779794,1,0.834378721,1,0.186777272,0.903720431,0.834680054,1
Apoptosis,118,,0.49981754,1,0.342437705,1,0.804814224,1,0.526691147,1
Axon guidance,121,,0.338985142,1,0.527790674,1,0.784919207,1,0.530658733,1
cAMP signaling pathway,124,,0.857457065,1,0.539960744,1,0.313344172,1,0.718576817,1
Gap junction,63,,0.250870063,1,0.709321529,1,0.819549003,1,0.606288088,1
One carbon pool by folate,18,,1,1,0.949822997,1,0.153683126,0.83671924,0.999999365,1
Drug metabolism - other enzymes,39,,0.522552184,1,0.635696584,1,0.442074576,1,0.581730243,1
Phosphatidylinositol signaling system,84,,0.77560316,1,0.247535041,1,0.781648957,1,0.637952776,1
Inositol phosphate metabolism,67,,0.600728786,1,0.258828947,1,0.965504358,1,0.672757209,1
Pathways in cancer,364,,0.874343243,1,0.455769423,1,0.377923234,1,0.712307344,1
Apelin signaling pathway,99,,0.804852106,1,0.566291496,1,0.330804725,1,0.692532692,1
Prion disease,222,,0.206177924,1,0.736418024,1,0.995232054,1,0.808322407,1
Pantothenate and CoA biosynthesis,16,,0.417971624,1,0.383809925,1,0.942533996,1,0.610068021,1
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,,0.735101165,1,0.280366502,1,0.7527908,1,0.616859664,1
"Growth hormone synthesis, secretion and action",88,,0.210309331,1,0.944179871,1,0.781648957,1,0.789554843,1
Adipocytokine signaling pathway,54,,0.770261184,1,0.635696584,1,0.317032212,1,0.700889008,1
Pentose and glucuronate interconversions,13,,-,,0.893826986,1,0.38929831,1,0.823633146,1
Glyoxylate and dicarboxylate metabolism,23,,0.417971624,1,0.758316129,1,0.496306214,1,0.623964232,1
Olfactory transduction,30,,0.417971624,1,0.383809925,1,0.983541602,1,0.689316833,1
Fanconi anemia pathway,53,,0.937100286,1,0.308500741,1,0.55626988,1,0.768313281,1
Non-small cell lung cancer,62,,0.600728786,1,0.771839166,1,0.349291001,1,0.692168044,1
Ras signaling pathway,150,,0.92226733,1,0.507950906,1,0.349358642,1,0.78672596,1
Chemical carcinogenesis - DNA adducts,20,,1,1,0.18427114,1,0.895762494,1,0.999976573,1
HIF-1 signaling pathway,88,,0.719444614,1,0.239511049,1,0.960553396,1,0.725094425,1
Aldosterone-regulated sodium reabsorption,27,,0.742058018,1,0.625292682,1,0.362388942,1,0.690681688,1
Glucagon signaling pathway,85,,0.45960944,1,0.566291496,1,0.653077892,1,0.576739697,1
Histidine metabolism,11,,-,,0.712017161,1,0.520272762,1,0.693919805,1
Lysine degradation,51,,0.887766217,1,0.19763981,1,0.978466656,1,0.846950324,1
Breast cancer,107,,0.668212421,1,0.291697779,1,0.887501284,1,0.654057313,1
Amino sugar and nucleotide sugar metabolism,44,,1,1,0.979568293,1,0.179848554,0.900072234,0.999999867,1
Base excision repair,33,,0.250870063,1,0.712048511,1,0.995638562,1,0.824620786,1
Longevity regulating pathway - multiple species,48,,0.770261184,1,0.709321529,1,0.341869209,1,0.753698498,1
Epithelial cell signaling in Helicobacter pylori infection,60,,0.435222827,1,0.61335338,1,0.700729769,1,0.611401432,1
Hepatitis C,116,,0.857457065,1,0.366982478,1,0.605378696,1,0.720055938,1
Other glycan degradation,15,,-,,0.712017161,1,0.566409552,1,0.714427326,1
Phototransduction,14,,-,,0.630523244,1,0.643374851,1,0.682277966,1
Mitophagy - animal,65,,0.806589556,1,0.255262787,1,0.941402418,1,0.771372633,1
Chagas disease,69,,0.742058018,1,0.360112488,1,0.728690828,1,0.665608831,1
Amoebiasis,59,,1,1,0.227971399,1,0.859862675,1,0.999979521,1
Ascorbate and aldarate metabolism,7,,-,,0.775560602,1,0.535325556,1,0.756970499,1
Neurotrophin signaling pathway,100,,0.453764887,1,0.539960744,1,0.822441529,1,0.635023034,1
Hepatitis B,134,,0.760129423,1,0.730021934,1,0.369439429,1,0.768217817,1
Chemokine signaling pathway,121,,0.719444614,1,0.534956377,1,0.540559229,1,0.683400884,1
Tyrosine metabolism,20,,-,,0.478311484,1,0.895762494,1,0.724000731,1
Human immunodeficiency virus 1 infection,175,,0.339909891,1,0.731659373,1,0.844553361,1,0.698828791,1
Mineral absorption,35,,0.742058018,1,0.478311484,1,0.603043426,1,0.688365973,1
Sulfur metabolism,8,,-,,0.712017161,1,0.613145461,1,0.73490633,1
Glioma,59,,0.27049006,1,0.894692586,1,0.89181494,1,0.812859329,1
Oxidative phosphorylation,108,,1,1,0.219762926,1,0.999183418,1,0.999999474,1
Vitamin B6 metabolism,6,,-,,1,1,0.447319713,1,0.999999967,1
Riboflavin metabolism,7,,-,,0.526019279,1,0.856563742,1,0.725536224,1
Leukocyte transendothelial migration,81,,0.950561878,1,0.896229102,1,0.263120294,1,0.951182636,1
"Parathyroid hormone synthesis, secretion and action",78,,0.429350557,1,0.857116392,1,0.612352126,1,0.753818029,1
Wnt signaling pathway,122,,0.337280811,1,0.713164622,1,0.942855,1,0.75754502,1
Apoptosis - multiple species,28,,0.742058018,1,0.313283544,1,0.979593971,1,0.81533815,1
IL-17 signaling pathway,60,,0.681173738,1,0.463059687,1,0.724960822,1,0.683935662,1
Steroid biosynthesis,19,,0.417971624,1,0.848493503,1,0.645678116,1,0.750846117,1
Morphine addiction,46,,1,1,0.571155812,1,0.405424553,1,0.999986336,1
Taste transduction,34,,0.23699422,1,1,1,0.978996753,1,0.999995617,1
Spliceosome,133,,0.236925299,1,0.988991948,1,0.999981731,1,0.995446184,1
EGFR tyrosine kinase inhibitor resistance,58,,0.580385197,1,0.463059687,1,0.878566185,1,0.699371306,1
Glycosphingolipid biosynthesis - ganglio series,14,,-,,0.630523244,1,0.742317405,1,0.731855549,1
Phosphonate and phosphinate metabolism,5,,0.23699422,1,1,1,1,1,1,1
Endocrine resistance,83,,0.429350557,1,0.798997735,1,0.704056733,1,0.736990462,1
Fc gamma R-mediated phagocytosis,77,,0.923448476,1,0.806992749,1,0.327189541,1,0.907779241,1
Mismatch repair,23,,0.362788475,1,0.944224567,1,0.725231286,1,0.849413155,1
"Glycine, serine and threonine metabolism",29,,1,1,0.875255465,1,0.289807031,1,0.999998731,1
Melanoma,46,,0.668283531,1,0.758316129,1,0.504875197,1,0.771936302,1
Non-alcoholic fatty liver disease,130,,0.376112314,1,0.688654002,1,0.988458052,1,0.838356721,1
Platinum drug resistance,59,,0.547877851,1,0.482599472,1,0.97557187,1,0.790813822,1
Tuberculosis,127,,0.77560316,1,0.351126517,1,0.948162216,1,0.809224036,1
Nicotinate and nicotinamide metabolism,27,,0.339724601,1,0.848493503,1,0.906293782,1,0.817491479,1
Glycosphingolipid biosynthesis - lacto and neolacto series,18,,-,,-,,0.848250135,1,0.848250135,1
Purine metabolism,99,,0.568852976,1,0.999957593,1,0.465217853,1,0.995766942,1
Chronic myeloid leukemia,69,,0.857457065,1,0.95222205,1,0.324754151,1,0.946120498,1
Maturity onset diabetes of the young,9,,1,1,0.39202277,1,0.680550025,1,0.999984977,1
Measles,110,,0.998139849,1,0.369998679,1,0.733478684,1,0.972970879,1
Nicotine addiction,12,,-,,-,,0.860076775,1,0.860076775,1
Glycosaminoglycan biosynthesis - keratan sulfate,11,,-,,1,1,0.520272762,1,0.999999981,1
Selenocompound metabolism,15,,0.556137169,1,0.893826986,1,0.566409552,1,0.833227507,1
Propanoate metabolism,32,,0.803442221,1,0.630119987,1,0.565561047,1,0.79931771,1
Toll-like receptor signaling pathway,68,,0.96172388,1,0.370952679,1,0.833363179,1,0.906554281,1
Thyroid hormone signaling pathway,100,,0.699206,1,0.466639708,1,0.916502085,1,0.793944823,1
Amyotrophic lateral sclerosis,302,,0.308565973,1,0.992400821,1,0.999999785,1,0.999303467,1
"Neomycin, kanamycin and gentamicin biosynthesis",3,,-,,1,1,0.564766174,1,0.999999986,1
Autophagy - other,30,,0.949691846,1,0.428300399,1,0.769310056,1,0.893014406,1
Thermogenesis,190,,0.453764887,1,0.705226269,1,0.999304126,1,0.933887564,1
Ribosome,133,,0.378284221,1,0.857508164,1,0.999998849,1,0.989586437,1
Hepatocellular carcinoma,131,,0.375832741,1,0.90514056,1,0.955476152,1,0.903074305,1
Hedgehog signaling pathway,40,,0.885951726,1,0.383809925,1,0.979458127,1,0.916975233,1
