"","ingroup_n","ingroupnames","ingroup_mean","outgroup_n","outgroup_mean","zscore","oddsratio","pvalue","BH_pvalue","SignedBH_pvalue","background_n","background_mean","Method","Pathway","Contrast","negativelog10pvalue","negativelog10FDR"
"Steroid Biosynthesis",57,"EBP, DHCR7, DHCR24, TM7SF2, LSS, NSDHL, CYP2R1, CYP27B1, FDFT1, SQLE, SC5D, CYP51A1, MSMO1, HSD17B7, LBR, LIPA, CEL, SOAT1, SOAT2",4.99444100833837,57,5.0795304801576,0.0345096867943886,-0.0850894718192317,0.853381424535828,0.999233677344947,NA,NA,NA,"Transcriptomics","Steroid Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0688568146163686,0.000332937285438734
"Primary Bile Acid Biosynthesis",27,"CYP46A1, HSD17B4, SCP2, SLC27A5, BAAT, HSD3B7, CYP39A1, ACOT8, AMACR",2.38177984849736,27,2.36718375702919,-0.00628793223322498,0.0145960914681695,0.981630782656657,0.999233677344947,NA,NA,NA,"Transcriptomics","Primary Bile Acid Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.00805183116093256,0.000332937285438734
"Ubiquinone And Other Terpenoid-Quinone Biosynthesis",33,"COQ3, HPD, GGCX, VKORC1, NDC1, COQ6, COQ2, COQ5, COQ7, NQO1, VKORC1L1",3.98575250757308,33,3.99461319987115,0.00377731937925554,-0.00886069229806585,0.987806114362848,0.999233677344947,NA,NA,NA,"Transcriptomics","Ubiquinone And Other Terpenoid-Quinone Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.00532828995233354,0.000332937285438734
"Steroid Hormone Biosynthesis",42,"STS, HSD11B2, COMT, CYP3A5, HSD17B1, HSD17B6, HSD17B8, HSD17B7, HSD17B12, SRD5A1, SRD5A3, CYP2E1, HSD11B1L, LRTOMT",2.89067498802581,42,2.88072948774616,-0.00498853634803749,0.00994550027965424,0.981555051732064,0.999233677344947,NA,NA,NA,"Transcriptomics","Steroid Hormone Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.00808533743639626,0.000332937285438734
"Oxidative Phosphorylation",252,"NDUFC2, NDUFC1, NDUFB10, NDUFB9, NDUFB8, NDUFB7, NDUFB6, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, NDUFA11, NDUFAB1, NDUFA10, NDUFA9, NDUFA8, NDUFA7, NDUFA6, NDUFA5, NDUFA4, NDUFA3, NDUFA2, NDUFA1, NDUFV3, NDUFV2, NDUFV1, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFS3, NDUFS2, NDUFS1, COX17, COX15, COX11, COX7C, COX7B, COX6C, SDHC, SDHA, SDHB, COX5B, COX5A, COX10, NDUFB11, NDUFA12, NDUFA13, SDHD, UQCR11, UQCR10, UQCRQ, UQCRB, UQCRC2, UQCRC1, CYC1, UQCRFS1, ATP6V1A, ATP6V1D, ATP6V1F, ATP6V1H, ATP6AP1, CYCS, LHPP, TCIRG1, ATP6V1G3, ATP6V0E2, ATP6V0A2, ATP6V1C2, ATP6V1B2, ATP6V0C, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V1G2, ATP6V0A1, ATP6V0E1, ATP6V1E2, ATP6V0D1, ATP6V1G1, PPA2, PPA1",5.51228705790002,252,5.49641999364439,-0.0085959086993219,0.0158670642556284,0.922858739341226,0.999233677344947,NA,NA,NA,"Transcriptomics","Oxidative Phosphorylation","X19O2NoCyA - X1O2NoCyA",0.0348647707180276,0.000332937285438734
"Arginine Biosynthesis",51,"CPS1, ACY1, ASS1, ASL, NAGS, ARG2, NOS3, NOA1, GOT1, GOT2, GPT, GLS2, GLS, ABHD14A, GLUD1, GLUD2, GPT2",3.28733864033795,51,3.22901265400953,-0.0203248881272205,0.0583259863284273,0.918237754244283,0.999233677344947,NA,NA,NA,"Transcriptomics","Arginine Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0370448547600679,0.000332937285438734
"Purine Metabolism",291,"PURB, PURA, APRT, NUDT2, NTPCR, NUDT16, AK3, ADK, PPAT, GART, ATIC, ADSL, PAICS, PNP, GMPS, HPRT1, GUK1, HDDC3, PFAS, ITPA, PGM2, DCK, HDDC2, RRM1, RRM2, PDE3B, ADCY3, ADCY4, ADCY5, ADCY7, ADCY9, ADCY10, AK6, AK9, CECR1, AMN, LACC1, CANT1, ENTPD4, PRUNE, RELA, GUCY2C, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, GPT, DGUOK, NUDT9, NUDT5, ADPRM, FHIT, ENPP4, RRM2B, PRPS1L1, PRPS1, PRPS2, PDE1A, PDE1B, ENTPD1, AK7, AK2, AK4, AK5, AMPD2, AMPD3, NT5C1B, RDH14, NT5C2, NT5C, NT5M, ADA, NME6, NME7, NME1, NME2, NME3, NME4, GMPR2, IMPDH1, IMPDH2, ENTPD6, ENTPD5, NPR2, PDE9A, PDE5A, PAPSS2, PAPSS1, PDE4A, PDE4B, PDE4D, PDE7A, PDE8A, PDE8B, PGM1, ENPP1",4.15720296887894,291,4.14326296712076,-0.00499192078363105,0.0139400017581819,0.952009889082701,0.999233677344947,NA,NA,NA,"Transcriptomics","Purine Metabolism","X19O2NoCyA - X1O2NoCyA",0.0213585403216792,0.000332937285438734
"Caffeine Metabolism",3,"NAT1",3.83774743683256,3,4.04310997050194,6.4179622102728,-0.205362533669384,0.00683977755594704,0.999233677344947,NA,NA,NA,"Transcriptomics","Caffeine Metabolism","X19O2NoCyA - X1O2NoCyA",2.16495802222661,0.000332937285438734
"Pyrimidine Metabolism",141,"DCTPP1, DPYD, DHODH, NUDT2, DUT, CAD, UMPS, DCK, DCTD, DTYMK, TYMP, TYMS, HDDC2, ASMTL, RRM1, RRM2, AK9, CMPK1, CANT1, ENTPD4, DHFR, RRM2B, NME6, NME7, NME1, NME2, NME3, NME4, CTPS1, CTPS2, ENTPD1, ENTPD6, ENTPD5, UCKL1, UCK2, UCK1, NT5C1B, RDH14, NT5C2, NT5C, NT5M, UPP1, TK1, TK2, ENPP1, NT5C3B, NT5C3A",4.81402828290175,141,4.77630028123167,-0.0147545757810783,0.0377280016700796,0.900559214615776,0.999233677344947,NA,NA,NA,"Transcriptomics","Pyrimidine Metabolism","X19O2NoCyA - X1O2NoCyA",0.045487725670225,0.000332937285438734
"Alanine, Aspartate And Glutamate Metabolism",75,"NIT2, NAT8L, IL4I1, PURA, PURB, CPS1, RIMKLA, RIMKLB, ASNS, ASS1, ASL, ADSL, CAD, ALDH5A1, ABAT, PPAT, GOT1, GOT2, GPT, GPT2, GLUD1, GLUD2, GLS2, GLS, GFPT1",4.42693082056359,75,4.41146039503368,-0.00528241592658175,0.0154704255299096,0.974245456378799,0.999233677344947,NA,NA,NA,"Transcriptomics","Alanine, Aspartate And Glutamate Metabolism","X19O2NoCyA - X1O2NoCyA",0.0113316109642862,0.000332937285438734
"Glycine, Serine And Threonine Metabolism",96,"SRR, GAMT, GATM, SARDH, AOC3, DLD, GNMT, DDC, CHDH, ALDH7A1, PHGDH, CTH, PSAT1, PSPH, GCAT, GLDC, GRHPR, AMT, GLYCTK, GCSH, CBS, THRA, TDH, BPGM, ETFA, ETFB, SHMT1, SHMT2, ALAS1, AOC2, PGAM4, PGAM1",3.74534319428504,96,3.75441492132643,0.00311357135710232,-0.00907172704139159,0.982711128957813,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycine, Serine And Threonine Metabolism","X19O2NoCyA - X1O2NoCyA",0.00757412564371225,0.000332937285438734
"Cysteine And Methionine Metabolism",120,"AHCY, IL4I1, TST, SMS, ADI1, APIP, MRI1, SRM, AMD1, CTH, MTR, ENOPH1, GSS, PHGDH, PSAT1, MTAP, LACC1, CBS, DNMT1, DNMT3A, DNMT3B, GOT1, GOT2, THRA, MDH1, MDH2, GCLC, GCLM, MAT2B, MAT2A, AHCYL1, AHCYL2, MPST, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, BCAT1, BCAT2",5.68978342394507,120,5.6773703270989,-0.00422942801944566,0.0124130968461751,0.973777926686578,0.999233677344947,NA,NA,NA,"Transcriptomics","Cysteine And Methionine Metabolism","X19O2NoCyA - X1O2NoCyA",0.0115400741389288,0.000332937285438734
"Valine, Leucine And Isoleucine Degradation",126,"DLD, HMGCL, IVD, DBT, IL4I1, MCEE, HIBCH, HSD17B10, ACADM, ACADS, ACAD8, AACS, AUH, ACADSB, AOX1, ALDH6A1, ABAT, HIBADH, ACSF3, BCKDHA, BCKDHB, HADHA, EHHADH, ECHS1, ACAA1, ACAA2, HADHB, HADH, MUT, PCCB, ALDH7A1, ALDH9A1, ACAT1, ACAT2, HMGCS1, OXCT1, MCCC1, MCCC2, BCAT1, BCAT2, ALDH2, ALDH3A2",4.66019004716119,126,4.67658684648479,0.00701998825814554,-0.0163967993235969,0.955696684120999,0.999233677344947,NA,NA,NA,"Transcriptomics","Valine, Leucine And Isoleucine Degradation","X19O2NoCyA - X1O2NoCyA",0.0196799208139401,0.000332937285438734
"Valine, Leucine And Isoleucine Biosynthesis",6,"BCAT1, BCAT2",7.22323167923818,6,7.17218655081141,-0.020920554472686,0.0510451284267743,0.971312200210287,0.999233677344947,NA,NA,NA,"Transcriptomics","Valine, Leucine And Isoleucine Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0126411562547038,0.000332937285438734
"Lysine Degradation",150,"ALDH7A1, GCDH, ALDH9A1, TMLHE, CAMKMT, AGPHD1, PHYKPL, HADHA, EHHADH, ECHS1, HADH, DLST, DLD, SETD7, ASH1L, SETDB2, PRDM2, EZH1, EZH2, SETMAR, NSD1, SETD2, DOT1L, PLOD3, PLOD1, SETDB1, DHTKD1, ACAT1, ACAT2, EHMT2, SETD1B, KMT5A, KMT2A, NSD3, KMT2E, SMYD2, KMT2C, SMYD3, SUV39H1, NSD2, SUV39H2, EHMT1, KMT2D, SETD1A, KMT2B, COLGALT2, KMT5B, KMT5C, ALDH2, ALDH3A2",5.45886601896821,150,5.40990179866213,-0.0233226218934083,0.0489642203060825,0.840834483713988,0.999233677344947,NA,NA,NA,"Transcriptomics","Lysine Degradation","X19O2NoCyA - X1O2NoCyA",0.0752894856339511,0.000332937285438734
"Arginine And Proline Metabolism",102,"GATM, SMS, CNDP2, GAMT, PROC, SRM, AMD1, CARNS1, AGMAT, SMOX, OAT, ALDH18A1, L3HYPDH, LAP3, ODC1, ALDH7A1, ALDH9A1, NOS3, NOA1, GOT1, GOT2, ARG2, ALDH2, ALDH3A2, SAT1, CKB, CKMT1B, CKMT2, CKMT1A, PYCR2, PYCR1, P4HA3, P4HA1, P4HA2",4.1083002080391,102,4.12278748545048,0.00480334996404608,-0.0144872774113791,0.97257597302194,0.999233677344947,NA,NA,NA,"Transcriptomics","Arginine And Proline Metabolism","X19O2NoCyA - X1O2NoCyA",0.0120764636521515,0.000332937285438734
"Histidine Metabolism",33,"CNDP2, AMDHD1, HAL, CARNMT1, CARNS1, ALDH7A1, ALDH9A1, ALDH2, ALDH3A2, ALDH3B1, ALDH3B2",2.69474286473327,33,2.70332665565151,0.00355560097620371,-0.0085837909182378,0.988401462248667,0.999233677344947,NA,NA,NA,"Transcriptomics","Histidine Metabolism","X19O2NoCyA - X1O2NoCyA",0.00506662077091197,0.000332937285438734
"Tyrosine Metabolism",69,"COMT, DBH, DDC, AOC3, MIF, HPD, IL4I1, NAGK, DCT, FAHD1, GSTZ1, AOX1, FAH, ADH6, GOT1, GOT2, FAAH, C2, ALDH3B1, ALDH3B2, LRTOMT, ADH5, AOC2",2.27641202886621,69,2.27681689036157,0.000164024136485345,-0.000404861495357789,0.999233677344947,0.999233677344947,NA,NA,NA,"Transcriptomics","Tyrosine Metabolism","X19O2NoCyA - X1O2NoCyA",0.000332937285438734,0.000332937285438734
"Phenylalanine Metabolism",30,"DDC, AOC3, HPD, MIF, IL4I1, GOT1, GOT2, ALDH3B1, ALDH3B2, AOC2",2.14231652946821,30,2.15495104642061,0.00473414343474935,-0.0126345169523998,0.985442620192224,0.999233677344947,NA,NA,NA,"Transcriptomics","Phenylalanine Metabolism","X19O2NoCyA - X1O2NoCyA",0.00636865850719853,0.000332937285438734
"Tryptophan Metabolism",72,"IL4I1, DDC, GCDH, ACMSD, KMO, CAT, AANAT, AFMID, AOX1, HADH, EHHADH, COMT, ECHS1, HADHA, DLST, DLD, ALDH7A1, ALDH9A1, ACAT1, ACAT2, DHTKD1, TPH1, ALDH2, ALDH3A2",3.85250592773769,72,3.87679190749789,0.00889879319326253,-0.0242859797602071,0.957640142453736,0.999233677344947,NA,NA,NA,"Transcriptomics","Tryptophan Metabolism","X19O2NoCyA - X1O2NoCyA",0.0187976574212472,0.000332937285438734
"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",9,"IL4I1, GOT1, GOT2",4.75430303866795,9,4.76505892326272,0.00298651751383302,-0.0107558845947713,0.995038495183538,0.999233677344947,NA,NA,NA,"Transcriptomics","Phenylalanine, Tyrosine And Tryptophan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.00216011732221829,0.000332937285438734
"Beta-Alanine Metabolism",69,"ACADS, HIBCH, MLYCD, AOC3, DPYD, CNDP2, ALDH6A1, ABAT, CARNS1, SMOX, HADHA, EHHADH, ECHS1, ALDH7A1, ALDH9A1, CSAD, AOC2, ALDH2, ALDH3A2, ALDH3B1, ALDH3B2, ACOX1, ACOX3",2.85069860835577,69,2.83400690526504,-0.00806459325725804,0.0166917030907263,0.962099809331367,0.999233677344947,NA,NA,NA,"Transcriptomics","Beta-Alanine Metabolism","X19O2NoCyA - X1O2NoCyA",0.0167798714202304,0.000332937285438734
"Taurine And Hypotaurine Metabolism",30,"ADO, BAAT, CSAD, FMO1, FMO2, FMO3, FMO4, FMO5, GGT1, GGT7",1.58235582537794,30,1.51817639398166,-0.0405574747207838,0.0641794313962798,0.87385601220467,0.999233677344947,NA,NA,NA,"Transcriptomics","Taurine And Hypotaurine Metabolism","X19O2NoCyA - X1O2NoCyA",0.0585601214349004,0.000332937285438734
"Phosphonate And Phosphinate Metabolism",15,"PCYT2, EPT1, CEPT1, CHPT1, PCYT1A",5.56975221441895,15,5.56428020956614,-0.00521790116518948,0.00547200485280364,0.988825758354367,0.999233677344947,NA,NA,NA,"Transcriptomics","Phosphonate And Phosphinate Metabolism","X19O2NoCyA - X1O2NoCyA",0.0048802289811297,0.000332937285438734
"Selenocompound Metabolism",33,"MARS, PSTK, SEPSECS, CTH, SCLY, MTR, TXNRD2, TXNRD1, SEPHS2, SEPHS1, MARS2",5.24120533028152,33,5.19652450238108,-0.0189379792770894,0.044680827900434,0.938620914375233,0.999233677344947,NA,NA,NA,"Transcriptomics","Selenocompound Metabolism","X19O2NoCyA - X1O2NoCyA",0.0275097730549522,0.000332937285438734
"D-Amino Acid Metabolism",3,"SRR",0.912606507612163,3,1.04506588528238,0.871760424749126,-0.13245937767022,0.288831027030598,0.999233677344947,NA,NA,NA,"Transcriptomics","D-Amino Acid Metabolism","X19O2NoCyA - X1O2NoCyA",0.53935615547775,0.000332937285438734
"Glutathione Metabolism",108,"GPX4, TXNDC12, G6PD, IDH1, GSR, PGD, SMS, PEPD, LAP3, GSS, GGCT, ODC1, SRM, PRDX6, GCLC, GCLM, GSTK1, LANCL1, RRM1, RRM2, GGT1, GGT7, GPX1, GPX2, GPX3, GPX7, GSTO2, GSTA4, GSTM4, GSTP1, MGST1, MGST2, MGST3, GSTO1, CHAC2, CHAC1",4.82671016978924,108,4.82874144571166,0.000710859941167872,-0.00203127592241881,0.995824377341986,0.999233677344947,NA,NA,NA,"Transcriptomics","Glutathione Metabolism","X19O2NoCyA - X1O2NoCyA",0.00181724659286993,0.000332937285438734
"Starch And Sucrose Metabolism",75,"PGM2L1, UGP2, G6PC, GPI, GBE1, GAA, GANC, GYG1, PGM2, AGL, HK1, HK2, ENPP1, GYS1, GYS2, PGM1, G6PC3, AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, PYGB, PYGL, PYGM",3.6184497787938,75,3.65375374996071,0.0110482368630701,-0.0353039711669085,0.945156540447085,0.999233677344947,NA,NA,NA,"Transcriptomics","Starch And Sucrose Metabolism","X19O2NoCyA - X1O2NoCyA",0.0244962560176009,0.000332937285438734
"N-Glycan Biosynthesis",147,"ALG14, DPM3, DPM2, ALG6, ALG12, ALG9, ALG3, DOLPP1, FUT8, MGAT4C, MGAT3, MGAT2, GANAB, MOGS, ALG11, ALG5, ALG2, ALG1, ALG13, DPM1, DOLK, ALG10, ALG8, OST4, MGAT1, SRD5A3, MAN1B1, DPAGT1, MGAT5, MGAT5B, B4GALT1, B4GALT2, B4GALT3, ST6GAL1, WBP1, MAN2A2, MAN2A1, MGAT4B, MGAT4A, STT3B, STT3A, ALG10B, MAN1A2, MAN1A1, MAN1C1, DAD1, DDOST, RPN1, RPN2",4.76850384887469,147,4.77445742787058,0.00257951222747621,-0.00595357899588578,0.982447702158884,0.999233677344947,NA,NA,NA,"Transcriptomics","N-Glycan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.00769055878289071,0.000332937285438734
"Mucin Type O-Glycan Biosynthesis",57,"GCNT1, B4GALT5, ST3GAL1, ST3GAL2, C1GALT1, ST6GALNAC3, ST6GALNAC4, POC1B, GALNT6, GALNT15, GALNT1, GALNT2, GALNT8, GALNT18, GALNT7, GALNT10, GALNT11, GALNT12, C1GALT1C1",4.08805003782123,57,4.10056420617439,0.0055121371705353,-0.0125141683531522,0.976385420885137,0.999233677344947,NA,NA,NA,"Transcriptomics","Mucin Type O-Glycan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0103787139705463,0.000332937285438734
"Various Types Of N-Glycan Biosynthesis",63,"ALG11, ALG9, ALG3, ALG12, ALG2, ALG1, MGAT1, MGAT2, FUT8, ST3GAL3, MAN1B1, B4GALNT3, B4GALT1, B4GALT2, B4GALT3, GALT, MAN1A2, MAN1A1, MAN1C1, MAN2A2, MAN2A1",4.05335850742591,63,4.01845312930959,-0.0163152820111207,0.0349053781163269,0.927238700285673,0.999233677344947,NA,NA,NA,"Transcriptomics","Various Types Of N-Glycan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0328084504592941,0.000332937285438734
"Other Types Of O-Glycan Biosynthesis",12,"PLOD3, XXYLT1, POGLUT1, B3GLCT",3.76485604753666,12,3.725954493527,-0.0487865916068281,0.0389015540096556,0.906642330237708,0.999233677344947,NA,NA,NA,"Transcriptomics","Other Types Of O-Glycan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0425640080222162,0.000332937285438734
"Mannose Type O-Glycan Biosynthesis",54,"POMGNT1, ST3GAL3, CHST10, MGAT5B, B3GALNT2, LARGE, B4GAT1, FKTN, FKRP, TMEM5, POMK, B4GALT1, B4GALT2, B4GALT3, B3GAT2, FUT4, POMT1, POMT2",3.45668107857335,54,3.38876639870507,-0.0357069581324661,0.067914679868283,0.852680282544678,0.999233677344947,NA,NA,NA,"Transcriptomics","Mannose Type O-Glycan Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0692137795651351,0.000332937285438734
"Amino Sugar And Nucleotide Sugar Metabolism",120,"NAGK, PGM3, NANS, NANP, NAGA, GNPNAT1, RENBP, GALT, UGDH, UXS1, TSTA3, UGP2, GALK2, GNE, AMDHD2, NPL, CMAS, GALE, MPI, GALK1, FPGT, GMDS, GPI, UAP1, PGM2, FUK, UAP1L1, GNPDA1, GNPDA2, GFPT1, HEXA, HEXB, CHIT1, HK1, HK2, PMM1, PMM2, PGM1, GMPPB, GMPPA",4.64999768043339,120,4.68107612487431,0.016290466955558,-0.0310784444409204,0.89771670306572,0.999233677344947,NA,NA,NA,"Transcriptomics","Amino Sugar And Nucleotide Sugar Metabolism","X19O2NoCyA - X1O2NoCyA",0.0468606941862912,0.000332937285438734
"Neomycin, Kanamycin And Gentamicin Biosynthesis",9,"BTRC, HK1, HK2",6.44649273305635,9,6.7264468893662,0.207303268942082,-0.279954156309854,0.633592509464462,0.999233677344947,NA,NA,NA,"Transcriptomics","Neomycin, Kanamycin And Gentamicin Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.19818996575802,0.000332937285438734
"Glycosaminoglycan Degradation",45,"SGSH, HPSE, GNS, IDS, GALNS, IDUA, ARSB, GLB1, HGSNAT, NAGLU, GUSB, HYAL3, HYAL2, HEXA, HEXB",3.64680604478851,45,3.59502234360533,-0.0303056572911007,0.0517837011831759,0.88356918730651,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycosaminoglycan Degradation","X19O2NoCyA - X1O2NoCyA",0.053759437680734,0.000332937285438734
"Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate",39,"B3GAT3, B4GALT7, B3GALT6, CHST15, DSE, CHST12, CHST14, CHPF, CHPF2, XYLT1, XYLT2, CHSY1, CSGALNACT2",4.54573591788155,39,4.49337152019946,-0.0388332081523591,0.0523643976820969,0.864118246663819,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate","X19O2NoCyA - X1O2NoCyA",0.0634268242343172,0.000332937285438734
"Glycosaminoglycan Biosynthesis - Keratan Sulfate",15,"B3GNT2, ST3GAL3, B4GALT4, B3GNT7, FUT8",3.53497717331387,15,3.37182226611304,-0.0712270312620709,0.163154907200828,0.843407693391587,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycosaminoglycan Biosynthesis - Keratan Sulfate","X19O2NoCyA - X1O2NoCyA",0.0739624417581078,0.000332937285438734
"Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin",18,"HS6ST1, GLCE, B4GALT7, HS2ST1, B3GALT6, B3GAT3",5.09106657794495,18,5.13106938143112,0.036812956637887,-0.0400028034861721,0.911319851130662,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin","X19O2NoCyA - X1O2NoCyA",0.040329169458088,0.000332937285438734
