Pathway name,Uniquegenes,Uniquemetabol.,Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Proteomics,Proteomics(FDR BH),Combined pValue(Fisher),Combined pValue(Fisher)[FDR BH]
Fc gamma R-mediated phagocytosis,77,,0.36510186,1,0.967188463,1,0.36510186,1,0.720701725,0.999484377
DNA replication,36,,0.353568323,1,0.999650107,1,0.353568323,1,0.721037078,0.999484377
Leishmaniasis,58,,0.990528445,1,0.357430877,1,0.990528445,1,0.721661458,0.999484377
Gastric acid secretion,43,,0.882827173,1,0.403545395,1,0.882827173,1,0.723954846,0.999484377
Cardiac muscle contraction,46,,0.364420741,1,0.97969749,1,0.364420741,1,0.724739708,0.999484377
mTOR signaling pathway,130,,0.970676177,1,0.368106505,1,0.970676177,1,0.725038411,0.999484377
Dilated cardiomyopathy,47,,0.845636241,1,0.423329741,1,0.845636241,1,0.725728087,0.999484377
Drug metabolism - other enzymes,39,,0.985472033,1,0.364302616,1,0.985472033,1,0.726781693,0.999484377
Focal adhesion,129,,0.44292143,1,0.814347037,1,0.44292143,1,0.728500516,0.999484377
2-Oxocarboxylic acid metabolism,16,,0.442139278,1,0.834087938,1,0.442139278,1,0.736661371,0.999484377
Prolactin signaling pathway,49,,0.370054577,1,0.997030217,1,0.370054577,1,0.736833464,0.999484377
Glycerolipid metabolism,41,,0.961009929,1,0.385603449,1,0.961009929,1,0.738438379,0.999484377
Renin-angiotensin system,10,,0.38954824,1,0.96224718,1,0.38954824,1,0.742655667,0.999484377
Primary immunodeficiency,27,,0.577276131,1,0.662333123,1,0.577276131,1,0.749947639,0.999484377
Collecting duct acid secretion,18,,0.648895422,1,0.59394857,1,0.648895422,1,0.752878715,0.999484377
Carbon metabolism,97,,0.386277629,1,0.999730363,1,0.386277629,1,0.753605407,0.999484377
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,24,,0.979743282,1,0.396097657,1,0.979743282,1,0.755409046,0.999484377
Maturity onset diabetes of the young,9,,0.817373027,1,0.480629598,1,0.817373027,1,0.759903955,0.999484377
Peroxisome,67,,0.478225381,1,0.829124806,1,0.478225381,1,0.763301805,0.999484377
cGMP-PKG signaling pathway,103,,0.52353396,1,0.758425882,1,0.52353396,1,0.763813142,0.999484377
Fat digestion and absorption,20,,0.892696167,1,0.445129647,1,0.892696167,1,0.764093657,0.999484377
Staphylococcus aureus infection,34,,0.442139278,1,0.901498936,1,0.442139278,1,0.765220076,0.999484377
Biosynthesis of amino acids,65,,0.728941417,1,0.552140037,1,0.728941417,1,0.768778965,0.999484377
Ether lipid metabolism,26,,0.7077777,1,0.571896483,1,0.7077777,1,0.770863715,0.999484377
Hepatitis B,133,,0.93802075,1,0.431901543,1,0.93802075,1,0.771186466,0.999484377
Aldosterone-regulated sodium reabsorption,26,,0.911446177,1,0.445171506,1,0.911446177,1,0.771743713,0.999484377
Asthma,19,,0.458001193,1,0.893199621,1,0.458001193,1,0.774739729,0.999484377
Mismatch repair,23,,0.418512299,1,0.980185212,1,0.418512299,1,0.775750936,0.999484377
Non-alcoholic fatty liver disease,129,,0.926033889,1,0.44368883,1,0.926033889,1,0.776330791,0.999484377
Long-term potentiation,49,,0.727870617,1,0.571108239,1,0.727870617,1,0.780591672,0.999484377
Base excision repair,33,,0.418512299,1,0.998933352,1,0.418512299,1,0.78266794,0.999484377
Inflammatory bowel disease,40,,0.911446177,1,0.46421515,1,0.911446177,1,0.787034205,0.999484377
Endocrine resistance,81,,0.432852274,1,0.987718293,1,0.432852274,1,0.790820607,0.999484377
Bladder cancer,33,,0.442139278,1,0.973279473,1,0.442139278,1,0.793181368,0.999484377
Chemical carcinogenesis - DNA adducts,16,,0.906671113,1,0.475768562,1,0.906671113,1,0.7940575,0.999484377
Bacterial invasion of epithelial cells,61,,0.441388281,1,0.979864339,1,0.441388281,1,0.795010335,0.999484377
Nucleotide excision repair,46,,0.432852274,1,0.999709024,1,0.432852274,1,0.795199441,0.999484377
Hepatitis C,114,,0.511316411,1,0.846873731,1,0.511316411,1,0.795445705,0.999484377
Vascular smooth muscle contraction,76,,0.785801418,1,0.555526301,1,0.785801418,1,0.798371702,0.999484377
Ferroptosis,33,,0.470007825,1,0.931455384,1,0.470007825,1,0.799412606,0.999484377
Glyoxylate and dicarboxylate metabolism,22,,0.486768229,1,0.900871045,1,0.486768229,1,0.80001011,0.999484377
GnRH secretion,39,,0.810518202,1,0.544746094,1,0.810518202,1,0.802482127,0.999484377
Steroid biosynthesis,19,,0.442139278,1,0.999267328,1,0.442139278,1,0.802718058,0.999484377
Synthesis and degradation of ketone bodies,7,,0.7077777,1,0.624857099,1,0.7077777,1,0.803081,0.999484377
Kaposi sarcoma-associated herpesvirus infection,148,,0.58037198,1,0.762806087,1,0.58037198,1,0.803449014,0.999484377
Gap junction,56,,0.489125076,1,0.910342373,1,0.489125076,1,0.805527613,0.999484377
Metabolism of xenobiotics by cytochrome P450,26,,0.85247884,1,0.522672812,1,0.85247884,1,0.805767186,0.999484377
Hematopoietic cell lineage,49,,0.486768229,1,0.916468162,1,0.486768229,1,0.806203456,0.999484377
Fructose and mannose metabolism,29,,0.607329226,1,0.740058605,1,0.607329226,1,0.808896321,0.999484377
Complement and coagulation cascades,32,,0.458001193,1,0.986736625,1,0.458001193,1,0.810862712,0.999484377
Measles,109,,0.84905896,1,0.535405388,1,0.84905896,1,0.812970869,0.999484377
Non-small cell lung cancer,61,,0.545748925,1,0.845057482,1,0.545748925,1,0.818125165,0.999484377
Oxidative phosphorylation,108,,0.463262327,1,0.999902356,1,0.463262327,1,0.819690185,0.999484377
Estrogen signaling pathway,82,,0.490401932,1,0.947236622,1,0.490401932,1,0.820696133,0.999484377
Pancreatic cancer,68,,0.554173831,1,0.845558486,1,0.554173831,1,0.823791176,0.999484377
Pentose and glucuronate interconversions,13,,0.931359988,1,0.512826376,1,0.931359988,1,0.830556857,0.999484377
Pathways in cancer,351,,0.657689452,1,0.730735339,1,0.657689452,1,0.832742957,0.999484377
EGFR tyrosine kinase inhibitor resistance,57,,0.503839485,1,0.957677108,1,0.503839485,1,0.834144953,0.999484377
Hedgehog signaling pathway,39,,0.885845677,1,0.544746094,1,0.885845677,1,0.83417806,0.999484377
Relaxin signaling pathway,87,,0.530056377,1,0.911689837,1,0.530056377,1,0.834677453,0.999484377
AGE-RAGE signaling pathway in diabetic complications,70,,0.668828242,1,0.727617112,1,0.668828242,1,0.837140875,0.999484377
Rap1 signaling pathway,137,,0.828801613,1,0.606850109,1,0.828801613,1,0.848615427,0.999484377
Protein digestion and absorption,34,,0.845787182,1,0.598591498,1,0.845787182,1,0.850887972,0.999484377
Drug metabolism - cytochrome P450,21,,0.793017734,1,0.647098186,1,0.793017734,1,0.855523946,0.999484377
Amphetamine addiction,42,,0.555809179,1,0.947722311,1,0.555809179,1,0.864413914,0.999484377
Viral myocarditis,51,,0.752341121,1,0.701229252,1,0.752341121,1,0.864933059,0.999484377
Necroptosis,120,,0.597569865,1,0.882854541,1,0.597569865,1,0.864935405,0.999484377
Phosphonate and phosphinate metabolism,5,,0.528667875,1,1,1,0.528667875,1,0.865638072,0.999484377
PI3K-Akt signaling pathway,209,,0.566266581,1,0.936895969,1,0.566266581,1,0.866823529,0.999484377
Ubiquitin mediated proteolysis,131,,0.537238864,1,0.992796445,1,0.537238864,1,0.8686136,0.999484377
Hippo signaling pathway,114,,0.582230548,1,0.927763944,1,0.582230548,1,0.872846786,0.999484377
Choline metabolism in cancer,71,,0.823508981,1,0.683918191,1,0.823508981,1,0.886551984,0.999484377
Inositol phosphate metabolism,65,,0.610522844,1,0.926671524,1,0.610522844,1,0.888005249,0.999484377
Starch and sucrose metabolism,23,,0.672003482,1,0.842439451,1,0.672003482,1,0.888214803,0.999484377
HIF-1 signaling pathway,85,,0.587634011,1,0.965860015,1,0.587634011,1,0.889037891,0.999484377
Viral carcinogenesis,177,,0.581136942,1,0.992754837,1,0.581136942,1,0.89425939,0.999484377
Regulation of lipolysis in adipocytes,30,,0.672003482,1,0.860914874,1,0.672003482,1,0.895143413,0.999484377
"Valine, leucine and isoleucine biosynthesis",3,,0.925619864,1,0.625516998,1,0.925619864,1,0.895391231,0.999484377
Mineral absorption,31,,0.620957016,1,0.938720895,1,0.620957016,1,0.897517107,0.999484377
