Pathway,P-value,Contrast,-log10Pvalue,Pathway Name
hsa04929,3.686335573633275e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.433405132724211,GnRH secretion
hsa04136,2.4179267591563464e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.61655685838674,Autophagy - other
hsa04660,3.181892448706233e-10,"1% O2, CyA+ vs 1% O2, CyA-",9.49731450404921,T cell receptor signaling pathway
hsa00310,0.0025888770355144246,"1% O2, CyA+ vs 1% O2, CyA-",2.5868885768597507,Lysine degradation
hsa04070,0.3345445614381858,"1% O2, CyA+ vs 1% O2, CyA-",0.47554602588493544,Phosphatidylinositol signaling system
hsa04726,0.004308806371004007,"1% O2, CyA+ vs 1% O2, CyA-",2.365643021783976,Serotonergic synapse
hsa05332,0.5381079781210834,"1% O2, CyA+ vs 1% O2, CyA-",0.2691305689490888,Graft-versus-host disease
hsa04916,0.0020320733442659414,"1% O2, CyA+ vs 1% O2, CyA-",2.692060620977129,Melanogenesis
hsa05169,0.15910719251643535,"1% O2, CyA+ vs 1% O2, CyA-",0.7983101874207076,Epstein-Barr virus infection
hsa00900,0.0219678360971013,"1% O2, CyA+ vs 1% O2, CyA-",1.6582127203836319,Terpenoid backbone biosynthesis
hsa00591,0.5174490464009375,"1% O2, CyA+ vs 1% O2, CyA-",0.2861324090718047,Linoleic acid metabolism
hsa04024,0.02828129197819396,"1% O2, CyA+ vs 1% O2, CyA-",1.5485007544867435,cAMP signaling pathway
hsa04068,1.4740314149864497e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.831493260567959,FoxO signaling pathway
hsa00520,0.30444959782124853,"1% O2, CyA+ vs 1% O2, CyA-",0.5164845953132782,Amino sugar and nucleotide sugar metabolism
hsa00860,0.4696394878161954,"1% O2, CyA+ vs 1% O2, CyA-",0.3282353942568475,Porphyrin metabolism
hsa04922,8.243130502770395e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.083907824481857,Glucagon signaling pathway
hsa04926,0.04088676387473853,"1% O2, CyA+ vs 1% O2, CyA-",1.3884172618340527,Relaxin signaling pathway
hsa04370,5.5573776492646194e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.25513008991267,VEGF signaling pathway
hsa05213,2.1585060980975547e-20,"1% O2, CyA+ vs 1% O2, CyA-",19.66584672006012,Endometrial cancer
hsa04520,2.048603207150517e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.6885421517172405,Adherens junction
hsa05110,0.00557304716607664,"1% O2, CyA+ vs 1% O2, CyA-",2.2539072813866246,Vibrio cholerae infection
hsa05220,0.011072269780088654,"1% O2, CyA+ vs 1% O2, CyA-",1.9557633410072195,Chronic myeloid leukemia
hsa05235,2.2834539747136963e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.641407737606055,PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05207,0.0003178093805519082,"1% O2, CyA+ vs 1% O2, CyA-",3.4978332881802228,Chemical carcinogenesis - receptor activation
hsa05418,0.1856970944519064,"1% O2, CyA+ vs 1% O2, CyA-",0.7311948914857226,Fluid shear stress and atherosclerosis
hsa00920,0.5260781268898181,"1% O2, CyA+ vs 1% O2, CyA-",0.27894975478625134,Sulfur metabolism
hsa04931,0.0001075755016580555,"1% O2, CyA+ vs 1% O2, CyA-",3.9682866199903075,Insulin resistance
hsa00500,0.029594369270626624,"1% O2, CyA+ vs 1% O2, CyA-",1.528790911485518,Starch and sucrose metabolism
hsa05216,0.413889761373307,"1% O2, CyA+ vs 1% O2, CyA-",0.38311531685624256,Thyroid cancer
hsa00740,0.41657731639088375,"1% O2, CyA+ vs 1% O2, CyA-",0.3803043820946554,Riboflavin metabolism
hsa00062,0.23814831682609044,"1% O2, CyA+ vs 1% O2, CyA-",0.623152483628453,Fatty acid elongation
hsa04390,0.017639580776440393,"1% O2, CyA+ vs 1% O2, CyA-",1.7535117405557923,Hippo signaling pathway
hsa04064,0.20049933852484364,"1% O2, CyA+ vs 1% O2, CyA-",0.6978870558392313,NF-kappa B signaling pathway
hsa04932,0.2615897829856664,"1% O2, CyA+ vs 1% O2, CyA-",0.5823792224257447,Non-alcoholic fatty liver disease
hsa05222,0.04071515865501503,"1% O2, CyA+ vs 1% O2, CyA-",1.3902438685498053,Small cell lung cancer
hsa05320,0.5558259805555025,"1% O2, CyA+ vs 1% O2, CyA-",0.25506115718407685,Autoimmune thyroid disease
hsa04115,0.04790357855566249,"1% O2, CyA+ vs 1% O2, CyA-",1.3196320421402175,p53 signaling pathway
hsa04710,0.16026983018373403,"1% O2, CyA+ vs 1% O2, CyA-",0.7951482232346745,Circadian rhythm
hsa05206,0.0006646172961268614,"1% O2, CyA+ vs 1% O2, CyA-",3.177428360748082,MicroRNAs in cancer
hsa05032,0.471311616823057,"1% O2, CyA+ vs 1% O2, CyA-",0.3266918556785678,Morphine addiction
hsa00620,0.33322384337416006,"1% O2, CyA+ vs 1% O2, CyA-",0.4772639308086225,Pyruvate metabolism
hsa05132,0.19713626798764194,"1% O2, CyA+ vs 1% O2, CyA-",0.7052334693891202,Salmonella infection
hsa04658,0.14171855613862794,"1% O2, CyA+ vs 1% O2, CyA-",0.8485732810087787,Th1 and Th2 cell differentiation
hsa05014,0.035159077301835234,"1% O2, CyA+ vs 1% O2, CyA-",1.453962530867309,Amyotrophic lateral sclerosis
hsa04933,0.4763792521258946,"1% O2, CyA+ vs 1% O2, CyA-",0.3220471617221207,AGE-RAGE signaling pathway in diabetic complications
hsa00531,0.4853475249610821,"1% O2, CyA+ vs 1% O2, CyA-",0.3139471807271679,Glycosaminoglycan degradation
hsa04714,0.06837987895044206,"1% O2, CyA+ vs 1% O2, CyA-",1.1650716723490406,Thermogenesis
hsa00592,0.4666651621754954,"1% O2, CyA+ vs 1% O2, CyA-",0.3309946191698537,alpha-Linolenic acid metabolism
hsa05170,8.33508060748401e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.079090195810034,Human immunodeficiency virus 1 infection
hsa05160,3.1266570430220646e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.504919753068374,Hepatitis C
hsa04392,0.05820927358110588,"1% O2, CyA+ vs 1% O2, CyA-",1.2350078204314183,Hippo signaling pathway - multiple species
hsa04666,0.000594620534669522,"1% O2, CyA+ vs 1% O2, CyA-",3.2257600969143465,Fc gamma R-mediated phagocytosis
hsa04920,0.062307326998712165,"1% O2, CyA+ vs 1% O2, CyA-",1.2054608796970903,Adipocytokine signaling pathway
hsa04940,0.5511772685875033,"1% O2, CyA+ vs 1% O2, CyA-",0.2587087017146929,Type I diabetes mellitus
hsa04672,0.07649227893663749,"1% O2, CyA+ vs 1% O2, CyA-",1.1163823999371323,Intestinal immune network for IgA production
hsa00780,0.5233070802330998,"1% O2, CyA+ vs 1% O2, CyA-",0.28124338930894105,Biotin metabolism
hsa00590,0.3119270556507808,"1% O2, CyA+ vs 1% O2, CyA-",0.5059469541616187,Arachidonic acid metabolism
hsa05161,0.01999023716004142,"1% O2, CyA+ vs 1% O2, CyA-",1.6991820534713606,Hepatitis B
hsa04540,1.972870689464998e-42,"1% O2, CyA+ vs 1% O2, CyA-",41.70490137936626,Gap junction
hsa04913,0.15801059892114627,"1% O2, CyA+ vs 1% O2, CyA-",0.8013137807760561,Ovarian steroidogenesis
hsa05212,0.26553751820572985,"1% O2, CyA+ vs 1% O2, CyA-",0.5758741081095686,Pancreatic cancer
hsa05211,2.6312952103131113e-271,"1% O2, CyA+ vs 1% O2, CyA-",270.5798304248076,Renal cell carcinoma
hsa04371,0.0009988329404875612,"1% O2, CyA+ vs 1% O2, CyA-",3.000507143497222,Apelin signaling pathway
hsa05164,0.05738064595429894,"1% O2, CyA+ vs 1% O2, CyA-",1.2412345670553646,Influenza A
hsa04146,0.06876590463731942,"1% O2, CyA+ vs 1% O2, CyA-",1.162626839353989,Peroxisome
hsa04122,3.8868354987206715e-19,"1% O2, CyA+ vs 1% O2, CyA-",18.410403839484417,Sulfur relay system
hsa05167,0.28289677712765615,"1% O2, CyA+ vs 1% O2, CyA-",0.5483720001699007,Kaposi sarcoma-associated herpesvirus infection
hsa00562,0.4292124413469064,"1% O2, CyA+ vs 1% O2, CyA-",0.36732769786638897,Inositol phosphate metabolism
hsa04935,0.0004937473539588196,"1% O2, CyA+ vs 1% O2, CyA-",3.3064952187865724,"Growth hormone synthesis, secretion and action"
hsa00240,0.2901626038521912,"1% O2, CyA+ vs 1% O2, CyA-",0.5373585601517592,Pyrimidine metabolism
hsa05200,0.24168128708358494,"1% O2, CyA+ vs 1% O2, CyA-",0.6167569748755809,Pathways in cancer
hsa00480,0.38234020172695093,"1% O2, CyA+ vs 1% O2, CyA-",0.4175500350433601,Glutathione metabolism
hsa04150,8.145665664704631e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.089073419311853,mTOR signaling pathway
hsa05034,5.02842406849888e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.298568103531258,Alcoholism
hsa04750,0.17651176013580466,"1% O2, CyA+ vs 1% O2, CyA-",0.7532263543444699,Inflammatory mediator regulation of TRP channels
hsa04137,0.07429580805555139,"1% O2, CyA+ vs 1% O2, CyA-",1.129035689465549,Mitophagy - animal
hsa05203,0.0003581046540180355,"1% O2, CyA+ vs 1% O2, CyA-",3.4459900347512433,Viral carcinogenesis
hsa03320,0.4660456277265671,"1% O2, CyA+ vs 1% O2, CyA-",0.3315715620657684,PPAR signaling pathway
hsa00564,0.4832063256372802,"1% O2, CyA+ vs 1% O2, CyA-",0.3158673890156838,Glycerophospholipid metabolism
hsa04961,0.4672467893390154,"1% O2, CyA+ vs 1% O2, CyA-",0.3304536741698677,Endocrine and other factor-regulated calcium reabsorption
hsa00220,0.5059067829673317,"1% O2, CyA+ vs 1% O2, CyA-",0.29592949773012606,Arginine biosynthesis
hsa05168,5.491190672112847e-30,"1% O2, CyA+ vs 1% O2, CyA-",29.26033347590294,Herpes simplex virus 1 infection
hsa04061,0.002839531808320103,"1% O2, CyA+ vs 1% O2, CyA-",2.5467532620041085,Viral protein interaction with cytokine and cytokine receptor
hsa05412,0.3627228937834677,"1% O2, CyA+ vs 1% O2, CyA-",0.4404250324260418,Arrhythmogenic right ventricular cardiomyopathy
hsa04924,0.004161211829576376,"1% O2, CyA+ vs 1% O2, CyA-",2.3807801755614117,Renin secretion
hsa05143,0.4686864347128585,"1% O2, CyA+ vs 1% O2, CyA-",0.32911761617171886,African trypanosomiasis
hsa04960,0.02724861360529999,"1% O2, CyA+ vs 1% O2, CyA-",1.564655589493212,Aldosterone-regulated sodium reabsorption
hsa05162,0.3617704617278483,"1% O2, CyA+ vs 1% O2, CyA-",0.44156689582970643,Measles
hsa00730,0.4330461799901159,"1% O2, CyA+ vs 1% O2, CyA-",0.36346578806817215,Thiamine metabolism
hsa05030,0.25185260526760467,"1% O2, CyA+ vs 1% O2, CyA-",0.5988535522611342,Cocaine addiction
hsa00750,0.3890439030413022,"1% O2, CyA+ vs 1% O2, CyA-",0.4100013864051336,Vitamin B6 metabolism
hsa04623,0.22315895939872893,"1% O2, CyA+ vs 1% O2, CyA-",0.6513856723936077,Cytosolic DNA-sensing pathway
hsa00650,0.3929682343262966,"1% O2, CyA+ vs 1% O2, CyA-",0.40564255449575853,Butanoate metabolism
hsa05010,0.040749785462232284,"1% O2, CyA+ vs 1% O2, CyA-",1.3898746733734266,Alzheimer disease
hsa05031,0.18908370343518788,"1% O2, CyA+ vs 1% O2, CyA-",0.7233459000981537,Amphetamine addiction
hsa00071,0.09917849929615452,"1% O2, CyA+ vs 1% O2, CyA-",1.0035824674537608,Fatty acid degradation
hsa00561,0.3970360208577819,"1% O2, CyA+ vs 1% O2, CyA-",0.40117009033986795,Glycerolipid metabolism
hsa04614,0.04081064322871159,"1% O2, CyA+ vs 1% O2, CyA-",1.3892265601280138,Renin-angiotensin system
hsa04971,0.0001760869228898211,"1% O2, CyA+ vs 1% O2, CyA-",3.754272895751475,Gastric acid secretion
hsa04215,0.04322321167297528,"1% O2, CyA+ vs 1% O2, CyA-",1.3642829662813463,Apoptosis - multiple species
hsa04080,0.3638063561097089,"1% O2, CyA+ vs 1% O2, CyA-",0.43912971758903074,Neuroactive ligand-receptor interaction
hsa05231,0.08659000573839482,"1% O2, CyA+ vs 1% O2, CyA-",1.0625322315755494,Choline metabolism in cancer
hsa05166,5.556053457958544e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.255233584319462,Human T-cell leukemia virus 1 infection
hsa00790,0.17830337817237374,"1% O2, CyA+ vs 1% O2, CyA-",0.7488404285143675,Folate biosynthesis
hsa00983,0.23804548695124877,"1% O2, CyA+ vs 1% O2, CyA-",0.6233400477990005,Drug metabolism - other enzymes
hsa04721,0.20619392702333406,"1% O2, CyA+ vs 1% O2, CyA-",0.6857241300277427,Synaptic vesicle cycle
hsa04218,4.200363289208101e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.3767131458698945,Cellular senescence
hsa04530,0.20521876645965764,"1% O2, CyA+ vs 1% O2, CyA-",0.6877829271995385,Tight junction
hsa04340,0.048904728141061754,"1% O2, CyA+ vs 1% O2, CyA-",1.3106491509723452,Hedgehog signaling pathway
hsa04725,0.06767625162371387,"1% O2, CyA+ vs 1% O2, CyA-",1.16956370351836,Cholinergic synapse
hsa04740,0.5408352675017515,"1% O2, CyA+ vs 1% O2, CyA-",0.26693499609378435,Olfactory transduction
hsa04152,2.791283433955156e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.55419606191593,AMPK signaling pathway
hsa03460,1.0053920069123382e-64,"1% O2, CyA+ vs 1% O2, CyA-",63.9976645718309,Fanconi anemia pathway
hsa05214,0.0009260553645614839,"1% O2, CyA+ vs 1% O2, CyA-",3.0333630480861262,Glioma
hsa00440,0.5283503256356793,"1% O2, CyA+ vs 1% O2, CyA-",0.27707802057382863,Phosphonate and phosphinate metabolism
hsa04020,0.11709593391420631,"1% O2, CyA+ vs 1% O2, CyA-",0.931458185280176,Calcium signaling pathway
hsa04514,0.37317132933271946,"1% O2, CyA+ vs 1% O2, CyA-",0.42809173038883774,Cell adhesion molecules
hsa04613,0.09810771961613574,"1% O2, CyA+ vs 1% O2, CyA-",1.0082968187690078,Neutrophil extracellular trap formation
hsa00250,0.4421441197291629,"1% O2, CyA+ vs 1% O2, CyA-",0.3544361464854615,"Alanine, aspartate and glutamate metabolism"
hsa04217,0.11886427070194533,"1% O2, CyA+ vs 1% O2, CyA-",0.9249486699303369,Necroptosis
hsa04934,1.0134167733178735e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.994211911867816,Cushing syndrome
hsa05140,0.05921882634145493,"1% O2, CyA+ vs 1% O2, CyA-",1.2275402041483532,Leishmaniasis
hsa04919,3.66338588570582e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.436117332166505,Thyroid hormone signaling pathway
hsa04550,0.23952530376528064,"1% O2, CyA+ vs 1% O2, CyA-",0.6206486003907495,Signaling pathways regulating pluripotency of stem cells
hsa00061,0.02876459144030356,"1% O2, CyA+ vs 1% O2, CyA-",1.5411417901238562,Fatty acid biosynthesis
hsa00532,0.4329388016863861,"1% O2, CyA+ vs 1% O2, CyA-",0.3635734892547094,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
hsa04742,0.3004111356293837,"1% O2, CyA+ vs 1% O2, CyA-",0.5222839729569512,Taste transduction
hsa04261,0.09765482272124992,"1% O2, CyA+ vs 1% O2, CyA-",1.0103063040452782,Adrenergic signaling in cardiomyocytes
hsa04910,3.616906290113529e-12,"1% O2, CyA+ vs 1% O2, CyA-",11.441662743163679,Insulin signaling pathway
hsa04015,0.0023222958289988186,"1% O2, CyA+ vs 1% O2, CyA-",2.63408245784537,Rap1 signaling pathway
hsa05208,1.6351735733276229e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.786436140289712,Chemical carcinogenesis - reactive oxygen species
hsa04914,1.7531828989856404e-70,"1% O2, CyA+ vs 1% O2, CyA-",69.75617277422181,Progesterone-mediated oocyte maturation
hsa04130,0.1474776727909785,"1% O2, CyA+ vs 1% O2, CyA-",0.8312737242121826,SNARE interactions in vesicular transport
hsa00640,0.13330579448052865,"1% O2, CyA+ vs 1% O2, CyA-",0.8751509724449182,Propanoate metabolism
hsa00450,0.4450429028859061,"1% O2, CyA+ vs 1% O2, CyA-",0.35159812028091936,Selenocompound metabolism
hsa04621,0.0018371049789553525,"1% O2, CyA+ vs 1% O2, CyA-",2.7358660257963368,NOD-like receptor signaling pathway
hsa05130,0.05641095597273606,"1% O2, CyA+ vs 1% O2, CyA-",1.2486365404063877,Pathogenic Escherichia coli infection
hsa04670,0.1569935298769018,"1% O2, CyA+ vs 1% O2, CyA-",0.8041182456586677,Leukocyte transendothelial migration
hsa04928,0.03002778311474353,"1% O2, CyA+ vs 1% O2, CyA-",1.5224767296249626,"Parathyroid hormone synthesis, secretion and action"
hsa00130,0.427186006941893,"1% O2, CyA+ vs 1% O2, CyA-",0.3693829816523738,Ubiquinone and other terpenoid-quinone biosynthesis
hsa05100,0.12504510394521162,"1% O2, CyA+ vs 1% O2, CyA-",0.9029333081014486,Bacterial invasion of epithelial cells
hsa05414,0.43920316920271185,"1% O2, CyA+ vs 1% O2, CyA-",0.35733453476405747,Dilated cardiomyopathy
hsa05321,0.44741484431241824,"1% O2, CyA+ vs 1% O2, CyA-",0.349289610994812,Inflammatory bowel disease
hsa00051,0.07136424073451127,"1% O2, CyA+ vs 1% O2, CyA-",1.146519350435813,Fructose and mannose metabolism
hsa05230,1.1365450901517478e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.94441332983286,Central carbon metabolism in cancer
hsa04727,0.3736654418334071,"1% O2, CyA+ vs 1% O2, CyA-",0.4275170656907848,GABAergic synapse
hsa04630,0.0019460484311984976,"1% O2, CyA+ vs 1% O2, CyA-",2.710846355670684,JAK-STAT signaling pathway
hsa00603,0.5641023047314666,"1% O2, CyA+ vs 1% O2, CyA-",0.24864212589043067,Glycosphingolipid biosynthesis - globo and isoglobo series
hsa00340,0.33786246626594496,"1% O2, CyA+ vs 1% O2, CyA-",0.471260052081239,Histidine metabolism
hsa04610,0.4796206221744671,"1% O2, CyA+ vs 1% O2, CyA-",0.31910215187837826,Complement and coagulation cascades
hsa05205,0.01981812855838915,"1% O2, CyA+ vs 1% O2, CyA-",1.7029373586871825,Proteoglycans in cancer
hsa04140,1.1916206407853105e-26,"1% O2, CyA+ vs 1% O2, CyA-",25.923861982713184,Autophagy - animal
hsa00010,0.39150014376549624,"1% O2, CyA+ vs 1% O2, CyA-",0.4072680741257051,Glycolysis / Gluconeogenesis
hsa04144,2.6214396031744546e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.58146014379051,Endocytosis
hsa01521,0.004359800965696048,"1% O2, CyA+ vs 1% O2, CyA-",2.3605333367573222,EGFR tyrosine kinase inhibitor resistance
hsa05415,0.054289540523506596,"1% O2, CyA+ vs 1% O2, CyA-",1.2652838339558523,Diabetic cardiomyopathy
hsa05133,2.1322762712440625e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.671156526050914,Pertussis
hsa04620,0.09111143927984039,"1% O2, CyA+ vs 1% O2, CyA-",1.0404270927940176,Toll-like receptor signaling pathway
hsa00980,0.3759883747619681,"1% O2, CyA+ vs 1% O2, CyA-",0.42482558287760275,Metabolism of xenobiotics by cytochrome P450
hsa01524,9.46097144192141e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.02406426843906,Platinum drug resistance
hsa00630,0.369610741647378,"1% O2, CyA+ vs 1% O2, CyA-",0.432255415778786,Glyoxylate and dicarboxylate metabolism
hsa05022,0.04686749827971031,"1% O2, CyA+ vs 1% O2, CyA-",1.3291282278818386,Pathways of neurodegeneration - multiple diseases
hsa05165,0.10850007452560073,"1% O2, CyA+ vs 1% O2, CyA-",0.9645699635108799,Human papillomavirus infection
hsa04330,1.925493191933291e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.715458012596187,Notch signaling pathway
hsa04927,0.006851663082090121,"1% O2, CyA+ vs 1% O2, CyA-",2.16420400081257,Cortisol synthesis and secretion
hsa01523,1.7845568562510723e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.748469610800084,Antifolate resistance
hsa05323,0.47975354771623496,"1% O2, CyA+ vs 1% O2, CyA-",0.3189818050283692,Rheumatoid arthritis
hsa00563,0.5205624100602436,"1% O2, CyA+ vs 1% O2, CyA-",0.2835271956059935,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
hsa04917,1.473899485094435e-15,"1% O2, CyA+ vs 1% O2, CyA-",14.831532132865908,Prolactin signaling pathway
hsa05135,5.229460139635347e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.281543142964282,Yersinia infection
hsa04612,0.001213392151622377,"1% O2, CyA+ vs 1% O2, CyA-",2.9159988184558547,Antigen processing and presentation
hsa00330,0.4938898729179278,"1% O2, CyA+ vs 1% O2, CyA-",0.30636987884139316,Arginine and proline metabolism
hsa05016,0.033649244265901004,"1% O2, CyA+ vs 1% O2, CyA-",1.4730246852240942,Huntington disease
hsa04141,2.5202955894341513e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.598548520594706,Protein processing in endoplasmic reticulum
hsa04979,0.2742486803471672,"1% O2, CyA+ vs 1% O2, CyA-",0.5618554535228855,Cholesterol metabolism
hsa00670,0.35909416732229527,"1% O2, CyA+ vs 1% O2, CyA-",0.44479164895444495,One carbon pool by folate
hsa00260,0.44257817702574465,"1% O2, CyA+ vs 1% O2, CyA-",0.35401000439646574,"Glycine, serine and threonine metabolism"
hsa04730,5.610695556394189e-31,"1% O2, CyA+ vs 1% O2, CyA-",30.25098329603815,Long-term depression
hsa04650,0.039328114392634984,"1% O2, CyA+ vs 1% O2, CyA-",1.405296875571053,Natural killer cell mediated cytotoxicity
hsa04720,1.517438502826187e-39,"1% O2, CyA+ vs 1% O2, CyA-",38.81888890053239,Long-term potentiation
hsa00360,0.5347690698645875,"1% O2, CyA+ vs 1% O2, CyA-",0.2718337195394315,Phenylalanine metabolism
hsa05020,4.0193699020351145e-16,"1% O2, CyA+ vs 1% O2, CyA-",15.395842023909896,Prion disease
hsa00760,0.35713092803075586,"1% O2, CyA+ vs 1% O2, CyA-",0.4471725376776542,Nicotinate and nicotinamide metabolism
hsa05210,0.010079503187158207,"1% O2, CyA+ vs 1% O2, CyA-",1.996560873485043,Colorectal cancer
hsa03018,0.05599402406712156,"1% O2, CyA+ vs 1% O2, CyA-",1.2518583203716602,RNA degradation
hsa00410,0.3728395795948416,"1% O2, CyA+ vs 1% O2, CyA-",0.4284779903973884,beta-Alanine metabolism
hsa00565,0.43564622320511487,"1% O2, CyA+ vs 1% O2, CyA-",0.36086604668967404,Ether lipid metabolism
hsa04350,0.2180045053108357,"1% O2, CyA+ vs 1% O2, CyA-",0.6615345311136656,TGF-beta signaling pathway
hsa05150,0.16428925017117785,"1% O2, CyA+ vs 1% O2, CyA-",0.7843908525361735,Staphylococcus aureus infection
hsa00120,0.5339556644061566,"1% O2, CyA+ vs 1% O2, CyA-",0.27249480196604586,Primary bile acid biosynthesis
hsa04810,0.00014098186590606314,"1% O2, CyA+ vs 1% O2, CyA-",3.850836745808544,Regulation of actin cytoskeleton
hsa05144,0.4648814814979504,"1% O2, CyA+ vs 1% O2, CyA-",0.3326577535446755,Malaria
hsa04072,0.06214610474845009,"1% O2, CyA+ vs 1% O2, CyA-",1.2065860872841094,Phospholipase D signaling pathway
hsa00910,1.8998276204847694e-41,"1% O2, CyA+ vs 1% O2, CyA-",40.721285802662166,Nitrogen metabolism
hsa00513,0.08249954529641323,"1% O2, CyA+ vs 1% O2, CyA-",1.0835484450961699,Various types of N-glycan biosynthesis
hsa05134,0.03825520913674648,"1% O2, CyA+ vs 1% O2, CyA-",1.41730941945648,Legionellosis
hsa04970,0.2557365332915711,"1% O2, CyA+ vs 1% O2, CyA-",0.5922072263201796,Salivary secretion
hsa05171,0.11571482421967288,"1% O2, CyA+ vs 1% O2, CyA-",0.9366110000422521,Coronavirus disease - COVID-19
