Pathway name,Uniquegenes,Uniquemetabol.,PRO-Seqdata,Proteomics,Geneexpression,Combined pValue(Fisher),
2-Oxocarboxylic acid metabolism,17,,-,0.073523811,0.767110835,0.218568759,
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,-,0.400919878,0.141151086,0.219112915,
Inflammatory bowel disease,41,,1,0.02227491,0.762401824,0.227237424,
AMPK signaling pathway,97,,0.905427399,0.96368101,0.020241388,0.232822637,
Melanogenesis,69,,0.085781702,0.28803075,0.746045496,0.239041643,
Thyroid hormone synthesis,50,,0.34662305,0.531781641,0.105606911,0.247167573,
Natural killer cell mediated cytotoxicity,81,,0.228959328,0.307516436,0.284424874,0.251478598,
Calcium signaling pathway,129,,0.157207608,0.367880597,0.368797353,0.261280234,
MAPK signaling pathway,205,,0.61804385,0.158079283,0.221198959,0.263362284,
Hippo signaling pathway,118,,0.061549757,0.407676811,0.941329919,0.277788233,
Human T-cell leukemia virus 1 infection,192,,0.684413336,0.154802486,0.235433468,0.286938042,
Fc epsilon RI signaling pathway,53,,0.160116942,0.193056492,0.823481087,0.290401385,
T cell receptor signaling pathway,79,,0.579400058,0.053317182,0.845778431,0.294901042,
Synthesis and degradation of ketone bodies,7,,1,0.050237197,0.520604054,0.295073156,
Oocyte meiosis,108,,0.027425217,0.984988631,0.999972518,0.300725569,
Endometrial cancer,52,,0.525759531,0.184107763,0.282854948,0.303107067,
Sphingolipid metabolism,38,,0.135421069,0.748931857,0.273234751,0.305251619,
Fat digestion and absorption,21,,-,0.170491307,0.528844609,0.307108436,
RIG-I-like receptor signaling pathway,47,,0.710911452,0.764174094,0.052536457,0.310538753,
Toxoplasmosis,94,,0.91488742,0.039168228,0.802868232,0.311986446,
Glycosaminoglycan biosynthesis - keratan sulfate,11,,-,1,0.093723991,0.315606268,
Steroid biosynthesis,19,,0.409114795,0.073523811,0.997384204,0.319642087,
IL-17 signaling pathway,60,,0.66271957,0.493084261,0.096160823,0.328269163,
Pantothenate and CoA biosynthesis,16,,1,0.05280018,0.597422888,0.328992312,
Autophagy - animal,124,,0.571623266,0.463841508,0.125559871,0.339265588,
Nucleotide excision repair,46,,0.057317549,0.608134496,0.99954971,0.348116135,
Insulin secretion,49,,0.585070428,0.334558387,0.178484946,0.348654357,
Serotonergic synapse,65,,0.053985247,0.698121338,0.937130085,0.350796916,
SNARE interactions in vesicular transport,33,,0.507542808,0.531781641,0.134681396,0.356514808,
Lipid and atherosclerosis,159,,0.378635038,0.520472243,0.187466994,0.359757199,
Hematopoietic cell lineage,53,,0.907029331,0.0486815,0.852017547,0.363421444,
Cortisol synthesis and secretion,39,,0.794311641,0.284847784,0.166423766,0.363601036,
Mineral absorption,35,,0.084280319,0.493509961,0.930941942,0.369284663,
GABAergic synapse,46,,0.545961658,0.284847784,0.250315985,0.370378593,
Fatty acid elongation,21,,1,0.393093071,0.099674063,0.371709099,
Other types of O-glycan biosynthesis,35,,1,0.570500118,0.068741745,0.371897898,
Fluid shear stress and atherosclerosis,96,,0.262228071,0.174821458,0.8580824,0.372526519,
Glycerolipid metabolism,44,,1,0.079641648,0.50688866,0.37788675,
Phospholipase D signaling pathway,102,,0.601126856,0.152954195,0.455620339,0.385638565,
Aldosterone synthesis and secretion,62,,0.35264361,0.189387651,0.637566324,0.389087231,
Cholinergic synapse,73,,0.181177864,0.324510909,0.755153208,0.398022461,
Pancreatic secretion,56,,0.057317549,0.919989713,0.854327915,0.401167173,
alpha-Linolenic acid metabolism,11,,-,0.536387957,0.249767991,0.403273484,
Wnt signaling pathway,122,,0.088950944,0.613514224,0.83688294,0.404137358,
FoxO signaling pathway,107,,0.10916169,0.865836263,0.490065114,0.407210047,
Transcriptional misregulation in cancer,126,,0.496898562,0.390260839,0.244356902,0.41220637,
Inositol phosphate metabolism,67,,0.578581759,0.086259001,0.956448361,0.413823352,
Mannose type O-glycan biosynthesis,19,,-,1,0.139395953,0.41406687,
Tryptophan metabolism,26,,1,0.191149304,0.257660009,0.420771482,
Osteoclast differentiation,98,,0.72079143,0.613514224,0.113255944,0.424521684,
Inflammatory mediator regulation of TRP channels,64,,0.653198251,0.160929902,0.479725656,0.426063501,
Vitamin B6 metabolism,6,,-,1,0.148364525,0.431456357,
"Glycine, serine and threonine metabolism",29,,1,0.693371763,0.075405115,0.434241538,
Axon guidance,121,,0.183766992,0.429619351,0.663157372,0.434556655,
Cholesterol metabolism,33,,0.732116456,0.079641648,0.900925493,0.435312969,
Arginine biosynthesis,17,,-,0.570500118,0.26922549,0.441341983,
Salivary secretion,55,,0.0887597,0.694597137,0.883295971,0.443574472,
mTOR signaling pathway,131,,0.373734962,0.71132769,0.213508399,0.453191211,
Fanconi anemia pathway,53,,0.815917854,0.079641648,0.908584777,0.462445085,
Hippo signaling pathway - multiple species,21,,0.084280319,0.785279766,0.921048292,0.470034342,
Prostate cancer,73,,0.351704275,0.463846645,0.379744505,0.473893816,
Glycosphingolipid biosynthesis - ganglio series,14,,-,0.641263131,0.26922549,0.475897931,
Progesterone-mediated oocyte maturation,81,,0.071180762,0.937875395,0.998966743,0.491739013,
Synaptic vesicle cycle,52,,0.135421069,0.818683224,0.620970043,0.499547233,
Non-small cell lung cancer,62,,0.578581759,0.287235528,0.41464853,0.499780093,
Signaling pathways regulating pluripotency of stem cells,99,,0.673383284,0.141175153,0.734637832,0.503084329,
Propanoate metabolism,32,,0.794311641,0.244545773,0.374509152,0.51322766,
Cellular senescence,136,,0.122728973,0.680121533,0.880615419,0.515823139,
Adrenergic signaling in cardiomyocytes,93,,0.181177864,0.417370978,0.972059725,0.515823382,
Viral protein interaction with cytokine and cytokine receptor,30,,1,0.493509961,0.149713646,0.517114129,
cAMP signaling pathway,124,,0.309505563,0.326328647,0.745642889,0.521915098,
Influenza A,128,,0.982516071,0.528749632,0.147032681,0.525486562,
Oxytocin signaling pathway,110,,0.235685772,0.58282514,0.564722346,0.529392575,
Gastric acid secretion,46,,0.131633738,0.863705411,0.690059778,0.532263843,
ECM-receptor interaction,43,,0.409114795,0.222592339,0.867298979,0.533964694,
Sulfur metabolism,8,,-,0.722445175,0.287775997,0.534451871,
"Growth hormone synthesis, secretion and action",88,,0.555444261,0.222713464,0.652008936,0.539318395,
Biosynthesis of cofactors,111,,1,0.194898232,0.419367526,0.542714332,
Neurotrophin signaling pathway,100,,0.734417076,0.580238783,0.194117406,0.545793431,
Vascular smooth muscle contraction,81,,0.354087289,0.515069692,0.458660238,0.548667654,
C-type lectin receptor signaling pathway,82,,0.353442318,0.349440809,0.682798096,0.550754367,
Renal cell carcinoma,56,,0.19172315,0.551591643,0.804675729,0.553089123,
Biotin metabolism,3,,-,-,0.554787084,0.554787084,
"Valine, leucine and isoleucine biosynthesis",3,,-,0.400919878,0.554787084,0.5567668,
Pyrimidine metabolism,45,,1,0.962210288,0.089968486,0.557525822,
Focal adhesion,139,,0.617436986,0.158904346,0.889388174,0.559591483,
Caffeine metabolism,1,,-,0.225954198,1,0.562043662,
Lipoic acid metabolism,3,,-,0.225954198,1,0.562043662,
Long-term depression,43,,0.131633738,0.904139275,0.745135767,0.563791269,
Apoptosis - multiple species,28,,0.32754584,0.334558387,0.826698616,0.569346617,
Collecting duct acid secretion,18,,0.231213873,0.940603105,0.426819755,0.57571886,
Aldosterone-regulated sodium reabsorption,27,,0.732116456,0.64468901,0.19733528,0.576606965,
RNA polymerase,31,,0.732116456,0.153876561,0.826962434,0.576669346,
Prolactin signaling pathway,52,,0.653198251,0.144236445,0.996861938,0.578795388,
Human papillomavirus infection,248,,0.487222921,0.78449928,0.248784261,0.582058034,
Circadian rhythm,23,,0.585070428,0.871537774,0.186643855,0.58227921,
Phosphatidylinositol signaling system,84,,0.579400058,0.174821458,0.959703044,0.587865949,
Choline metabolism in cancer,72,,0.852005477,0.221743606,0.51548157,0.588350315,
PPAR signaling pathway,49,,1,0.211572608,0.467249253,0.592308638,
Biosynthesis of unsaturated fatty acids,22,,1,0.64468901,0.154701891,0.594649065,
Glutamatergic synapse,74,,0.205134854,0.826030447,0.599012667,0.599307467,
Necroptosis,125,,0.388978219,0.6048604,0.432732014,0.600119759,
Ubiquitin mediated proteolysis,131,,0.188865917,0.553031475,0.976528761,0.600602541,
Coronavirus disease - COVID-19,174,,0.976698488,0.973780002,0.107994593,0.602460535,
Fatty acid biosynthesis,16,,1,0.278085728,0.374010067,0.605794023,
Antigen processing and presentation,55,,0.411912254,0.515069692,0.492298469,0.606921206,
Ras signaling pathway,150,,0.671277879,0.218694357,0.729077824,0.613444083,
Toll-like receptor signaling pathway,68,,0.958072824,0.57124229,0.199360755,0.618583926,
Nicotine addiction,12,,-,-,0.625036294,0.625036294,
Arrhythmogenic right ventricular cardiomyopathy,40,,0.794311641,0.165542337,0.867298979,0.630451545,
Proximal tubule bicarbonate reclamation,16,,0.409114795,0.570500118,0.488925963,0.630621868,
Glucagon signaling pathway,85,,0.599696782,0.851997908,0.223699916,0.631050248,
Drug metabolism - other enzymes,39,,0.507542808,0.826030447,0.273234751,0.631649905,
Nicotinate and nicotinamide metabolism,27,,0.32754584,0.859718252,0.41947218,0.639910358,
Glycosphingolipid biosynthesis - lacto and neolacto series,18,,-,-,0.64616664,0.64616664,
Sphingolipid signaling pathway,99,,0.262228071,0.580238783,0.800622294,0.648221449,
Cushing syndrome,110,,0.446612875,0.643041325,0.426199184,0.64950772,
Gastric cancer,105,,0.307236841,0.620884462,0.653677748,0.654524036,
Base excision repair,33,,0.235689957,0.531781641,0.9999231,0.655888855,
VEGF signaling pathway,48,,0.608975145,0.328445245,0.63274954,0.658536379,
Biosynthesis of amino acids,66,,1,0.723714843,0.177379191,0.662381972,
PI3K-Akt signaling pathway,223,,0.248307711,0.808502019,0.644327176,0.664442197,
Retinol metabolism,19,,-,0.316534956,0.959284611,0.665560785,
Linoleic acid metabolism,9,,-,-,0.665946102,0.665946102,
Basal transcription factors,42,,0.870222026,0.153876561,0.982675694,0.669074432,
GnRH secretion,41,,0.421140535,0.606731442,0.515199877,0.66919067,
Type II diabetes mellitus,29,,0.794311641,0.284847784,0.586242421,0.671235682,
African trypanosomiasis,20,,1,0.222592339,0.597422888,0.671928077,
Legionellosis,41,,0.712115781,0.21664627,0.867298979,0.673597401,
B cell receptor signaling pathway,74,,0.620024865,0.307516436,0.702468508,0.673867653,
Chemical carcinogenesis - receptor activation,123,,0.207784165,0.747773063,0.876472455,0.678365085,
Glyoxylate and dicarboxylate metabolism,23,,1,0.165542337,0.828738721,0.680363257,
Amphetamine addiction,48,,0.41752813,0.331936141,0.990045554,0.680406101,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,,1,0.536387957,0.257660009,0.682357058,
Hypertrophic cardiomyopathy,48,,0.507542808,0.50499474,0.539706389,0.682600752,
Selenocompound metabolism,15,,1,0.900653256,0.155017187,0.685105975,
Alcoholism,140,,0.50734856,0.278346923,0.999250242,0.687990385,
Phagosome,119,,0.400123439,0.538693132,0.658492441,0.6895596,
Epstein-Barr virus infection,176,,0.955967354,0.805942735,0.187515076,0.694352896,
DNA replication,36,,0.160116942,0.924007624,0.997784692,0.700181602,
Proteoglycans in cancer,149,,0.474267411,0.379182829,0.821385463,0.7003491,
Bladder cancer,33,,0.585070428,0.278085728,0.918852058,0.703591025,
Neuroactive ligand-receptor interaction,108,,0.794311641,0.828999789,0.228099913,0.704857801,
Thyroid hormone signaling pathway,100,,0.91067498,0.177608561,0.932241539,0.705905077,
Acute myeloid leukemia,56,,0.786027341,0.401022159,0.48579956,0.710070823,
Citrate cycle (TCA cycle),29,,1,0.153876561,0.999607911,0.711274318,
Breast cancer,107,,0.446612875,0.477606631,0.727670395,0.713714992,
Dilated cardiomyopathy,51,,0.651202333,0.334558387,0.72939941,0.720045557,
TGF-beta signaling pathway,72,,0.928686392,0.369634341,0.463520649,0.720390452,
Chemokine signaling pathway,121,,0.694189796,0.240603548,0.960018134,0.722462695,
Adherens junction,63,,0.354087289,0.515069692,0.886644962,0.724729489,
Oxidative phosphorylation,108,,0.651202333,0.257200999,0.999489258,0.734007951,
Estrogen signaling pathway,84,,0.219164985,0.83638983,0.920851917,0.736225191,
Non-alcoholic fatty liver disease,130,,0.578581759,0.40409693,0.724362931,0.73710875,
Small cell lung cancer,75,,0.840578818,0.57124229,0.355337177,0.739095488,
Amino sugar and nucleotide sugar metabolism,44,,0.794311641,0.862583534,0.250315985,0.740471662,
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,,0.714891965,0.311798673,0.799571358,0.75068894,
Epithelial cell signaling in Helicobacter pylori infection,60,,0.41752813,0.643276613,0.663968998,0.750847258,
Diabetic cardiomyopathy,159,,0.996207131,0.183214285,0.999996909,0.756985074,
Endocrine and other factor-regulated calcium reabsorption,36,,0.32754584,0.606731442,0.975033716,0.772690033,
Endocrine resistance,83,,0.627896409,0.324510909,0.964820176,0.776454305,
Purine metabolism,99,,0.804947484,0.998740835,0.244853984,0.776791924,
Chagas disease,69,,0.732116456,0.391808108,0.690537487,0.778415165,
Aminoacyl-tRNA biosynthesis,44,,0.928686392,0.534170527,0.402468613,0.780469813,
Spliceosome,133,,0.202915505,0.985582455,0.999999997,0.780903619,
Ovarian steroidogenesis,24,,1,0.638613922,0.332560958,0.796351413,
Relaxin signaling pathway,88,,0.653198251,0.427906206,0.779609327,0.802877541,
Pathways in cancer,364,,0.669901909,0.525016149,0.620635597,0.803314212,
Morphine addiction,46,,1,0.590775595,0.370158469,0.803773769,
Retrograde endocannabinoid signaling,94,,0.545961658,0.440081638,0.914733871,0.80504101,
Ferroptosis,34,,0.878825877,0.331936141,0.754581504,0.805432053,
Hedgehog signaling pathway,40,,0.878825877,0.401363449,0.628155537,0.807081635,
Rap1 signaling pathway,145,,0.999010732,0.354135599,0.631862917,0.809311588,
Renin secretion,38,,0.32754584,0.693371763,0.995687968,0.812193534,
Riboflavin metabolism,7,,-,0.536387957,0.848768559,0.813505257,
Cocaine addiction,32,,1,0.468402615,0.495878158,0.818855265,
Steroid hormone biosynthesis,19,,-,0.722445175,0.64616664,0.822448838,
NOD-like receptor signaling pathway,135,,0.871634917,0.714867894,0.382458396,0.825179075,
Pathways of neurodegeneration - multiple diseases,380,,0.321346784,0.756606621,0.999839287,0.830029746,
Primary immunodeficiency,28,,0.928686392,0.792349913,0.335301258,0.833627685,
Arachidonic acid metabolism,25,,0.409114795,0.785279766,0.771187219,0.834632697,
Gap junction,63,,0.485717444,0.553206972,0.92861426,0.836338961,
Protein digestion and absorption,42,,0.421140535,0.900653256,0.659924317,0.837098043,
JAK-STAT signaling pathway,86,,0.710911452,0.369634341,0.959703044,0.838889506,
One carbon pool by folate,18,,1,0.531841577,0.478677994,0.841144297,
Maturity onset diabetes of the young,9,,1,0.400919878,0.665946102,0.852356434,
Human cytomegalovirus infection,169,,0.834722246,0.922397157,0.349105592,0.853918954,
Hepatitis B,134,,0.734417076,0.672204266,0.545884249,0.854520994,
Measles,110,,0.982072955,0.53717419,0.511204059,0.854685576,
Thyroid cancer,30,,0.907029331,0.557436695,0.53471624,0.855264862,
Human immunodeficiency virus 1 infection,175,,0.433048292,0.843068109,0.742018142,0.85572965,
Dopaminergic synapse,93,,0.35264361,0.789100927,0.98090799,0.85747274,
Chronic myeloid leukemia,69,,0.842306044,0.534170527,0.607736263,0.857879519,
Platelet activation,90,,0.307236841,0.922594246,0.978289944,0.861088873,
Olfactory transduction,30,,0.409114795,0.69792654,0.996064158,0.866820118,
Circadian entrainment,60,,0.507542808,0.57728434,0.971081903,0.866911268,
Neutrophil extracellular trap formation,138,,0.951858532,0.299077565,0.999678282,0.866962078,
ErbB signaling pathway,67,,0.918230612,0.320352485,0.971918461,0.867992068,
EGFR tyrosine kinase inhibitor resistance,58,,0.752409071,0.493084261,0.770853105,0.868062808,
"Neomycin, kanamycin and gentamicin biosynthesis",3,,-,0.536387957,1,0.870502717,
Regulation of actin cytoskeleton,159,,0.400943154,0.776153138,0.931032929,0.870965735,
Kaposi sarcoma-associated herpesvirus infection,150,,0.651176688,0.576897544,0.771464506,0.871026248,
Mismatch repair,23,,0.34662305,0.83833917,0.998478617,0.871283334,
Glioma,59,,0.469952042,0.632375011,0.984432098,0.873118831,
Vasopressin-regulated water reabsorption,35,,0.842106446,0.620333061,0.572360642,0.877892862,
RNA transport,162,,0.315012872,0.990177349,0.967664625,0.879945931,
Ribosome,133,,0.72079143,0.985582455,0.425951287,0.88049215,
Melanoma,46,,0.653198251,0.557436695,0.834047648,0.881272186,
MicroRNAs in cancer,141,,0.748367188,0.71132769,0.583528449,0.886108346,
Pentose and glucuronate interconversions,13,,-,0.900653256,0.625036294,0.886395879,
Pathogenic Escherichia coli infection,162,,0.853879944,0.837372919,0.439509292,0.888560593,
Autophagy - other,30,,0.945312379,0.449958001,0.746630744,0.89076724,
Colorectal cancer,77,,0.673383284,0.485213505,0.97970658,0.892416206,
AGE-RAGE signaling pathway in diabetic complications,74,,1,0.391808108,0.826331657,0.894766675,
Tuberculosis,127,,0.754456043,0.511886594,0.848556798,0.897248868,
Pertussis,51,,0.732116456,0.531781641,0.883295971,0.906886347,
Homologous recombination,41,,0.457320631,0.767489404,0.985570056,0.908038634,
Yersinia infection,114,,0.834200198,0.515024922,0.805452668,0.908109475,
Platinum drug resistance,59,,0.525759531,0.81433667,0.810308536,0.908603767,
Pancreatic cancer,69,,0.753638819,0.499351904,0.927887214,0.90986403,
Bacterial invasion of epithelial cells,64,,0.876201979,0.407676811,0.997580907,0.913745697,
Chemical carcinogenesis - DNA adducts,20,,1,0.493509961,0.731326696,0.916150661,
Alzheimer disease,300,,0.61804385,0.588482775,0.997866194,0.917191353,
Phototransduction,14,,-,0.641263131,0.970111535,0.917380981,
Regulation of lipolysis in adipocytes,33,,1,0.468402615,0.77601733,0.917476741,
RNA degradation,73,,0.492315313,0.751792716,0.997542829,0.920361294,
Longevity regulating pathway - multiple species,48,,0.91488742,0.732624759,0.571729107,0.927054201,
Fc gamma R-mediated phagocytosis,77,,0.914329939,0.440081638,0.973470272,0.930871784,
Cardiac muscle contraction,49,,0.545961658,0.732624759,0.979766541,0.930953944,
Amoebiasis,59,,1,0.411104488,0.9549491,0.931256963,
Apelin signaling pathway,99,,0.903132559,0.600888874,0.734637832,0.933875771,
Salmonella infection,227,,0.746459528,0.568482407,0.94360044,0.934608473,
Leukocyte transendothelial migration,81,,0.944833558,0.718372978,0.606609421,0.939204513,
Viral carcinogenesis,179,,0.496898562,0.851954138,0.978350896,0.940158086,
Carbohydrate digestion and absorption,30,,0.545961658,0.828999789,0.925336982,0.941937816,
HIF-1 signaling pathway,88,,0.931195284,0.521470425,0.91336218,0.950688292,
"Alanine, aspartate and glutamate metabolism",24,,1,0.859718252,0.515989016,0.950716345,
"Parathyroid hormone synthesis, secretion and action",78,,0.823801973,0.954245301,0.566157292,0.951195466,
Thermogenesis,190,,0.935108624,0.495305764,0.999670323,0.956793037,
cGMP-PKG signaling pathway,110,,0.658344563,0.747773063,0.944573845,0.957381003,
Taurine and hypotaurine metabolism,5,,-,1,0.740489542,0.96296501,
Hepatocellular carcinoma,131,,0.651176688,0.860931133,0.867540635,0.963278055,
Hepatitis C,116,,0.842306044,0.74431697,0.78368226,0.964549682,
Prion disease,222,,0.636484613,0.789712058,0.999983898,0.967314216,
Pyruvate metabolism,38,,1,0.668711728,0.781488465,0.971772591,
Fructose and mannose metabolism,29,,1,0.973934934,0.546489925,0.97374871,
p53 signaling pathway,67,,0.762426522,0.732624759,0.98747298,0.977378015,
Carbon metabolism,99,,1,0.57752812,0.998815711,0.98151988,
Taste transduction,34,,1,0.641263131,0.930941942,0.984380127,
Spinocerebellar ataxia,121,,0.734417076,0.835641775,0.976466958,0.984682373,
Parkinson disease,211,,0.785008583,0.763486896,0.999999425,0.984692371,
Ether lipid metabolism,27,,1,1,0.60245127,0.985095493,
mRNA surveillance pathway,83,,0.636484613,0.995039571,0.975991322,0.987006907,
Amyotrophic lateral sclerosis,302,,0.692755098,0.910424078,0.999998497,0.988402055,
Drug metabolism - cytochrome P450,25,,1,0.785279766,0.828738721,0.990393676,
Huntington disease,255,,0.914537197,0.714440917,0.999999999,0.990630529,
Central carbon metabolism in cancer,55,,0.91488742,0.763981258,0.946118289,0.99132705,
Thiamine metabolism,10,,-,0.871537774,1,0.991370794,
Shigellosis,215,,0.884693501,0.860184022,0.874643256,0.991689597,
Metabolism of xenobiotics by cytochrome P450,28,,1,0.871537774,0.771187219,0.992216605,
Nitrogen metabolism,8,,-,1,0.884562152,0.993064757,
Folate biosynthesis,15,,1,0.900653256,0.767110835,0.99359819,
Glycolysis / Gluconeogenesis,51,,1,0.911490796,0.81891633,0.996646931,
Primary bile acid biosynthesis,9,,-,1,0.932751057,0.997686325,
Porphyrin and chlorophyll metabolism,19,,1,0.859718252,0.904555376,0.997802732,
Renin-angiotensin system,10,,1,0.833908067,0.932751057,0.997807972,
Galactose metabolism,24,,1,0.924017121,0.875811064,0.998650992,
Ubiquinone and other terpenoid-quinone biosynthesis,10,,-,1,0.948676466,0.998659819,
Glycosphingolipid biosynthesis - globo and isoglobo series,11,,-,1,0.948676466,0.998659819,
Non-homologous end-joining,13,,0.842106446,1,0.970111535,0.998815253,
Tight junction,133,,0.92580049,0.897618066,0.993606651,0.998985113,
Cell cycle,118,,0.853782461,0.976647019,0.999993448,0.999126814,
Endocytosis,217,,0.980650843,0.882909966,0.982508515,0.999375321,
Proteasome,45,,0.878825877,0.987846596,0.999953812,0.999575691,
Starch and sucrose metabolism,27,,1,0.964504075,0.925336982,0.999774768,
Glutathione metabolism,37,,1,0.944733154,0.964748464,0.999875971,
Pentose phosphate pathway,26,,1,0.987340381,0.999325469,0.999999602,
Phosphonate and phosphinate metabolism,5,,1,1,1,1,
D-Glutamine and D-glutamate metabolism,4,,-,1,1,1,
