Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
Serotonergic synapse,65,0.058634121,0.707634,0.834378721,1.00E+00,0.203494836,0.940991365,0.237249453,1,X1O2NoCyA - X1O2PlusCyA
Sphingolipid signaling pathway,99,0.019680359,0.662931,0.669113178,1.00E+00,0.769451717,1,0.216890842,1,X1O2NoCyA - X1O2PlusCyA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,NA,NA,0.39202277,1.00E+00,0.098019901,0.7499563,0.185340176,1,X1O2NoCyA - X1O2PlusCyA
Inflammatory bowel disease,41,0.803442221,1,0.019147545,5.47E-01,0.659849467,1,0.265327094,1,X1O2NoCyA - X1O2PlusCyA
Salivary secretion,55,0.02137329,0.662931,0.850391757,1.00E+00,0.599497814,1,0.288769715,1,X1O2NoCyA - X1O2PlusCyA
Sphingolipid metabolism,38,0.141640534,1,0.449648589,1.00E+00,0.188875702,0.903720431,0.130219353,1,X1O2NoCyA - X1O2PlusCyA
Longevity regulating pathway,73,0.590795313,1,0.430120492,1.00E+00,0.049899719,0.633911248,0.275000262,1,X1O2NoCyA - X1O2PlusCyA
Cushing syndrome,110,0.473282536,1,0.218641903,1.00E+00,0.125273973,0.78125405,0.160835195,1,X1O2NoCyA - X1O2PlusCyA
Cysteine and methionine metabolism,42,0.216599053,1,0.792585547,1.00E+00,0.075696154,0.72644861,0.295720769,1,X1O2NoCyA - X1O2PlusCyA
Calcium signaling pathway,129,0.173354104,1,0.132803968,1.00E+00,0.593030295,1,0.10577712,1,X1O2NoCyA - X1O2PlusCyA
Mucin type O-glycan biosynthesis,20,NA,NA,0.124029751,1.00E+00,0.449912908,1,0.145090172,1,X1O2NoCyA - X1O2PlusCyA
Circadian entrainment,60,0.058634121,0.707634,0.551641673,1.00E+00,0.496692531,1,0.172138793,1,X1O2NoCyA - X1O2PlusCyA
Dopaminergic synapse,93,0.062920166,0.707634,0.48200273,1.00E+00,0.544225738,1,0.161079239,1,X1O2NoCyA - X1O2PlusCyA
Platelet activation,90,0.028519305,0.707634,0.713164622,1.00E+00,0.857347701,1,0.318966087,1,X1O2NoCyA - X1O2PlusCyA
Hematopoietic cell lineage,53,0.362788475,1,0.118645572,1.00E+00,0.405193772,1,0.137832851,1,X1O2NoCyA - X1O2PlusCyA
Glutamatergic synapse,74,0.058634121,0.707634,0.924838208,1.00E+00,0.32606258,1,0.395019147,1,X1O2NoCyA - X1O2PlusCyA
Fluid shear stress and atherosclerosis,96,0.139534596,1,0.151324573,1.00E+00,0.885436087,1,0.179860699,1,X1O2NoCyA - X1O2PlusCyA
Gastric acid secretion,46,0.038904155,0.707634,0.850391757,1.00E+00,0.583942393,1,0.34449157,1,X1O2NoCyA - X1O2PlusCyA
Bile secretion,34,0.148899796,1,0.372653957,1.00E+00,0.365934738,1,0.152558391,1,X1O2NoCyA - X1O2PlusCyA
Fc epsilon RI signaling pathway,53,0.062920166,0.707634,0.61335338,1.00E+00,0.52675407,1,0.214601926,1,X1O2NoCyA - X1O2PlusCyA
B cell receptor signaling pathway,74,0.166946101,1,0.546170938,1.00E+00,0.236645086,1,0.202036191,1,X1O2NoCyA - X1O2PlusCyA
Folate biosynthesis,15,1,1,0.316289724,1.00E+00,0.068241138,0.72644861,0.999492489,1,X1O2NoCyA - X1O2PlusCyA
Antigen processing and presentation,55,0.432645749,1,0.792585547,1.00E+00,0.069875933,0.72644861,0.440235325,1,X1O2NoCyA - X1O2PlusCyA
Insulin signaling pathway,114,0.681740792,1,0.466907789,1.00E+00,0.076292739,0.72644861,0.383960969,1,X1O2NoCyA - X1O2PlusCyA
Th17 cell differentiation,89,0.377857224,1,0.221295823,1.00E+00,0.307693556,1,0.185079779,1,X1O2NoCyA - X1O2PlusCyA
Synthesis and degradation of ketone bodies,7,0.23699422,1,0.478311484,1.00E+00,0.227305106,1,0.213965609,1,X1O2NoCyA - X1O2PlusCyA
Transcriptional misregulation in cancer,126,0.874573223,1,0.739439898,1.00E+00,0.040471022,0.621447369,0.690516676,1,X1O2NoCyA - X1O2PlusCyA
FoxO signaling pathway,107,0.124525082,1,0.738272558,1.00E+00,0.293212433,1,0.290885752,1,X1O2NoCyA - X1O2PlusCyA
Aldosterone synthesis and secretion,62,0.371970426,1,0.169029502,1.00E+00,0.433990096,1,0.183955034,1,X1O2NoCyA - X1O2PlusCyA
Adrenergic signaling in cardiomyocytes,93,0.193774987,1,0.382972998,1.00E+00,0.375165901,1,0.188786976,1,X1O2NoCyA - X1O2PlusCyA
Ubiquitin mediated proteolysis,131,0.061600153,0.707634,0.503270153,1.00E+00,0.93113143,1,0.332307909,1,X1O2NoCyA - X1O2PlusCyA
T cell receptor signaling pathway,79,0.422325163,1,0.084820319,1.00E+00,0.806770049,1,0.246075911,1,X1O2NoCyA - X1O2PlusCyA
Peroxisome,70,0.339724601,1,0.48200273,1.00E+00,0.181064094,0.900072234,0.2574534,1,X1O2NoCyA - X1O2PlusCyA
Viral protein interaction with cytokine and cytokine receptor,30,0.417971624,1,0.825102122,1.00E+00,0.087140069,0.72644861,0.479359186,1,X1O2NoCyA - X1O2PlusCyA
Prostate cancer,73,0.221800684,1,0.430120492,1.00E+00,0.327189541,1,0.215041532,1,X1O2NoCyA - X1O2PlusCyA
PPAR signaling pathway,49,0.417971624,1,0.089716697,1.00E+00,0.855782057,1,0.274637353,1,X1O2NoCyA - X1O2PlusCyA
Progesterone-mediated oocyte maturation,81,0.03535009,0.707634,0.926737095,1.00E+00,0.988559579,1,0.737137596,1,X1O2NoCyA - X1O2PlusCyA
Neuroactive ligand-receptor interaction,108,0.803442221,1,0.046005073,7.81E-01,0.887501284,1,0.473230991,1,X1O2NoCyA - X1O2PlusCyA
Human papillomavirus infection,248,0.964353679,1,0.386637418,1.00E+00,0.088955092,0.72644861,0.683101908,1,X1O2NoCyA - X1O2PlusCyA
MAPK signaling pathway,205,0.656290338,1,0.127859146,1.00E+00,0.404830237,1,0.285288303,1,X1O2NoCyA - X1O2PlusCyA
Renal cell carcinoma,56,0.377857224,1,0.816015102,1.00E+00,0.110285097,0.763224992,0.463724216,1,X1O2NoCyA - X1O2PlusCyA
Arginine and proline metabolism,35,0.23699422,1,0.225153704,1.00E+00,0.638813301,1,0.205291414,1,X1O2NoCyA - X1O2PlusCyA
ABC transporters,29,1,1,0.394299957,1.00E+00,0.087140069,0.72644861,0.999742613,1,X1O2NoCyA - X1O2PlusCyA
Bladder cancer,33,0.289021513,1,0.778845847,1.00E+00,0.153024631,0.83671924,0.397476425,1,X1O2NoCyA - X1O2PlusCyA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,1,1,0.124029751,1.00E+00,0.28117342,1,0.999305677,1,X1O2NoCyA - X1O2PlusCyA
Cortisol synthesis and secretion,39,0.435137004,1,0.265526545,1.00E+00,0.302366243,1,0.237836574,1,X1O2NoCyA - X1O2PlusCyA
Choline metabolism in cancer,72,0.694513782,1,0.19763981,1.00E+00,0.258259917,1,0.319708614,1,X1O2NoCyA - X1O2PlusCyA
Chemical carcinogenesis - receptor activation,123,0.124525082,1,0.587052487,1.00E+00,0.496266202,1,0.268816573,1,X1O2NoCyA - X1O2PlusCyA
Biosynthesis of cofactors,111,0.970885887,1,0.441913638,1.00E+00,0.091070817,0.72644861,0.736589012,1,X1O2NoCyA - X1O2PlusCyA
Steroid hormone biosynthesis,19,NA,NA,1,1.00E+00,0.121184337,0.78125405,0.999999457,1,X1O2NoCyA - X1O2PlusCyA
Cytokine-cytokine receptor interaction,113,0.775925061,1,0.630119987,1.00E+00,0.082214111,0.72644861,0.57044147,1,X1O2NoCyA - X1O2PlusCyA
Th1 and Th2 cell differentiation,75,0.770261184,1,0.19763981,1.00E+00,0.27832125,1,0.384527965,1,X1O2NoCyA - X1O2PlusCyA
Biosynthesis of amino acids,66,0.568852976,1,0.890402315,1.00E+00,0.08552093,0.72644861,0.649696782,1,X1O2NoCyA - X1O2PlusCyA
Influenza A,128,0.874781801,1,0.372409277,1.00E+00,0.137206265,0.79765676,0.548186863,1,X1O2NoCyA - X1O2PlusCyA
Arachidonic acid metabolism,25,0.417971624,1,0.394299957,1.00E+00,0.28117342,1,0.296994957,1,X1O2NoCyA - X1O2PlusCyA
Insulin resistance,88,0.719444614,1,0.19725065,1.00E+00,0.329698139,1,0.366256159,1,X1O2NoCyA - X1O2PlusCyA
2-Oxocarboxylic acid metabolism,17,NA,NA,0.176495459,1.00E+00,0.782911525,1,0.344583631,1,X1O2NoCyA - X1O2PlusCyA
JAK-STAT signaling pathway,86,0.27049006,1,0.195670388,1.00E+00,0.90559461,1,0.325858851,1,X1O2NoCyA - X1O2PlusCyA
Aminoacyl-tRNA biosynthesis,44,0.435222827,1,0.889493052,1.00E+00,0.124078116,0.78125405,0.596060543,1,X1O2NoCyA - X1O2PlusCyA
Human T-cell leukemia virus 1 infection,192,0.607401896,1,0.413722094,1.00E+00,0.194758896,0.91510002,0.384252195,1,X1O2NoCyA - X1O2PlusCyA
Protein digestion and absorption,42,0.803442221,1,0.622890151,1.00E+00,0.098390768,0.7499563,0.60489496,1,X1O2NoCyA - X1O2PlusCyA
Inflammatory mediator regulation of TRP channels,64,0.14148759,1,0.423080022,1.00E+00,0.837093883,1,0.325839728,1,X1O2NoCyA - X1O2PlusCyA
Fatty acid metabolism,50,1,1,0.856578132,1.00E+00,0.058993156,0.722666164,0.99998978,1,X1O2NoCyA - X1O2PlusCyA
Protein export,23,1,1,0.630119987,1.00E+00,0.080946124,0.72644861,0.999940306,1,X1O2NoCyA - X1O2PlusCyA
Renin secretion,38,0.089849775,0.9009927,0.875255465,1.00E+00,0.672695897,1,0.516231105,1,X1O2NoCyA - X1O2PlusCyA
Pancreatic cancer,69,0.547877851,1,0.621455486,1.00E+00,0.159044975,0.852381664,0.458273724,1,X1O2NoCyA - X1O2PlusCyA
Adherens junction,63,0.600728786,1,0.107672127,1.00E+00,0.843091642,1,0.401503984,1,X1O2NoCyA - X1O2PlusCyA
Mannose type O-glycan biosynthesis,19,NA,NA,0.220229008,1.00E+00,0.711033444,1,0.352078012,1,X1O2NoCyA - X1O2PlusCyA
TGF-beta signaling pathway,72,0.726548707,1,0.525038439,1.00E+00,0.146653038,0.83671924,0.512344548,1,X1O2NoCyA - X1O2PlusCyA
Natural killer cell mediated cytotoxicity,81,0.425851248,1,0.546170938,1.00E+00,0.242388141,1,0.375882006,1,X1O2NoCyA - X1O2PlusCyA
Parkinson disease,211,0.082138952,0.8888608,0.707256151,1.00E+00,0.999990732,1,0.862506329,1,X1O2NoCyA - X1O2PlusCyA
Cellular senescence,136,0.230265153,1,0.817374659,1.00E+00,0.314625262,1,0.467447661,1,X1O2NoCyA - X1O2PlusCyA
Endometrial cancer,52,0.547877851,1,0.165433206,1.00E+00,0.675252302,1,0.352845685,1,X1O2NoCyA - X1O2PlusCyA
Phospholipase D signaling pathway,102,0.249873161,1,0.48200273,1.00E+00,0.510523392,1,0.322186057,1,X1O2NoCyA - X1O2PlusCyA
NF-kappa B signaling pathway,79,0.804852106,1,0.251465417,1.00E+00,0.305146972,1,0.472813651,1,X1O2NoCyA - X1O2PlusCyA
mTOR signaling pathway,131,0.27729375,1,0.674207633,1.00E+00,0.332372355,1,0.397041822,1,X1O2NoCyA - X1O2PlusCyA
Gastric cancer,105,0.329986398,1,0.430120492,1.00E+00,0.43895351,1,0.322058171,1,X1O2NoCyA - X1O2PlusCyA
Vascular smooth muscle contraction,81,0.19489214,1,0.647252541,1.00E+00,0.506308587,1,0.377422293,1,X1O2NoCyA - X1O2PlusCyA
Vibrio cholerae infection,44,0.742058018,1,0.956425054,1.00E+00,0.090189698,0.72644861,0.846380419,1,X1O2NoCyA - X1O2PlusCyA
Ovarian steroidogenesis,24,1,1,0.316289724,1.00E+00,0.205756129,0.940991365,0.999802602,1,X1O2NoCyA - X1O2PlusCyA
Other types of O-glycan biosynthesis,35,1,1,0.24897577,1.00E+00,0.262223628,1,0.999753966,1,X1O2NoCyA - X1O2PlusCyA
Basal cell carcinoma,43,0.885951726,1,0.114347862,1.00E+00,0.678586449,1,0.574150498,1,X1O2NoCyA - X1O2PlusCyA
Butanoate metabolism,17,0.556137169,1,0.316608672,1.00E+00,0.395931358,1,0.374850886,1,X1O2NoCyA - X1O2PlusCyA
Hypertrophic cardiomyopathy,48,0.850257227,1,0.265526545,1.00E+00,0.31093854,1,0.533224885,1,X1O2NoCyA - X1O2PlusCyA
Cytosolic DNA-sensing pathway,41,0.668283531,1,0.137548136,1.00E+00,0.787553883,1,0.453735768,1,X1O2NoCyA - X1O2PlusCyA
Amphetamine addiction,48,0.435222827,1,0.308500741,1.00E+00,0.543168551,1,0.348274945,1,X1O2NoCyA - X1O2PlusCyA
Epstein-Barr virus infection,176,0.963388038,1,0.682880963,1.00E+00,0.111576167,0.763224992,0.844765965,1,X1O2NoCyA - X1O2PlusCyA
Necroptosis,125,0.265379121,1,0.561491233,1.00E+00,0.493692907,1,0.37580069,1,X1O2NoCyA - X1O2PlusCyA
Acute myeloid leukemia,56,0.625836359,1,0.227245578,1.00E+00,0.52675407,1,0.401445572,1,X1O2NoCyA - X1O2PlusCyA
Lipid and atherosclerosis,159,0.412093104,1,0.278234682,1.00E+00,0.653942114,1,0.353794211,1,X1O2NoCyA - X1O2PlusCyA
Ether lipid metabolism,27,1,1,1,1.00E+00,0.075278385,0.72644861,1,1,X1O2NoCyA - X1O2PlusCyA
Legionellosis,41,0.435222827,1,0.342668322,1.00E+00,0.514577081,1,0.360913473,1,X1O2NoCyA - X1O2PlusCyA
C-type lectin receptor signaling pathway,82,0.210309331,1,0.465013853,1.00E+00,0.806770049,1,0.400741224,1,X1O2NoCyA - X1O2PlusCyA
Colorectal cancer,77,0.481619788,1,0.449156299,1.00E+00,0.375624262,1,0.406982937,1,X1O2NoCyA - X1O2PlusCyA
"Valine, leucine and isoleucine degradation",42,0.141640534,1,0.798997735,1.00E+00,0.71995515,1,0.526045165,1,X1O2NoCyA - X1O2PlusCyA
GnRH secretion,41,0.148899796,1,0.793186123,1.00E+00,0.690809559,1,0.516069118,1,X1O2NoCyA - X1O2PlusCyA
Type II diabetes mellitus,29,0.148899796,1,0.897599905,1.00E+00,0.614809842,1,0.600029622,1,X1O2NoCyA - X1O2PlusCyA
Insulin secretion,49,0.289021513,1,0.916171075,1.00E+00,0.31093854,1,0.63365262,1,X1O2NoCyA - X1O2PlusCyA
Pathways of neurodegeneration - multiple diseases,380,0.111527234,1,0.741811714,1.00E+00,0.999998553,1,0.922858517,1,X1O2NoCyA - X1O2PlusCyA
Retinol metabolism,19,NA,NA,0.304547574,1.00E+00,0.711033444,1,0.4380027,1,X1O2NoCyA - X1O2PlusCyA
MicroRNAs in cancer,141,0.250833316,1,0.425253543,1.00E+00,0.78268721,1,0.396680888,1,X1O2NoCyA - X1O2PlusCyA
Caffeine metabolism,1,NA,NA,0.220229008,1.00E+00,1,1,0.995077322,1,X1O2NoCyA - X1O2PlusCyA
Lipoic acid metabolism,3,NA,NA,0.220229008,1.00E+00,1,1,0.995077322,1,X1O2NoCyA - X1O2PlusCyA
Spinocerebellar ataxia,121,0.100957355,0.95594,0.870852911,1.00E+00,0.971432843,1,0.7357578,1,X1O2NoCyA - X1O2PlusCyA
"Valine, leucine and isoleucine biosynthesis",3,NA,NA,0.39202277,1.00E+00,0.564766174,1,0.439378376,1,X1O2NoCyA - X1O2PlusCyA
NOD-like receptor signaling pathway,135,0.519909919,1,0.177290979,1.00E+00,0.933340736,1,0.503849496,1,X1O2NoCyA - X1O2PlusCyA
Proteoglycans in cancer,149,0.776656955,1,0.162940948,1.00E+00,0.687029008,1,0.519345683,1,X1O2NoCyA - X1O2PlusCyA
Biotin metabolism,3,NA,NA,NA,NA,0.564766174,1,0.564766174,1,X1O2NoCyA - X1O2PlusCyA
Circadian rhythm,23,0.289021513,1,0.863722893,1.00E+00,0.357609031,1,0.58216796,1,X1O2NoCyA - X1O2PlusCyA
Melanogenesis,69,0.250870063,1,0.635696584,1.00E+00,0.572841168,1,0.442630529,1,X1O2NoCyA - X1O2PlusCyA
Ribosome biogenesis in eukaryotes,80,0.092180776,0.9009927,0.998252036,1.00E+00,0.995713077,1,0.979275595,1,X1O2NoCyA - X1O2PlusCyA
Relaxin signaling pathway,88,0.668283531,1,0.395062388,1.00E+00,0.351907054,1,0.486437855,1,X1O2NoCyA - X1O2PlusCyA
Pyrimidine metabolism,45,1,1,0.877142098,1.00E+00,0.106317356,0.763224992,0.999995591,1,X1O2NoCyA - X1O2PlusCyA
Notch signaling pathway,52,0.681173738,1,0.150909749,1.00E+00,0.912692776,1,0.56395374,1,X1O2NoCyA - X1O2PlusCyA
cGMP-PKG signaling pathway,110,0.337280811,1,0.451432372,1.00E+00,0.619207183,1,0.406062889,1,X1O2NoCyA - X1O2PlusCyA
Cocaine addiction,32,1,1,0.734440567,1.00E+00,0.128765783,0.788690419,0.999982715,1,X1O2NoCyA - X1O2PlusCyA
p53 signaling pathway,67,0.775925061,1,0.709321529,1.00E+00,0.172568567,0.896833611,0.688562185,1,X1O2NoCyA - X1O2PlusCyA
Alzheimer disease,300,0.186510259,1,0.51188996,1.00E+00,0.99998361,1,0.849674621,1,X1O2NoCyA - X1O2PlusCyA
Antifolate resistance,25,0.742058018,1,0.362011517,1.00E+00,0.362388942,1,0.524316943,1,X1O2NoCyA - X1O2PlusCyA
Fructose and mannose metabolism,29,0.435137004,1,0.893304937,1.00E+00,0.253389822,1,0.671991408,1,X1O2NoCyA - X1O2PlusCyA
RNA polymerase,31,0.742058018,1,0.137548136,1.00E+00,0.974447474,1,0.680238875,1,X1O2NoCyA - X1O2PlusCyA
Retrograde endocannabinoid signaling,94,0.141640534,1,0.806992749,1.00E+00,0.892022899,1,0.631640357,1,X1O2NoCyA - X1O2PlusCyA
Human cytomegalovirus infection,169,0.855991899,1,0.902241792,1.00E+00,0.133454555,0.789222628,0.866429552,1,X1O2NoCyA - X1O2PlusCyA
DNA replication,36,0.173366498,1,0.966793786,1.00E+00,0.62716318,1,0.758134899,1,X1O2NoCyA - X1O2PlusCyA
Citrate cycle (TCA cycle),29,0.556137169,1,0.264547505,1.00E+00,0.738410013,1,0.471967697,1,X1O2NoCyA - X1O2PlusCyA
Autophagy - animal,124,0.609047858,1,0.416823779,1.00E+00,0.42940518,1,0.490649713,1,X1O2NoCyA - X1O2PlusCyA
RIG-I-like receptor signaling pathway,47,0.90354488,1,0.227971399,1.00E+00,0.537204308,1,0.657377169,1,X1O2NoCyA - X1O2PlusCyA
GABAergic synapse,46,0.556137169,1,0.718844384,1.00E+00,0.280786899,1,0.596886773,1,X1O2NoCyA - X1O2PlusCyA
Herpes simplex virus 1 infection,433,0.966405445,1,0.402004857,1.00E+00,0.290754161,1,0.795740251,1,X1O2NoCyA - X1O2PlusCyA
Phagosome,119,0.803875714,1,0.493470708,1.00E+00,0.294014779,1,0.633676924,1,X1O2NoCyA - X1O2PlusCyA
Dilated cardiomyopathy,51,1,1,0.313283544,1.00E+00,0.373360662,1,0.999904244,1,X1O2NoCyA - X1O2PlusCyA
