"","Pathway.name","Unique.genes","Phosphoproteomics","PhosphoproteomicsFDR_BH","Proteomics","ProteomicsFDR_BH","Transcriptomics","TranscriptomicsFDR_BH","Combined","CombinedFDR_BH","Contrast","Proteomics_FDR","Phosphoproteomics_FDR","Transcriptomics_FDR","Combined_FDR"
"24","Toxoplasmosis"," 94","0.922585407","1.0000000","0.002376115","1.972906e-01","0.4935384790","1.000000000","0.182110717","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"25","Hippo signaling pathway - multiple species"," 21","0.012610811","0.6385429","0.394299957","1.000000e+00","0.2701390260","1.000000000","0.030244548","0.94308000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"26","Long-term potentiation"," 52","0.007011238","0.6385429","0.641478037","1.000000e+00","0.3142331270","1.000000000","0.059197302","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"27","Glycerolipid metabolism"," 44","1","1.0000000","0.008126815","3.061100e-01","0.1798485540","0.900072234","0.987987032","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"28","Signaling pathways regulating pluripotency of stem cells"," 99","0.694513782","1.0000000","0.025757316","6.236950e-01","0.0870876800","0.726448610","0.072887243","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"29","Vitamin digestion and absorption"," 12","0.556137169","1.0000000","0.07643009","1.000000e+00","0.0469751750","0.633911248","0.069298365","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"30","GnRH signaling pathway"," 74","0.005300025","0.6385429","0.641478037","1.000000e+00","0.8632283020","1.000000000","0.154269879","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"31","Arrhythmogenic right ventricular cardiomyopathy"," 40","1","1.0000000","0.00501418","2.428296e-01","0.6598494670","1.000000000","0.996054600","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"32","Rheumatoid arthritis"," 63","0.239774671","1.0000000","0.061658651","9.501038e-01","0.2488231150","1.000000000","0.042207706","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"33","Terpenoid backbone biosynthesis"," 21","0.043506396","0.7076340","0.372653957","1.000000e+00","0.2701390260","1.000000000","0.058347564","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"34","Sulfur relay system","  8","1","1.0000000","0.046071697","7.809153e-01","0.1030372180","0.763224992","0.995193724","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"35","Cholinergic synapse"," 73","0.063056494","0.7076340","0.297429645","1.000000e+00","0.2783212500","1.000000000","0.057672915","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"36","TNF signaling pathway"," 84","0.600728786","1.0000000","0.040575685","7.809153e-01","0.2252573310","1.000000000","0.104544925","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"37","Estrogen signaling pathway"," 84","0.013006614","0.6385429","0.912259236","1.000000e+00","0.4748879200","1.000000000","0.273039971","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"38","Cholesterol metabolism"," 33","0.089849775","0.9009927","0.070043172","1.000000e+00","0.9139713090","1.000000000","0.094774294","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"39","Fatty acid elongation"," 21","1","1.0000000","0.372653957","1.000000e+00","0.0163309850","0.380100379","0.999145403","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"40","Oxytocin signaling pathway","110","0.138677051","1.0000000","0.172426636","1.000000e+00","0.2732170430","1.000000000","0.059618717","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"41","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"," 15",NA,NA,"0.220229008","1.000000e+00","0.1312626040","0.789222628","0.108409911","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"42","SNARE interactions in vesicular transport"," 33","0.058634121","0.7076340","0.308500741","1.000000e+00","0.4048264040","1.000000000","0.074304220","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"43","Small cell lung cancer"," 75","0.970885887","1.0000000","0.370952679","1.000000e+00","0.0205001630","0.413620928","0.595088411","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"44","alpha-Linolenic acid metabolism"," 11",NA,NA,"1","1.000000e+00","0.0293893220","0.530554601","0.999996722","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"45","Fat digestion and absorption"," 21",NA,NA,"0.158742587","1.000000e+00","0.1897022480","0.903720431","0.095407597","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"46","Hippo signaling pathway","118","0.2914626","1.0000000","0.084820319","1.000000e+00","0.3133441720","1.000000000","0.075027149","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"47","Neutrophil extracellular trap formation","138","0.564165208","1.0000000","0.761913281","1.000000e+00","0.0181674740","0.389465231","0.406111078","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"48","AMPK signaling pathway"," 97","0.274303728","1.0000000","0.623154117","1.000000e+00","0.0459660480","0.633911248","0.200855375","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"49","Focal adhesion","139","0.88996699","1.0000000","0.079550395","1.000000e+00","0.1134824330","0.763224992","0.282320614","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"50","Leishmaniasis"," 59","0.775925061","1.0000000","0.021653718","5.646623e-01","0.5267540700","1.000000000","0.214948298","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"51","Thyroid hormone synthesis"," 50","0.14148759","1.0000000","0.506274882","1.000000e+00","0.1240781160","0.781254050","0.127463887","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"52","Nucleotide excision repair"," 46","0.014751815","0.6385429","0.73901397","1.000000e+00","0.8177925520","1.000000000","0.254058055","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"53","Proximal tubule bicarbonate reclamation"," 16","0.056016816","0.7076340","0.554756722","1.000000e+00","0.2876004050","1.000000000","0.121359299","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"54","Linoleic acid metabolism","  9",NA,NA,NA,NA,"0.1511385350","0.836719240","0.151138535","1.00000000","X1O2NoCyA - X1O2PlusCyA",NA,NA,1,1
"55","Pancreatic secretion"," 56","0.014751815","0.6385429","0.910320847","1.000000e+00","0.6849225920","1.000000000","0.355906002","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"56","Serotonergic synapse"," 65","0.058634121","0.7076340","0.834378721","1.000000e+00","0.2034948360","0.940991365","0.237249453","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"57","Sphingolipid signaling pathway"," 99","0.019680359","0.6629310","0.669113178","1.000000e+00","0.7694517170","1.000000000","0.216890842","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"58","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"," 14",NA,NA,"0.39202277","1.000000e+00","0.0980199010","0.749956300","0.185340176","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"59","Inflammatory bowel disease"," 41","0.803442221","1.0000000","0.019147545","5.474247e-01","0.6598494670","1.000000000","0.265327094","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"60","Salivary secretion"," 55","0.02137329","0.6629310","0.850391757","1.000000e+00","0.5994978140","1.000000000","0.288769715","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"61","Sphingolipid metabolism"," 38","0.141640534","1.0000000","0.449648589","1.000000e+00","0.1888757020","0.903720431","0.130219353","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"62","Longevity regulating pathway"," 73","0.590795313","1.0000000","0.430120492","1.000000e+00","0.0498997190","0.633911248","0.275000262","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"63","Cushing syndrome","110","0.473282536","1.0000000","0.218641903","1.000000e+00","0.1252739730","0.781254050","0.160835195","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"64","Cysteine and methionine metabolism"," 42","0.216599053","1.0000000","0.792585547","1.000000e+00","0.0756961540","0.726448610","0.295720769","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"65","Calcium signaling pathway","129","0.173354104","1.0000000","0.132803968","1.000000e+00","0.5930302950","1.000000000","0.105777120","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"66","Mucin type O-glycan biosynthesis"," 20",NA,NA,"0.124029751","1.000000e+00","0.4499129080","1.000000000","0.145090172","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"67","Circadian entrainment"," 60","0.058634121","0.7076340","0.551641673","1.000000e+00","0.4966925310","1.000000000","0.172138793","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"68","Dopaminergic synapse"," 93","0.062920166","0.7076340","0.48200273","1.000000e+00","0.5442257380","1.000000000","0.161079239","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"69","Platelet activation"," 90","0.028519305","0.7076340","0.713164622","1.000000e+00","0.8573477010","1.000000000","0.318966087","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"70","Hematopoietic cell lineage"," 53","0.362788475","1.0000000","0.118645572","1.000000e+00","0.4051937720","1.000000000","0.137832851","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"71","Glutamatergic synapse"," 74","0.058634121","0.7076340","0.924838208","1.000000e+00","0.3260625800","1.000000000","0.395019147","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"72","Fluid shear stress and atherosclerosis"," 96","0.139534596","1.0000000","0.151324573","1.000000e+00","0.8854360870","1.000000000","0.179860699","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"73","Gastric acid secretion"," 46","0.038904155","0.7076340","0.850391757","1.000000e+00","0.5839423930","1.000000000","0.344491570","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"74","Bile secretion"," 34","0.148899796","1.0000000","0.372653957","1.000000e+00","0.3659347380","1.000000000","0.152558391","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"75","Fc epsilon RI signaling pathway"," 53","0.062920166","0.7076340","0.61335338","1.000000e+00","0.5267540700","1.000000000","0.214601926","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"76","B cell receptor signaling pathway"," 74","0.166946101","1.0000000","0.546170938","1.000000e+00","0.2366450860","1.000000000","0.202036191","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"77","Folate biosynthesis"," 15","1","1.0000000","0.316289724","1.000000e+00","0.0682411380","0.726448610","0.999492489","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"78","Antigen processing and presentation"," 55","0.432645749","1.0000000","0.792585547","1.000000e+00","0.0698759330","0.726448610","0.440235325","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"79","Insulin signaling pathway","114","0.681740792","1.0000000","0.466907789","1.000000e+00","0.0762927390","0.726448610","0.383960969","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"80","Th17 cell differentiation"," 89","0.377857224","1.0000000","0.221295823","1.000000e+00","0.3076935560","1.000000000","0.185079779","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"81","Synthesis and degradation of ketone bodies","  7","0.23699422","1.0000000","0.478311484","1.000000e+00","0.2273051060","1.000000000","0.213965609","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"82","Transcriptional misregulation in cancer","126","0.874573223","1.0000000","0.739439898","1.000000e+00","0.0404710220","0.621447369","0.690516676","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"83","FoxO signaling pathway","107","0.124525082","1.0000000","0.738272558","1.000000e+00","0.2932124330","1.000000000","0.290885752","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"84","Aldosterone synthesis and secretion"," 62","0.371970426","1.0000000","0.169029502","1.000000e+00","0.4339900960","1.000000000","0.183955034","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"85","Adrenergic signaling in cardiomyocytes"," 93","0.193774987","1.0000000","0.382972998","1.000000e+00","0.3751659010","1.000000000","0.188786976","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"86","Ubiquitin mediated proteolysis","131","0.061600153","0.7076340","0.503270153","1.000000e+00","0.9311314300","1.000000000","0.332307909","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"87","T cell receptor signaling pathway"," 79","0.422325163","1.0000000","0.084820319","1.000000e+00","0.8067700490","1.000000000","0.246075911","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"88","Peroxisome"," 70","0.339724601","1.0000000","0.48200273","1.000000e+00","0.1810640940","0.900072234","0.257453400","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"89","Viral protein interaction with cytokine and cytokine receptor"," 30","0.417971624","1.0000000","0.825102122","1.000000e+00","0.0871400690","0.726448610","0.479359186","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"90","Prostate cancer"," 73","0.221800684","1.0000000","0.430120492","1.000000e+00","0.3271895410","1.000000000","0.215041532","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"91","PPAR signaling pathway"," 49","0.417971624","1.0000000","0.089716697","1.000000e+00","0.8557820570","1.000000000","0.274637353","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"92","Progesterone-mediated oocyte maturation"," 81","0.03535009","0.7076340","0.926737095","1.000000e+00","0.9885595790","1.000000000","0.737137596","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"93","Neuroactive ligand-receptor interaction","108","0.803442221","1.0000000","0.046005073","7.809153e-01","0.8875012840","1.000000000","0.473230991","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"94","Human papillomavirus infection","248","0.964353679","1.0000000","0.386637418","1.000000e+00","0.0889550920","0.726448610","0.683101908","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"95","MAPK signaling pathway","205","0.656290338","1.0000000","0.127859146","1.000000e+00","0.4048302370","1.000000000","0.285288303","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"96","Renal cell carcinoma"," 56","0.377857224","1.0000000","0.816015102","1.000000e+00","0.1102850970","0.763224992","0.463724216","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"97","Arginine and proline metabolism"," 35","0.23699422","1.0000000","0.225153704","1.000000e+00","0.6388133010","1.000000000","0.205291414","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"98","ABC transporters"," 29","1","1.0000000","0.394299957","1.000000e+00","0.0871400690","0.726448610","0.999742613","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"99","Bladder cancer"," 33","0.289021513","1.0000000","0.778845847","1.000000e+00","0.1530246310","0.836719240","0.397476425","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"100","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"," 25","1","1.0000000","0.124029751","1.000000e+00","0.2811734200","1.000000000","0.999305677","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"101","Cortisol synthesis and secretion"," 39","0.435137004","1.0000000","0.265526545","1.000000e+00","0.3023662430","1.000000000","0.237836574","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"102","Choline metabolism in cancer"," 72","0.694513782","1.0000000","0.19763981","1.000000e+00","0.2582599170","1.000000000","0.319708614","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"103","Chemical carcinogenesis - receptor activation","123","0.124525082","1.0000000","0.587052487","1.000000e+00","0.4962662020","1.000000000","0.268816573","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"104","Biosynthesis of cofactors","111","0.970885887","1.0000000","0.441913638","1.000000e+00","0.0910708170","0.726448610","0.736589012","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"105","Steroid hormone biosynthesis"," 19",NA,NA,"1","1.000000e+00","0.1211843370","0.781254050","0.999999457","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"106","Cytokine-cytokine receptor interaction","113","0.775925061","1.0000000","0.630119987","1.000000e+00","0.0822141110","0.726448610","0.570441470","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"107","Th1 and Th2 cell differentiation"," 75","0.770261184","1.0000000","0.19763981","1.000000e+00","0.2783212500","1.000000000","0.384527965","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"108","Biosynthesis of amino acids"," 66","0.568852976","1.0000000","0.890402315","1.000000e+00","0.0855209300","0.726448610","0.649696782","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"109","Influenza A","128","0.874781801","1.0000000","0.372409277","1.000000e+00","0.1372062650","0.797656760","0.548186863","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"110","Arachidonic acid metabolism"," 25","0.417971624","1.0000000","0.394299957","1.000000e+00","0.2811734200","1.000000000","0.296994957","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"111","Insulin resistance"," 88","0.719444614","1.0000000","0.19725065","1.000000e+00","0.3296981390","1.000000000","0.366256159","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"112","2-Oxocarboxylic acid metabolism"," 17",NA,NA,"0.176495459","1.000000e+00","0.7829115250","1.000000000","0.344583631","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"113","JAK-STAT signaling pathway"," 86","0.27049006","1.0000000","0.195670388","1.000000e+00","0.9055946100","1.000000000","0.325858851","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"114","Aminoacyl-tRNA biosynthesis"," 44","0.435222827","1.0000000","0.889493052","1.000000e+00","0.1240781160","0.781254050","0.596060543","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"115","Human T-cell leukemia virus 1 infection","192","0.607401896","1.0000000","0.413722094","1.000000e+00","0.1947588960","0.915100020","0.384252195","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"116","Protein digestion and absorption"," 42","0.803442221","1.0000000","0.622890151","1.000000e+00","0.0983907680","0.749956300","0.604894960","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"117","Inflammatory mediator regulation of TRP channels"," 64","0.14148759","1.0000000","0.423080022","1.000000e+00","0.8370938830","1.000000000","0.325839728","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"118","Fatty acid metabolism"," 50","1","1.0000000","0.856578132","1.000000e+00","0.0589931560","0.722666164","0.999989780","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"119","Protein export"," 23","1","1.0000000","0.630119987","1.000000e+00","0.0809461240","0.726448610","0.999940306","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"120","Renin secretion"," 38","0.089849775","0.9009927","0.875255465","1.000000e+00","0.6726958970","1.000000000","0.516231105","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"121","Pancreatic cancer"," 69","0.547877851","1.0000000","0.621455486","1.000000e+00","0.1590449750","0.852381664","0.458273724","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"122","Adherens junction"," 63","0.600728786","1.0000000","0.107672127","1.000000e+00","0.8430916420","1.000000000","0.401503984","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"123","Mannose type O-glycan biosynthesis"," 19",NA,NA,"0.220229008","1.000000e+00","0.7110334440","1.000000000","0.352078012","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"124","TGF-beta signaling pathway"," 72","0.726548707","1.0000000","0.525038439","1.000000e+00","0.1466530380","0.836719240","0.512344548","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"125","Natural killer cell mediated cytotoxicity"," 81","0.425851248","1.0000000","0.546170938","1.000000e+00","0.2423881410","1.000000000","0.375882006","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"126","Parkinson disease","211","0.082138952","0.8888608","0.707256151","1.000000e+00","0.9999907320","1.000000000","0.862506329","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"127","Cellular senescence","136","0.230265153","1.0000000","0.817374659","1.000000e+00","0.3146252620","1.000000000","0.467447661","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"128","Endometrial cancer"," 52","0.547877851","1.0000000","0.165433206","1.000000e+00","0.6752523020","1.000000000","0.352845685","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"129","Phospholipase D signaling pathway","102","0.249873161","1.0000000","0.48200273","1.000000e+00","0.5105233920","1.000000000","0.322186057","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"130","NF-kappa B signaling pathway"," 79","0.804852106","1.0000000","0.251465417","1.000000e+00","0.3051469720","1.000000000","0.472813651","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"131","mTOR signaling pathway","131","0.27729375","1.0000000","0.674207633","1.000000e+00","0.3323723550","1.000000000","0.397041822","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"132","Gastric cancer","105","0.329986398","1.0000000","0.430120492","1.000000e+00","0.4389535100","1.000000000","0.322058171","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"133","Vascular smooth muscle contraction"," 81","0.19489214","1.0000000","0.647252541","1.000000e+00","0.5063085870","1.000000000","0.377422293","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"134","Vibrio cholerae infection"," 44","0.742058018","1.0000000","0.956425054","1.000000e+00","0.0901896980","0.726448610","0.846380419","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"135","Ovarian steroidogenesis"," 24","1","1.0000000","0.316289724","1.000000e+00","0.2057561290","0.940991365","0.999802602","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"136","Other types of O-glycan biosynthesis"," 35","1","1.0000000","0.24897577","1.000000e+00","0.2622236280","1.000000000","0.999753966","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"137","Basal cell carcinoma"," 43","0.885951726","1.0000000","0.114347862","1.000000e+00","0.6785864490","1.000000000","0.574150498","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"138","Butanoate metabolism"," 17","0.556137169","1.0000000","0.316608672","1.000000e+00","0.3959313580","1.000000000","0.374850886","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"139","Hypertrophic cardiomyopathy"," 48","0.850257227","1.0000000","0.265526545","1.000000e+00","0.3109385400","1.000000000","0.533224885","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
